darija,eng,darija_ar
wach walidik kaychjj3ouk?,Are you parents encouraging?,واش واليديك كايشجّعوك?
nta machi brhouch!!,You are not a toddler!!,نتا ماشي برهوش!!
wach katn3es m3TTel?,Do you go to bed late?,واش كاتنعس معطّل?
ach ghayo93 flmti7an?,What's going to happen on the exam?,أش غايوقع فلمتيحان?
twji8at makanoch waD7in.,The instructions weren't clear.,توجيهات ماكانوش واضحين.
"mohim, salina daba.","Well, it's done now.","موهيم, سالينا دابا."
nsa 3lia hadchi,just forget about it,نسا عليا هادشي
nnata2ij dyal l3am,The results of the year,الناتاإج ديال لعام
ach momkin ddir?,What could you do?,أش مومكين الدير?
kolchi hoa hadak.,It's all right.,كولشي هوا هاداك.
wach nta hania?,Are you feeling OK?,واش نتا هانيا?
ntmennaw hadchi ikhdm.,Let's hope that works.,نتمنّاو هادشي إخدم.
"nta moghnni, lla?",You're a singer aren't you?,"نتا موغنّي, اللا?"
"ach ballik, mzyan?",Does that sound good?,"أش بالّيك, مزيان?"
o 3ndek SSe7,And you're right.,أُ عندك الصح
nssa3a f chemch,Half an hour in the sun,نسّاعا ف شمش
had lprogram msllekni,This program suits me,هاد لپروڭرام مسلّكني
katmenna mankonch llekher,And I hope I won't be the last.,كاتمنّا مانكونش اللخر
imken ila tgadd.,Maybe it's fixed.,إمكن إلا تڭادّ.
baraka mn lblabla.,Stop babbling.,باراكا من لبلابلا.
bditi katmrrDni daba.,You're starting to annoy me now.,بديتي كاتمرّضني دابا.
mahazzch m3aya tilifon.,I don't carry a phone.,ماهازّش معايا تيليفون.
mzyan trta7 chwia.,It's good to get some rest.,مزيان ترتاح شويا.
kidazt ddwira lbar7?,How was the tour yesterday?,كيدازت الدويرا لبارح?
chno lli w9ef?,What stopped?,شنو اللي وقف?
wach nta mt2ekked?,Are you sure?,واش نتا متءكّد?
tayban annaho wgfna.,We appear to have stopped moving.,تايبان أنّاهو وڭفنا.
dir chi haja.,DO something.,دير شي حاجة.
hir merra merra.,It's only from time to time.,هير مرّا مرّا.
mn jiha khra,On the other hand,من جيها خرا
dak chklaT ghzal,That chocolate is really nice,داك شكلاط غزال
bllati nchof fchkarti,"Wait, I'll look in my bag",بلّاتي نشوف فشكارتي
fiyya jjou3 tana.,I'm hungry too.,فييّا الجوع تانا.
Lay3awn assi Abderrahim,Goodbye Mr Abderrahim,لايعاون أسّي أبدرّاهيم
kayballia bdit kan7ma9!,I think I'm losing my mind!,كايبالّيا بديت كانحماق!
bghit nl3eb kora,I would like to play football,بغيت نلعب كورا
l3bt chwia 9bel.,I have played a little in the past.,لعبت شويا قبل.
hadchi kay9tel bdde7k,That is so funny,هادشي كايقتل بدّحك
sir nta lowwel!,You go first!,سير نتا لووّل!
salam a lalla,"Hello, ma'am",سالام أ لالّا
kifach imken n3awnek?,How can I help you?,كيفاش إمكن نعاونك?
"khaybat amal, fachal?","A disappointment, a failure?","خايبات أمال, فاشال?"
wach katakol mzyan?,Are you eating enough?,واش كاتاكول مزيان?
ach khess ndir?,What should I do?,أش خسّ ندير?
"oh, wach chfti!","Oh, have you seen!","أُه, واش شفتي!"
ach kat3ni bhadchi?,What do you mean by this?,أش كاتعني بهادشي?
hadchi machi 3adil.,That's not fair.,هادشي ماشي عاديل.
lmoudir ttahowwa 3oDw!,The principal is also a member!,لمودير التاهووّا عوضو!
makntch nfkker fiha.,I wouldn't have thought.,ماكنتش نفكّر فيها.
s7abni ghaykoun Sgher...,I thought he'd be younger...,سحابني غايكون صغر...
"sm7 lia, lla.","Sorry, no.","سمح ليا, اللا."
hadi hia l7ayat,it's life,هادي هيا لحايات
wach kat3Tini hadchi?,Are you offering me this?,واش كاتعطيني هادشي?
wach ana fahem?,Do I understand?,واش أنا فاهم?
rani m3owwel 3liha.,I'm counting on it.,راني معووّل عليها.
k7el o byeD?,Black and white?,كحل أُ بيض?
hadi fikra mzyana!,That's a good idea!,هادي فيكرا مزيانا!
walakin rah mitali!,But it's perfect!,والاكين راه ميتالي!
chkon lli m3rouD?,Who has been invited?,شكون اللي معروض?
kanDenn kat9Sed lmakla,I presume you mean food,كانضنّ كاتقصد لماكلا
"wayeh, 3ndk Se77.","Yeah, you're right.","وايه, عندك صحّ."
ghatkon trowwenti nit,You really must be shaken up,غاتكون ترووّنتي نيت
"ah, kolchi naDi!","Yes, everything is done!","أه, كولشي ناضي!"
ssmou7at a chef!,Sorry Chef!,السموحات أ شف!
ayeh a chef,Yes chef!,أيه أ شف
w ach katokkelhoum?,And what do you feed them?,و أش كاتوكّلهوم?
nta hoa chef!,You're the boss!,نتا هوا شف!
dakchi 3lach kat7reg!,That's why it burns!,داكشي علاش كاتحرڭ!
l 5 tl2ajyal?,For 5 generations?,ل 5 تلأجيال?
hadchi machi S7i7.,That's not true.,هادشي ماشي صحيح.
"had ssba7, wellbar7!","This morning, the day before yesterday!","هاد السباح, ولّبارح!"
achmn cocktail bghiti?,What cocktail would you like?,أشمن كوككتايل بغيتي?
hani ghantkka chwia,I'll take my nap then,هاني غانتكّا شويا
kantmnna maykonch hadchi!,I hope it doesn't!,كانتمنّا مايكونش هادشي!
3id milad sa3id,Happy birthday!,عيد ميلاد ساعيد
hada mwDou3 fchkel.,It's a weird theme.,هادا موضوع فشكل.
fach kenti katfekker?,What were you thinking of?,فاش كنتي كاتفكّر?
"dyali tahoa, blmonasaba.","Mine too, by the way.","ديالي تاهوا, بلموناسابا."
wach 9Sedti mDalla?,Did you mean umbrella?,واش قصدتي مضالّا?
kanstmte3 blma3icha 8na.,I'm enjoying living here.,كانستمتع بلماعيشا هنا.
kifach kaddouwez yyamatk?,How do you deal with your days?,كيفاش كادّووز الياماتك?
"onti, wach nachTa?","What about you, are you happy?","أُنتي, واش ناشطا?"
ewa 3lach kathDro?,So what are you talking about?,إوا علاش كاتهضرو?
"ah, ana nachT.","Yes, I'm happy.","أه, أنا ناشط."
wach t9der tyy9ha?,Can you believe that?,واش تقدر تيّقها?
hada 3alam m9loub.,It's the backwards world.,هادا عالام مقلوب.
yallah nDrbo tsrkila,let's take a walk,يالّاه نضربو تسركيلا
a8lan wa sa8lan,hello welcome,أهلان وا ساهلان
daba n3yyeT lik,I will call you,دابا نعيّط ليك
daba njerr m3ak,I will go with you,دابا نجرّ معاك
wach kayna chta?,is it raining?,واش كاينا شتا?
wach kayn lberd?,is it cold?,واش كاين لبرد?
kidayr l jow,how is the weather,كيداير ل جوو
wach mcha l7al,it is too late,واش مشا لحال
mannsach lkhir dyalk,I am grateful to you,مانّساش لخير ديالك
mn l9oroun lwosTa,medieval,من لقورون لووسطا
lli khddamin m3aya,my colleagues,اللي خدّامين معايا
chi bas makayn,that's okay,شي باس ماكاين
mcha 3lih l7al,he's late,مشا عليه لحال
mn wahd na7ia,in a way,من واهد ناحيا
allah izyyen yyamek,I wish you good days,الله إزيّن اليامك
aa rabb l3ali!,Oh God!,ا رابّ لعالي!
imken nkhrjo n9ssiw,Maybe we could go out to eat,إمكن نخرجو نقسّيو
wach kat9Sed TbSil,Do you mean dish?,واش كاتقصد طبصيل
o ghanstemt3o biha,And we can enjoy it,أُ غانستمتعو بيها
3ziz 3lia lbTT,I do like duck,عزيز عليا لبطّ
hadchi zwin nit!,It's so good!,هادشي زوين نيت!
ttaf9na ... bSe77a!,We have a deal ... bon appetite!,التافقنا ... بصحّا!
...l7em fo9 3inik,...steak over your eye.,...لحم فوق عينيك
wach khssna ndowwro?,Should we call?,واش خسّنا ندووّرو?
"ah, wiski, momtaz.","Yes, whiskey, perfect.","أه, ويسكي, مومتاز."
i9dr ikoun msmoum!,It could be toxic!,إقدر إكون مسموم!
ana katjini zwiwen.,I find it cool.,أنا كاتجيني زويون.
3zaz 3lia l7ayawanat!,I love animals!,عزاز عليا لحاياوانات!
wach makay3jbokch lklab?,Do you not like dogs?,واش ماكايعجبوكش لكلاب?
kantmnna mayDrbnach lbrd.,I hope we're not getting cold.,كانتمنّا مايضربناش لبرد.
walakin fllil ghaykber.,But at night it will grow.,والاكين فلّيل غايكبر.
chno lli ghaykber?,What will grow?,شنو اللي غايكبر?
mab9itich khayef walla?,You're not still scared are you?,مابقيتيش خايف والّا?
ana kantsnna lbSla.,I'm waiting for the onions.,أنا كانتسنّا لبصلا.
ghanmchi njibhoum lik,I will go and grab them for you,غانمشي نجيبهوم ليك
hahia lbSla dyalk,Here are your onions,هاهيا لبصلا ديالك
wach ba9yin khDrin?,Are they still raw?,واش باقيين خضرين?
chnahoa TTalab lakhor?,What is on the next order?,شناهوا الطالاب لاخور?
wakha a chef,Yes chef,واخا أ شف
hahoa jay 9ariban,he's coming soon,هاهوا جاي قاريبان
hoa momill bzzaf,he's very annoying,هوا موميلّ بزّاف
ma3rftch kifach nkhddmha,I don't know how to use it,ماعرفتش كيفاش نخدّمها
ana kansawb biti,I'm cleaning my room,أنا كانساوب بيتي
kani jay nhzzk,I'm coming to pick you up,كاني جاي نهزّك
"ana bikhir, onta?","I'm good, and you?","أنا بيخير, أُنتا?"
ana mazal mamsta3dd,I'm not ready yet,أنا مازال مامستاعدّ
khssni nbddel 7wayji,I need to change my clothes,خسّني نبدّل حوايجي
bghit hir nakol,I only want to eat,بغيت هير ناكول
wach Jamila mghribia?,Is Jamila a Moroccan?,واش جاميلا مغريبيا?
wach hadchi kafi?,is that enough?,واش هادشي كافي?
khllini nfkkr fiha,let me think about it,خلّيني نفكّر فيها
yallah nDrbo Tlila,let's go have a look,يالّاه نضربو طليلا
kter mn hakka,more than that,كتر من هاكّا
tta haja khra,nothing else,التا حاجة خرا
chokran 3la kollchi,thanks for everything,شوكران علا كولّشي
chokran a lalla,thank you miss,شوكران أ لالّا
chokran a sidi,thank you sir,شوكران أ سيدي
hadchi kayban 3aDim,that looks great,هادشي كايبان عاضيم
chi bas makayn,that's fine,شي باس ماكاين
hadchi ri7to khayba,that smells bad,هادشي ريحتو خايبا
hadchi machi m39oul,that's not fair,هادشي ماشي معقول
hachi khayb bzzaf,that's too bad,هاشي خايب بزّاف
hadchi fayt l9yas,that's too much,هادشي فايت لقياس
rahom b7al b7al,they're the same,راهوم بحال بحال
hadchi S3ib bzzaf,this is very difficult,هادشي صعيب بزّاف
hadchi mohim bzzaf,this is very important,هادشي موهيم بزّاف
nti dkyya bzzaf,you're very smart,نتي دكيّا بزّاف
nta dki bzzaf,you're very smart,نتا دكي بزّاف
7wayjkom kollhom 8na,your things are all here,حوايجكوم كولّهوم هنا
wach ghai t3awnha?,are you going to help her?,واش غاي تعاونها?
fach mn w9ita?,at what time?,فاش من وقيتا?
wach kat3rf tTyyeb,do you know how to cook,واش كاتعرف تطيّب
kidaz l film?,how was the movie?,كيداز ل فيلم?
ghanakhod hada tahoa,I'll take that one also,غاناخود هادا تاهوا
hani jay daba,I'm coming right now,هاني جاي دابا
ana ghadi ghdda,I'm leaving tomorrow,أنا غادي غدّا
kan9lleb 3la lbosTa,I'm looking for the post office,كانقلّب علا لبوسطا
3afak hdr bchwia,please speak slower,عافاك هدر بشويا
3afak ddini llmaTar,please take me to the airport,عافاك الديني اللماطار
mn had Tri9,that way,من هاد طريق
imta w93 hadchi,when did this happen,إمتا وقع هادشي
imta kat7ell lbanka,when does the bank open,إمتا كاتحلّ لبانكا
imta kayt7rrek Tobis,when does the bus leave,إمتا كايتحرّك طوبيس
fin kayna Twalit,where is the bathroom,فين كاينا طواليت
wach 3ndk SSrf,do you have change,واش عندك الصرف
3yyeT l lbolis,call the police,عيّط ل لبوليس
bch7al katTle3 fnnhar,how much does it cost per day,بشحال كاتطلع فنّهار
ghanakhod nfs l7aja,I'll have the same thing,غاناخود نفس لحاجا
l3cha 3la 7sabi,I'll pay for dinner,لعشا علا حسابي
3ndi 26 3am,I'm 26 years old,عندي 26 عام
dik restora maghalyach,that restaurant is not expensive,ديك رستورا ماغالياش
hadchi ghali bzzaf,that's too expensive,هادشي غالي بزّاف
fin bghiti ntla9aw,where would you like to meet,فين بغيتي نتلاقاو
m3a 3 wa9fa,at 3 o'clock,معا 3 واقفا
rahoa f lkouzina,he's in the kitchen,راهوا ف لكوزينا
bch7al b3ida Lagouira,how far is it to Lagouira,بشحال بعيدا لاڭويرا
bghit chambre w7da,I'd like a single room,بغيت شامبر وحدا
knt ghadi lmktaba,I was going to the library,كنت غادي لمكتابا
7da l banka,near the bank,حدا ل بانكا
fl etage ttani,on the second floor,فل إتاڭ التاني
fin awa ghadi,where are you going,فين أوا غادي
fin nghiti tmchi,where would you like to go,فين نغيتي تمشي
wach wakha njrrbha,can I try it on,واش واخا نجرّبها
hani jay dghya,I'll be right back,هاني جاي دغيا
bghit n3Tik kado,I want to give you a gift,بغيت نعطيك كادو
rajl olla mra,male or female,راجل أُلّا مرا
3afak 7yyed SbbaTk,please take off your shoes,عافاك حيّد صبّاطك
fin kayn lfrmasyan,where is the pharmacy,فين كاين لفرماسيان
klamk howa lkbir,As you say.,كلامك هووا لكبير
nta kadde7ek bezzaf,Oh you are so funny,نتا كادّحك بزّاف
kat3essebni chi merrat,You do push my buttons sometimes,كاتعسّبني شي مرّات
ta7aja ma wa93a,Nothing is happening,تاحاجا ما واقعا
wala diali tahowa,Neither is mine.,والا ديالي تاهووا
"wayeh, tana, assara7a","Yeah, me too, to be honest.","وايه, تانا, أسّاراحا"
tana tchehit nghowet,I m very tempted to yell too,تانا تشهيت نغووت
o makanhderch allougha,And I don't speak the language.,أُ ماكانهدرش ألّوغا
matf9dch l amal,Don't be discouraged.,ماتفقدش ل أمال
bach 3refti hadchi?,How do you know that?,باش عرفتي هادشي?
ymken yfowej 3lik,He might make you feel better.,يمكن يفووج عليك
chkon ghadi nsowl?,Who am I going to ask?,شكون غادي نسوول?
wach nta mt2ekked?,Are you sure about that?,واش نتا متءكّد?
hadi mafiha chek!,That's for sure!,هادي مافيها شك!
ach kaddir fl7ayat?,What do you do for a living?,أش كادّير فلحايات?
ach kaddir fl7ayat?,What do you do for a living?,أش كادّير فلحايات?
lavantaj howa l7orria,The advantage is freedom.,لاڤانتاج هووا لحورّيا
hada mochkil 7a9i9i,That's a real problem.,هادا موشكيل حاقيقي
nhar kbir hada,It's been a pleasure.,نهار كبير هادا
chokran 3la lmo7adata,Thanks for chatting.,شوكران علا لموحاداتا
wach nta mohandis?,Are you an engineer?,واش نتا موهانديس?
Tel men cherjem.,Look out the window!,طل من شرجم.
wach katfella 3lia?,are you kidding me?!,واش كاتفلّا عليا?
ghadi nmoutou kamlin!,we're all going to die,غادي نموتو كاملين!
lli ban lik.,As you wish.,اللي بان ليك.
wach kenti katchreb?,Have you been drinking?,واش كنتي كاتشرب?
jit bach nchoufek.,I came to see you.,جيت باش نشوفك.
sellem 3la 2a2iltek,My best wishes to your family,سلّم علا أإلتك
"msa lkhir, 3azizi!","Good evening, my dear!","مسا لخير, عازيزي!"
ach w9e3 lik?,What happened to you?,أش وقع ليك?
"kidaz nhark, 7abibi?","How was your day, sweet one?","كيداز نهارك, حابيبي?"
"bikhir, kolchi 3adi.","I'm fine, nothing special.","بيخير, كولشي عادي."
"ayeh, howa hadak!","Yes, it was him!","أيه, هووا هاداك!"
khass t3ich l7ayat.,You have to enjoy life.,خاسّ تعيش لحايات.
"ooh, ayeh 3afak!","Ooh, yeah please!","وه, أيه عافاك!"
ghadi tkon ra2i3a!,That would be great!,غادي تكون راإعا!
achno 7eb lkhaTr?,What can I get you?,أشنو حب لخاطر?
lkanissa b3d chwia.,The cathedral is a bit further.,لكانيسّا بعد شويا.
achno derti fih?,What do you put in it?,أشنو درتي فيه?
hadi waSfa khaSSa.,It's a special recipe.,هادي واصفا خاصّا.
ma3ndich l7e9 ngoul!,I'm not allowed to say!,ماعنديش لحق نڭول!
3refti ach kan9Sd?,Do you know what I mean?,عرفتي أش كانقصد?
kaDDen ghadi t3jbek?,You think you'd like it?,كاضّن غادي تعجبك?
t39el 3la jjilali?,Do you remember Jilali?,تعقل علا الجيلالي?
khoSoSan fl3mer dialk!,Especially at our ages!,خوصوصان فلعمر ديالك!
fikra zina hadi,What a good idea,فيكرا زينا هادي
"ghir nnod, nmchiw!","As soon as I get up, let's go!","غير النود, نمشيو!"
ymken ncheddo kika!,We could get cake!,يمكن نشدّو كيكا!
achno kat9tare7 idan?,What do you suggest then?,أشنو كاتقتارح إدان?
ghadi nchri decorassioun!,I'll buy the decorations!,غادي نشري دكوراسّيون!
"ayeh, ila bghiti.","Ok, if you want.","أيه, إلا بغيتي."
ghadi nched l9nia!,I'll grab the rabbit!,غادي نشد لقنيا!
kter men 9nia!,More than rabbits!,كتر من قنيا!
bda kayTi7 Dlam.,It's getting dark.,بدا كايطيح ضلام.
wach bghiti foular?,Do you want a scarf?,واش بغيتي فولار?
tsenna wa7d ttania,Wait a sec,تسنّا واحد التانيا
"lla, sme7 lia.","No, sorry.","اللا, سمح ليا."
"Ah, lil assaf.","Ah, too bad.","أه, ليل أسّاف."
fiha lma sskhoun!,There's hot water in it!,فيها لما السخون!
o 3ndi atay!,And I had tea bags!,أُ عندي أتاي!
makaybanch lia DDo.,I can't see the light.,ماكايبانش ليا الضو.
rani mghemmeD 3inia.,I've got my eyes closed.,راني مغمّض عينيا.
kolchi bda kayt7errek!,Everything's starting to move!,كولشي بدا كايتحرّك!
TTayaran makhaybch bezzaf!,Flying isn't so bad!,الطاياران ماخايبش بزّاف!
ki kat7ess lyouma?,How are you feeling today?,كي كاتحسّ ليوما?
o ki kat7essi?,And how are you feeling?,أُ كي كاتحسّي?
nchoufo fl khariTa.,We'll look on the map.,نشوفو فل خاريطا.
hadi fikra momtaza.,That's a great idea.,هادي فيكرا مومتازا.
ghadi n9Diw lgharad.,We're gonna make it.,غادي نقضيو لغاراد.
b Tabi3t l7al.,Absolutely.,ب طابيعت لحال.
"ayeh, 3ndek SSe7.","Yes, you're right.","أيه, عندك الصح."
yallah nreDo balna.,Let's be careful.,يالّاه نرضو بالنا.
ghadi nl3b alkarta.,I'll play a card game.,غادي نلعب ألكارتا.
"Ah, nl3b poker.","Ah, I'll play poker.","أه, نلعب پوكر."
yallah nbdaw TTer7.,"Come on, let's start the game.",يالّاه نبداو الطرح.
nta dima mrta7.,You're always resting.,نتا ديما مرتاح.
maghadich nSed3ek ga3.,I won't bother you at all.,ماغاديش نصدعك ڭاع.
nta ra2i3 blm39ol.,You're really amazing.,نتا راإع بلمعقول.
ghadi njib mancherbo.,I'll get the drinks.,غادي نجيب مانشربو.
jbal zinine hnaya!,The mountains are beautiful here!,جبال زينين هنايا!
werrini men b3d.,Show me later.,ورّيني من بعد.
hadchi dima hakka.,It's always like that.,هادشي ديما هاكّا.
"hadchi S3ib, frask.","It's hard, you know.","هادشي صعيب, فراسك."
achno khaSna ndiro?,What shall we do?,أشنو خاصنا نديرو?
wow fikra ra2i3a.,Wow great idea.,ووو فيكرا راإعا.
ndiroha f ddar?,Shall we have it at home?,نديروها ف الدار?
momkin ikon rkheS?,Can it be cheaper?,مومكين إكون رخص?
wakha tchedd hadi?,Can you hold this for me?,واخا تشدّ هادي?
3ndek chi drari?,Do you have any children?,عندك شي دراري?
hahia chlaDa dyalk,Here is your salad,هاهيا شلاضا ديالك
ch7al dyal nnas?,How many people?,شحال ديال الناس?
daba ndowwer lik.,I'll give you a call.,دابا ندووّر ليك.
ana mn agadir,I'm from Agadir,أنا من أڭادير
hani mchit nn3es,I'm going to bed,هاني مشيت النعس
liom 25 ghocht,It's August 25th,ليوم 25 غوشت
l9ess kan bnin,The food was delicious,لقسّ كان بنين
ach bghiti tchreb?,What would you like to drink?,أش بغيتي تشرب?
achno bghiti takol?,What would you like to eat?,أشنو بغيتي تاكول?
bghiti chwia tlma?,Would you like some water?,بغيتي شويا تلما?
bghiti tmcha chwia?,Would you like to go for a walk?,بغيتي تمشا شويا?
wach nta mirikani?,Are you American?,واش نتا ميريكاني?
3jbk l7al 8na?,Do you like it here?,عجبك لحال هنا?
katl3b chi ryaDa?,Do you play any sports?,كاتلعب شي رياضا?
bghiti tji m3aya?,Do you want to come with me?,بغيتي تجي معايا?
bghiti tmchi m3aya?,Do you want to go with me?,بغيتي تمشي معايا?
ch7al f 3omrek?,How old are you?,شحال ف عومرك?
chrit trikko lbar7,I bought a shirt yesterday,شريت تريكّو لبارح
iddi kat3Tini Sda3,I have pain in my arm,إدّي كاتعطيني صداع
khssni nSbben 7wayji,I have to wash my clothes,خسّني نصبّن حوايجي
3ndi joj khwatat.,I have two sisters.,عندي جوج خواتات.
ana mn Bengrir,I'm from Bengrir,أنا من بنڭرير
"ana mzyan, onta?","I'm fine, and you?","أنا مزيان, أُنتا?"
benti raha 8na.,My daughter is here.,بنتي راها هنا.
lwalid kan 8na.,My father has been there.,لواليد كان هنا.
wldi kay9ra l'informatique,My son studies computer science,ولدي كايقرا ل'ينفورماتيقو
wladna fl mirikan.,Our children are in America.,ولادنا فل ميريكان.
hia kber menni,She's older than me,هيا كبر منّي
achnahoma l8iwayat dyalk?,What are your hobbies?,أشناهوما لهيوايات ديالك?
achno baghi ddir?,What do you want to do?,أشنو باغي الدير?
nta dka mnno.,You're smarter than him.,نتا دكا منّو.
imta ghaybda lfilm?,What time does the movie start?,إمتا غايبدا لفيلم?
wakha nkhddem tilifonek?,Can I use your phone?,واخا نخدّم تيليفونك?
bghit nmchi lddar.,I'd like to go home.,بغيت نمشي لدّار.
bghit nmchi nt9edda.,I'd like to go shopping.,بغيت نمشي نتقدّا.
kanhder joj tlloghat,I speak two languages,كانهدر جوج تلّوغات
chno bghiti tchri?,What do you want to buy?,شنو بغيتي تشري?
imta kay7ell lma7al?,What time does the store open?,إمتا كايحلّ لماحال?
imta ghatoSl Tyyara?,When does the plane arrive?,إمتا غاتوصل طيّارا?
fin kayn nta?,Where are you?,فين كاين نتا?
wach nT9tha S7i7a?,Am I pronouncing it correctly?,واش نطقتها صحيحا?
wach katyye9 dakchi?,Do you believe that?,واش كاتيّق داكشي?
3ndk chi 9alam?,Do you have a pencil?,عندك شي قالام?
kifach katnTe9 hadchi?,How do you pronounce that?,كيفاش كاتنطق هادشي?
mafhemtch chno katgol,I don't understand what your saying,مافهمتش شنو كاتڭول
ntla9aw gddam loTil,Let's meet in front of the hotel,نتلاقاو ڭدّام لوطيل
3afak hder bchwia,Please speak more slowly,عافاك هدر بشويا
chno kay3ni hadchi?,What does this mean?,شنو كايعني هادشي?
dyalmn had lktab?,Whose book is that?,ديالمن هاد لكتاب?
3lach nta maghadich?,Why aren't you going?,علاش نتا ماغاديش?
3lach drti hadchi?,Why did you do that?,علاش درتي هادشي?
wach nta wajd?,Are you ready?,واش نتا واجد?
3la 7sab ljow.,It depends on the weather.,علا حساب لجوو.
lbagaj dyali na9s,My luggage is missing,لباڭاج ديالي ناقس
kaDrrni lm3da dyali,My stomach hurts,كاضرّني لمعدا ديالي
l9rjota dyali mjrou7a,My throat is sore,لقرجوتا ديالي مجروحا
khod had ddwa,Take this medicine,خود هاد الدوا
fin khddam nta?,Where do you work?,فين خدّام نتا?
fin jat lbosTa?,Where's the post office?,فين جات لبوسطا?
chi haja khra?,Anything else?,شي حاجة خرا?
wach homa kifkif?,Are they the same?,واش هوما كيفكيف?
wach nta khayf?,Are you afraid?,واش نتا خايف?
wach nta mjowwej?,Are you married?,واش نتا مجووّج?
wach nta labas?,Are you okay?,واش نتا لاباس?
wach nta mrid?,Are you sick?,واش نتا مريد?
wach kat9blo Dollar?,Do you accept Dollars?,واش كاتقبلو ضولّار?
wach 3ndk Sa7btk?,Do you have a girlfriend?,واش عندك صاحبتك?
wach katsm3 hadchi?,Do you hear that?,واش كاتسمع هادشي?
ara lia l9alam,Give me the pen,أرا ليا لقالام
ch7al mn wa7d?,How many?,شحال من واحد?
wach skhoun l7al?,Is it hot?,واش سخون لحال?
wach katSbb chta?,Is it raining?,واش كاتصبّ شتا?
wach wldek 8na?,Is your son here?,واش ولدك هنا?
lkbir olla ssghir?,The big one or the small one?,لكبير أُلّا السغير?
ach drti lbar7?,What did you do yesterday?,أش درتي لبارح?
chno lli w9e3?,What happened?,شنو اللي وقع?
ach khssni nlbs?,What should I wear?,أش خسّني نلبس?
ch7al darajat l7arara?,What's the temperature?,شحال داراجات لحارارا?
achmen w7da bghiti?,Which one do you want?,أشمن وحدا بغيتي?
chkon lli kayDowwer?,Who's calling?,شكون اللي كايضووّر?
chkon 3llmek dakchi?,Who taught you that?,شكون علّمك داكشي?
3lach glti dakchi?,Why did you say that?,علاش ڭلتي داكشي?
3ndk Tomobila ghzala.,You have a very nice car.,عندك طوموبيلا غزالا.
katchbb8i l khti,You look like my sister,كاتشبّهي ل ختي
