darija,eng,darija_ar
nta li khssek t3errfo.,it's up to you to define it.,نتا لي خسّك تعرّفو.
"Safi, chi bas makayn","Well, that's okay","صافي, شي باس ماكاين"
kmmel -khessni nmchi daba.,Carry on -I have to go now.,كمّل -خسّني نمشي دابا.
"wakha amoulay, makaynch lmouchkil.","Yes, sir, no problem.","واخا أمولاي, ماكاينش لموشكيل."
allah ir7m lik lwalidin,may God have mercy on your parents,الله إرحم ليك لواليدين
"ah, makayn tta mochkil.","Yeah, no problem.","أه, ماكاين التا موشكيل."
hezz l9er3a flidd lokhra,Grab the bottle in your other hand,هزّ لقرعا فليدّ لوخرا
wach kat2amen b Lah,Do you believe in god?,واش كاتأمن ب الله
ghan3awd nch3el tilifoni 3awtani,I'm gonna turn my phone back on,غانعاود نشعل تيليفوني عاوتاني
wach bSSe7 katfkker hakka?,You really think so?,واش بصّح كاتفكّر هاكّا?
hahoa jay iddina daba.,He's coming to get us now.,هاهوا جاي إدّينا دابا.
wa howa ga3 mamgadd.,It's not even straight.,وا هووا ڭاع مامڭادّ.
kay3ni annaha tSn3at mzyan.,It means it was well manufactured.,كايعني أنّاها تصنعات مزيان.
3lach kenna nyya whda?,Why were we so naive?,علاش كنّا نيّا وهدا?
wach hia fras8a ghatchoufk?,Is she expecting to see you?,واش هيا فراسها غاتشوفك?
"mohim, lmo3adalat malay9in lwalo.","Anyway, the equations are useless.","موهيم, لموعادالات مالايقين لوالو."
"3ndi mabadi2, gltha lik","I have principles, I told you","عندي ماباديء, ڭلتها ليك"
wakha hakkak kanfi9 m3TTel,Even though I'm getting up late,واخا هاكّاك كانفيق معطّل
daba ndirha ssimana jjaya,I'll do it next week,دابا نديرها السيمانا الجايا
mal9it tta wahd fTTri9,I couldn't find any on the way,مالقيت التا واهد فطّريق
kan 3ndi 8adaf bsiT,I had a simple objective,كان عندي هاداف بسيط
ghdi ntwaSl m3ahom daba.,I'll contact the team immediately.,غدي نتواصل معاهوم دابا.
tantmenna ngueddo nkhrjo dghya!,I hope we can get out quickly!,تانتمنّا نڭودّو نخرجو دغيا!
makanoch mzyanin fhad tawakhir,They've not been good lately.,ماكانوش مزيانين فهاد تاواخير
mohim ach kat9tar7 ndiro?,Anyway what do you suggest we do?,موهيم أش كاتقتارح نديرو?
3ndi wahd SSot mjhhed.,You've got a good strong voice.,عندي واهد الصوت مجههد.
l9aDia bdat katskhon 8na.,It's getting hot in here.,لقاضيا بدات كاتسخون هنا.
mzyan 8na ntmtt3o bchmicha!,It's good here to enjoy the sun!,مزيان هنا نتمتّعو بشميشا!
dok lli 9aT3in lghaba.,The ones that cut through the jungle.,دوك اللي قاطعين لغابا.
machft tta wahd fihoum.,I haven't seen any of them.,ماشفت التا واهد فيهوم.
mangddch ntta8mek btta haja,I wouldn't dare accuse you of anything,مانڭدّش نتّاهمك بتّا حاجة
katsowwel bzzaf tl as2ila.,You ask a lot of questions.,كاتسووّل بزّاف تل أسإلا.
"ah, ghadi nbddel TTbib.","Yes, I'm going to change doctors.","أه, غادي نبدّل الطبيب."
3ndk Se77 myya flmyya,You're absolutely right,عندك صحّ ميّا فلميّا
chokran 3la nnaSi7a dyalk.,Thank you for your advice.,شوكران علا الناصيحا ديالك.
chokran 7it rdditih bayn,Thank you for making it clear,شوكران حيت ردّيتيه باين
khassna nrj3o f7alna blm39oul,We really need to get back,خاسّنا نرجعو فحالنا بلمعقول
7sn lia manfkkerch fiha,I'd rather not think about it,حسن ليا مانفكّرش فيها
"tSennet, katsm3 had Sda3?","Listen, can you hear that noise?","تصنّت, كاتسمع هاد صداع?"
"labas 3lih, awla la?","He's good, isn't he?","لاباس عليه, أولا لا?"
"la, s7abni kayna 3ndk","No, I thought you had it","لا, سحابني كاينا عندك"
ewa rah mal9itch lkhariTa,"Well, I can't find the map",إوا راه مالقيتش لخاريطا
olah ma3reft 3lach drtha.,I don't know why I did it.,أُلاه ماعرفت علاش درتها.
achmen ryada tbghi tl3eb?,What sport would you like to practice?,أشمن ريادا تبغي تلعب?
walakin ghaliban tandiro lmoD7ika...,But we often make a joke...,والاكين غاليبان تانديرو لموضحيكا...
hadchi 3lach nnatija kbira...,That's why the score is high...,هادشي علاش الناتيجا كبيرا...
"lla, machi ga3 hakkak.","No, not really.","اللا, ماشي ڭاع هاكّاك."
chno lli baghi tdir?,What would you like to do?,شنو اللي باغي تدير?
khsshom ikono 9rab lb3Diyathom,They'd need to be very close together,خسّهوم إكونو قراب لبعضيياتهوم
idan hadchi rabi7 rabi7!,So it's win win!,إدان هادشي رابيح رابيح!
kay3jbni nchoufhoum ka3oumou flma!,I love watching them bobbing about in the water!,كايعجبني نشوفهوم كاعومو فلما!
ola dakchi khayb bzzaf!,Or is that too cruel?,أُلا داكشي خايب بزّاف!
3lach katDenn katsta7e99 kter?,Why do you think you deserve more?,علاش كاتضنّ كاتستاحقّ كتر?
7it ktebt 14 lSf7a,Because I wrote 14 pages,حيت كتبت 14 لصفحا
kayl3eb l baskit m3ak?,He plays basket ball with you?,كايلعب ل باسكيت معاك?
Sara7a 3ndkom nfs l3mer.,Really we're about the same age.,صاراحا عندكوم نفس لعمر.
ssoum3a dyalk maghadich tt7essen.,Your reputation isn't going to improve.,السومعا ديالك ماغاديش التحسّن.
"hak, khod tfrtit tlkhobz.","Here, take some breadcrumbs.","هاك, خود تفرتيت تلخوبز."
wjjedti chi mosi9a monasiba?,Have you got some music that will be suitable?,وجّدتي شي موسيقا موناسيبا?
ana fr7an 9derti ddirha.,I'm glad you could make it.,أنا فرحان قدرتي الديرها.
"wayeh, hadchi khayb bzzaf","Yeah, that's too bad","وايه, هادشي خايب بزّاف"
ghan7eTT daba a chef,Serving now chef,غانحطّ دابا أ شف
bla 7lib a chef,No milk chef,بلا حليب أ شف
3ndna SoS bla 7lib?,Have we got a milk-free sauce?,عندنا صوص بلا حليب?
"la, ma3ndna SoS fabor!","No, we don't have free sauce!","لا, ماعندنا صوص فابور!"
ana khayf wahd chwia,I'm a bit worried.,أنا خايف واهد شويا
mech o joj babbaghawat.,A cat and two parakeets.,مش أُ جوج بابّاغاوات.
walakin rahom hi bTTat.,But they're just ducks.,والاكين راهوم هي بطّات.
ala mabitich t3tih yakol,As long as you don't try to feed it,ألا مابيتيش تعتيه ياكول
khrej iDrbek chwia tlberd,Get some fresh air,خرج إضربك شويا تلبرد
"kan3rfo, walakin kanb9aw ghadyin","We know, but we keep going","كانعرفو, والاكين كانبقاو غاديين"
5 d9ay9 a moulay.,"5 minutes, sir.",5 دقايق أ مولاي.
mat7tajch t3yyet lia moulay.,You don't need to call me sir.,ماتحتاجش تعيّت ليا مولاي.
ma3mmrna knna kanSawbo rroz.,we never served rice.,ماعمّرنا كنّا كانصاوبو الروز.
l khmsa tl ajyal,For five generations,ل خمسا تل أجيال
wach chfto Tbla joj?,Have you seen table two?,واش شفتو طبلا جوج?
dok jjoj soyya7 ngalza?,The couple of British tourists?,دوك الجوج سويّاح نڭالزا?
wach kantsnnaw chi 7erb?,Are we expecting a war?,واش كانتسنّاو شي حرب?
"fikra wa3ra, daba nbddelha.","Great idea, I'll change it.","فيكرا واعرا, دابا نبدّلها."
ah chefthoum. ghaykonou kabous.,Yes I've seen them. They will be a nightmare.,أه شفتهوم. غايكونو كابوس.
fin wSlti f ddisir?,Where are you on dessert?,فين وصلتي ف الديسير?
ddisir rahoa fl frigo.,The desserts are in the refrigerator.,الديسير راهوا فل فريڭو.
"ahya, nmchiw onl3bo tenis?","Hey, let's go and play tenis?","أهيا, نمشيو أُنلعبو تنيس?"
maymknch tkon kathder bSSe7.,You can't be serious.,مايمكنش تكون كاتهدر بصّح.
"ah, ghanakhod Tajine, lay7fdek!","Oh, I'll have a tajine, please!","أه, غاناخود طاجين, لايحفدك!"
daba nchoufou m3a hadchi!,We'll see about that!,دابا نشوفو معا هادشي!
ga3 ma3reft tta achnahia.,I don't even know what it is.,ڭاع ماعرفت التا أشناهيا.
ghaykon 3ndna 3rram tl3waSer,We'll have plenty of juice,غايكون عندنا عرّام تلعواصر
walakin ala makaynch lmochkil,but if it's not a problem,والاكين ألا ماكاينش لموشكيل
mzyan mlli fkkerti fiha.,it's very nice to have thought of it.,مزيان ملّي فكّرتي فيها.
"bikhir hamdolah, lhla ikhTTik.","I'm really well, thank you.","بيخير هامدولاه, لهلا إخطّيك."
glt lik rak ghatwllefha!,I told you you'd get used to it!,ڭلت ليك راك غاتولّفها!
kant hi ms2alat w9t.,It was only a matter of time.,كانت هي مسألات وقت.
kan khss9k chi rf9a.,You needed company.,كان خسّقك شي رفقا.
"mttaf9 m3ak, knt wa7id.","I agree, I was lonely.","متّافق معاك, كنت واحيد."
kaygolo anani chwia radikali.,They think I am a bit extreme.,كايڭولو أناني شويا راديكالي.
ach had ktrt tkhrbi9.,What a lot of nonsense.,أش هاد كترت تخربيق.
"lioma ghaykon ghzal, chokran.","That would be lovely, thank you.","ليوما غايكون غزال, شوكران."
ki ghadya l omor,how are things going,كي غاديا ل أُمور
wach kolchi hoa hadak?,is everything ok?,واش كولشي هوا هاداك?
Tle3 b 20 dhs,it costed 20 dhs,طلع ب 20 دهس
nhari daz ki zzmer.,My day was awful.,نهاري داز كي الزمر.
"ayeh, n9dro nkhrjo ntgheddaw.","Yeah, we can go out for lunch.","أيه, نقدرو نخرجو نتغدّاو."
lmada9 dyalo 7sen daba.,It tastes better now.,لماداق ديالو حسن دابا.
imkn njm3oh m3a laglas,We can associate it with ice cream,إمكن نجمعوه معا لاڭلاس
ah bda mrra khra.,Yes start again.,أه بدا مرّا خرا.
i9dr izid imreD ktr!,He might get even sicker!,إقدر إزيد إمرض كتر!
bghitini n7ebb lwalida dyali?,You want me to love my mother?,بغيتيني نحبّ لواليدا ديالي?
"Uh, mzyan, ala bghiti!","Uh, all right, if you want!","وه, مزيان, ألا بغيتي!"
7aDD sa3id a chef!,"Good luck, boss!",حاضّ ساعيد أ شف!
"3ad zid, makaynch lma.","Besides, there's no water.","عاد زيد, ماكاينش لما."
"baraka 3lia, daba nwrrek.","Come on, I'll press.","باراكا عليا, دابا نورّك."
"tfou, ma3ndich rrizo ga3.","Damn, I've haven't got any reception.","تفو, ماعنديش الريزو ڭاع."
machi 7sn mn dyalk.,No better than yours.,ماشي حسن من ديالك.
"knti f ssads, tanta?","You were in the sixth grade, too?","كنتي ف السادس, تانتا?"
"t2khir, achno hadchi tani?","delays, what's that all about?","تءخير, أشنو هادشي تاني?"
wach dwwzti nhar khayb?,Have you had a bad day?,واش دوّزتي نهار خايب?
yalah 7Drt lwahd lksida.,I just witnessed an accident.,يالاه حضرت لواهد لكسيدا.
ana khayf chi chwia.,I'm a little scared.,أنا خايف شي شويا.
wach katkhaf mn DDlam?,Are you scared of the dark?,واش كاتخاف من الضلام?
ayy haja t9dr to93!,Anything could happen!,أيّ حاجة تقدر توقع!
wach kaDDenn hadchi ghayo93?,Do you think that will happen?,واش كاضّنّ هادشي غايوقع?
walakin fin ghanmchiw idan?,But where should we go then?,والاكين فين غانمشيو إدان?
wach t3llmti fin TTyyeb?,Did you learn where to cook?,واش تعلّمتي فين الطيّب?
maghankhllich hadchi it3awd 3awtani.,I won't let that happen again.,ماغانخلّيش هادشي إتعاود عاوتاني.
redd lbal f ssogan,be careful driving,ردّ لبال ف السوڭان
wakha ttrjem lia hadi,can you translate this for me,واخا الترجم ليا هادي
ghandowwer lik fach nkhrj,I'll call you when I leave,غاندووّر ليك فاش نخرج
daba nrj3 mn b3d,I'll come back later,دابا نرجع من بعد
toddrat lia l magana,I lost my watch,تودّرات ليا ل ماڭانا
khssni nmchi l ddar,I need to go home,خسّني نمشي ل الدار
kanDenn rah mzyana bzzaf,I think it's very good,كانضنّ راه مزيانا بزّاف
kan kays7abni l7wayj rkhaS,I thought the clothes were cheaper,كان كايسحابني لحوايج رخاص
kter mn 2 km,it's longer than 2 km,كتر من 2 كم
sm3t fransa blaSa zwina,I've heard France is a beautiful place,سمعت فرانسا بلاصا زوينا
chft hadchi mn 9bl,I've seen that before,شفت هادشي من قبل
3afak 3mmri had lstimara,please fill out this form,عافاك عمّري هاد لستيمارا
3afak ddini lhad ladrisa,please take me to this address,عافاك الديني لهاد لادريسا
chokran 3la lmosa3ada dyalk,thanks for your help,شوكران علا لموساعادا ديالك
lktab rah t7t TTbla,the book is under the table,لكتاب راه تحت الطبلا
chi 300 kilometre hakkak,about 300 kilometers,شي 300 كيلومتر هاكّاك
wakha t3awdi hadchi 3afak,can you repeat that please,واخا تعاودي هادشي عافاك
wach 3ndk flous kafyin,do you have enough money,واش عندك فلوس كافيين
bghitini ndouz lik n8zzek?,do you want me to come and pick you up?,بغيتيني ندوز ليك نهزّك?
mn 8na l l8i8,from here to there,من هنا ل لهيه
fayt knti f Agadir,have you been in Agadir,فايت كنتي ف أڭادير
kighandir bach noSl tmma,how do I get there,كيغاندير باش نوصل تمّا
ch7al tlw9t f TTyyara,how long is the flight,شحال تلوقت ف الطيّارا
bghit nsowllek wahd sou2al,I want to ask you a question,بغيت نسوولّك واهد سوأل
wach had stylo dyalk,is this pen yours,واش هاد ستيلو ديالك
TTyara ghat9lle3 m3a 5,the plane departs at 5,الطيارا غاتقلّع معا 5
imta wSlti l Settat,when did you arrive in Settat,إمتا وصلتي ل صتّات
khod had 10 drahem,take this 10 dirhams,خود هاد 10 دراهم
3ndk chi haja rkhiSa,do you have anything cheaper,عندك شي حاجة رخيصا
wach kat9bl carte bancaire,do you take credit card,واش كاتقبل كارت بانكاير
ch7al katSowwer t lflous,how much money do you make,شحال كاتصووّر ت لفلوس
khssni ntrini 3la l'anglais,I need to practice my English,خسّني نتريني علا ل'انڭلايس
hadi tts3oud o rb3,it's a quater past nine,هادي التسعود أُ ربع
kayn bnadm bzzaf 8na,there are many people here,كاين بنادم بزّاف هنا
chnahia nmra t tilifon,what's the phone number,شناهيا نمرا ت تيليفون
fin imken n9TTe3 lora9,where can I buy tickets,فين إمكن نقطّع لوراق
chkon fihom lli 7sen,which one is better,شكون فيهوم اللي حسن
hadi 11 o ness,it's half past 11,هادي 11 أُ نسّ
9ell mn 5 dhs,it's less than 5 dhs,قلّ من 5 دهس
kter mn 5 dhs,it's more than 5 dhs,كتر من 5 دهس
wa skhoun l7al nit,it's really hot,وا سخون لحال نيت
dari 7da l banka,my house is close to the bank,داري حدا ل بانكا
3la brra dyal loTil,outside the hotel,علا برّا ديال لوطيل
lktab rah mora Tbla,the book is behind the table,لكتاب راه مورا طبلا
lktab rah gddab Tbla,the book is in front of the table,لكتاب راه ڭدّاب طبلا
lktab rah 7da Tbla,the book is next to the table,لكتاب راه حدا طبلا
lktab rah fog Tbla,the book is on top of the table,لكتاب راه فوڭ طبلا
wach wakha nglso tmma,can we sit over there,واش واخا نڭلسو تمّا
wach kat3ta9d annaha momkina,do you think it's possible,واش كاتعتاقد أنّاها مومكينا
bghit chwia tlma 3afak,I'd like some water too please,بغيت شويا تلما عافاك
bghit nchri chi haja,I'd like to buy something,بغيت نشري شي حاجة
bghit nkri chi Tomobil,I'd like to rent a car,بغيت نكري شي طوموبيل
daba ndowr mn b3d,I'll call back later,دابا ندوور من بعد
tilifoni makaychddch rrizo mzian,my cell phone doesn't have good reception,تيليفوني ماكايشدّش الريزو مزيان
fin kayna a9rab restora,where is the closest restaurant,فين كاينا أقراب رستورا
bghiti lma ola l7lib,would you like water or milk,بغيتي لما أُلا لحليب
wach kadir riyada bezzaf?,Do you do a lot of sports?,واش كادير رييادا بزّاف?
tel3at lia l9erda daba,I am getting fed up now,تلعات ليا لقردا دابا
"ayeh, sir 3ellah, njerbo!","Yes, go ahead, we can try!","أيه, سير علّاه, نجربو!"
chouf ydiya kaytre3do tana,"Look, my hands are shaking, too.",شوف يدييا كايترعدو تانا
ghadi nzour wa7d ssadi9a,I'm visiting a friend.,غادي نزور واحد الساديقا
daba hadi fikra meziana,Now that's a good idea!,دابا هادي فيكرا مزيانا
bda bl as2ila lbaSita,Start with simple questions.,بدا بل أسإلا لباصيتا
tbghi dir hadchi m3aya?,You would do that for me?,تبغي دير هادشي معايا?
o hadchi kayn sara7a...,Which is sort of true...,أُ هادشي كاين ساراحا...
wach machi ghech hada?,Isn't that cheating?,واش ماشي غش هادا?
achno lli jabk hna?,What brings you here?,أشنو اللي جابك هنا?
walakin bessa7 lfrakh zwinin,But it's true that babies are cute.,والاكين بسّاح لفراخ زوينين
"lbeT zwinin, khoSoSan ddkora","The ducks are pretty, particularly the males.","لبط زوينين, خوصوصان الدكورا"
kansayb logicielat l chcharikat.,I'm developing software for companies.,كانسايب لوڭيسيلات ل الشاريكات.
khantkheSeS f daka2 lsTina3i,I specialize in artificial intelligence.,خانتخصص ف داكاء لسطيناعي
"sir, tberre3 m3a rask!","Go on, have fun!","سير, تبرّع معا راسك!"
kandekkrek annana fla fac,I remind you we're in college!,كاندكّرك أنّانا فلا فاك
ban lia dmaghek nacht.,I see you have a lot of mind.,بان ليا دماغك ناشت.
"tsenneT lih, ay9der y3jbek.","Do listen, you might enjoy it.","تسنّط ليه, أيقدر يعجبك."
"lla, b Tabi3t l7al.","No, of course.","اللا, ب طابيعت لحال."
mofaja2a hadi melli chefnak.,What a surprise to see you.,موفاجاأ هادي ملّي شفناك.
ana bikhir hamdollah chokran.,I'm very well thank you.,أنا بيخير هامدولّاه شوكران.
wach katkhrj merra merra?,Do you go out once in a while?,واش كاتخرج مرّا مرّا?
kankhrj merra f simana.,I go out once a week.,كانخرج مرّا ف سيمانا.
kaynin 7ta l anshiTa.,There are activities too.,كاينين حتا ل أنسهيطا.
mazal katl3b lpiano? kantmenna,"You still playing the piano, I hope?",مازال كاتلعب لپيانو? كانتمنّا
kandir piano merra merra.,I do the piano sometimes.,كاندير پيانو مرّا مرّا.
kantmenna tji merra khra.,I hope you can come again.,كانتمنّا تجي مرّا خرا.
daz 3ndi nhar mfelles,I've had a horrible day,داز عندي نهار مفلّس
llah 3la 7bibi mskin.,"Oh, my poor darling.",اللاه علا حبيبي مسكين.
3refti rah fyamato llekhra,He is on his last legs you see,عرفتي راه فياماتو اللخرا
"ayeh, walakin ma3mrni tsow9t.","Yes, but I never minded.","أيه, والاكين ماعمرني تسووقت."
"9ariban, maghadich nb9aw fo9ara2!","Soon, we will not be poor anymore!","قاريبان, ماغاديش نبقاو فوقاراء!"
guelt lik lbsi mezian.,I told you to dress up.,ڭولت ليك لبسي مزيان.
"makanch hakka, fechechtih bezzaf!","He didn't used to be, you've spoiled him way too much!","ماكانش هاكّا, فششتيه بزّاف!"
nchoufouk men daba chwia,See you in a bit,نشوفوك من دابا شويا
kifach bghiti l9hwa dialk?,How would you like your coffee?,كيفاش بغيتي لقهوا ديالك?
achno li kayn maytchaf?,What's interesting to see?,أشنو لي كاين مايتشاف?
lm3riD lfenni fih maytchaf.,The art gallery is interesting.,لمعريض لفنّي فيه مايتشاف.
wach b3id men hna?,Is it far from here?,واش بعيد من هنا?
"salam 7bibi, ghbourate hadi!","Hello my dear, it's been a while!","سالام حبيبي, غبورات هادي!"
"bessa7, w9t twil hada.","It's true, it's been a long time.","بسّاح, وقت تويل هادا."
"ayeeh, ban lia hadchi.","Oh, yes, I can see that.","أييه, بان ليا هادشي."
daba nfekker f hadchi,Maybe I should look into it,دابا نفكّر ف هادشي
o lmakla hna meziana.,And meals are pretty good.,أُ لماكلا هنا مزيانا.
"ayeh, 3a9l 3la hadchi!","Oh yes, I remember that!","أيه, عاقل علا هادشي!"
yallah nemchiw ncherbo atay,Let's go have some tea,يالّاه نمشيو نشربو أتاي
yallah nmchiw ncherbo atay!,Let's go to tea!,يالّاه نمشيو نشربو أتاي!
hadi fikra machi dinia!,That's not a very religious idea!,هادي فيكرا ماشي دينيا!
makan9derch nsber l dakchi!,I can't stand the things!,ماكانقدرش نسبر ل داكشي!
wakha walakin tkhellih berra.,Ok but it'll have to stay outside.,واخا والاكين تخلّيه برّا.
machi khyeb men Rex,No more horrible than Rex,ماشي خيب من رش
kan kay7sab lia 3ndek...,I thought you did...,كان كايحساب ليا عندك...
wach kaDen hadchi bessa7?,Do you really think so?,واش كاضن هادشي بسّاح?
o ddo ra2i3 bezzaf.,And the light is absolutely splendid.,أُ الدو راإع بزّاف.
ana kanchouf Sak dialk.,I can see your bag.,أنا كانشوف صاك ديالك.
o 3lach kathder m3aya?,But why do you talk to me?,أُ علاش كاتهدر معايا?
"kolchi ghadi ykon mezian,","Everything's gonna be okay,","كولشي غادي يكون مزيان,"
kan dakchi ldid bezzaf.,It was absolutely delicious.,كان داكشي لديد بزّاف.
"iwa.... sba7 lkhir, doctor.","Well.... Good morning, Doctor.","إوا.... سباح لخير, دوكتور."
tfar9ti akhiran m3a sa7bek?,You finally split up with your boyfriend?,تفارقتي أخيران معا ساحبك?
"kan rajli, walakin sa7bi?","He was my husband, but my friend?","كان راجلي, والاكين ساحبي?"
3lach kay7sab lik khellito?,Why do you think I left him?,علاش كايحساب ليك خلّيتو?
katl3b bia... nta... nta...,Playing with me... you... you...,كاتلعب بيا... نتا... نتا...
wach 3ndk chi bawSala?,Do you have a compass?,واش عندك شي باوصالا?
wach tilifounk fih w7da?,Does your phone have one?,واش تيليفونك فيه وحدا?
"fih GPS, makay7tajch conneksion.","It's got GPS, it doesn't need a connection.","فيه ڭپص, ماكايحتاجش كونّكسيون."
"walakin wakha, yallah nmchiw.","But okay, let's go.","والاكين واخا, يالّاه نمشيو."
wach y9der atterfih y3awn?,Would distraction help?,واش يقدر أتّرفيه يعاون?
ma3ndhom maydiro l idTirabat!,They can't do anything about the turbulence!,ماعندهوم مايديرو ل إدطيرابات!
achmen l3bat 3zaz 3lik?,What games do you like?,أشمن لعبات عزاز عليك?
"zwin bezzaf, khassk tjerreb","It's very nice, you should try","زوين بزّاف, خاسّك تجرّب"
makay3jbonich lktouba dial arrossoum.,I don't like comics.,ماكايعجبونيش لكتوبا ديال أرّوسّوم.
maghadi ngoul 7ta kelma.,I won't say a word.,ماغادي نڭول حتا كلما.
ila bghitina ntmechchaw ghedda,If you want us to walk tomorrow,إلا بغيتينا نتمشّاو غدّا
3reft ana wa3er bezzaf.,I know I'm really amazing.,عرفت أنا واعر بزّاف.
bghit 3aSir dial limoun.,I'll have an orange juice.,بغيت عاصير ديال ليمون.
Oh biti t9Sd nkherjo?,Oh you mean go out?,أُه بيتي تقصد نخرجو?
"jani lmalal, o nta?","I'm getting a little bored, aren't you?","جاني لمالال, أُ نتا?"
hadchi maymkench nfhmo ana.,It's totally incomprehensible to me.,هادشي مايمكنش نفهمو أنا.
idan 3ndna wa7d lmochkil.,Then we have a dilemma.,إدان عندنا واحد لموشكيل.
chkonahowa l7akim dial lghaba?,Who's the wise man of the woods?,شكوناهووا لحاكيم ديال لغابا?
wach nta 8na bo7dk,are you here alone,واش نتا هنا بوحدك
wach momkin njib sa7bi?,Can I bring my friend?,واش مومكين نجيب ساحبي?
wach 3arf ch7al kayswa?,Do you know how much it costs?,واش عارف شحال كايسوا?
hahia l commande dyalk,Here's your order,هاهيا ل كومّاند ديالك
bghit ndowwer l mirikan,I'd like to call the United States,بغيت ندووّر ل ميريكان
yalah 3ndi 5 drahem,I only have 5 dirhams,يالاه عندي 5 دراهم
wakha tgollih iji l8na?,Would you ask him to come here?,واخا تڭولّيه إجي لهنا?
bghiti 98wa ola atay?,Would you like coffee or tea?,بغيتي قهوا أُلا أتاي?
bghiti chi haja tchrebha?,Would you like something to drink?,بغيتي شي حاجة تشربها?
bghiti tferrej f tlfaza?,Would you like to watch TV?,بغيتي تفرّج ف تلفازا?
wach ghatji had l3chia?,Are you coming this evening?,واش غاتجي هاد لعشيا?
wach msali had llila?,Are you free tonight?,واش مسالي هاد الليلا?
wach Ta7 ttlj lbar7?,Did it snow yesterday?,واش طاح التلج لبارح?
wach khditi ddwa dyalk?,Did you take your medicine?,واش خديتي الدوا ديالك?
wach kat7ess brask 7sen?,Do you feel better?,واش كاتحسّ براسك حسن?
3ndk chi whda khra?,Do you have another one?,عندك شي وهدا خرا?
yakma khassak chi haja?,Do you need anything?,ياكما خاسّاك شي حاجة?
wach kat9ra l anglais?,Do you study English?,واش كاتقرا ل أنڭلايس?
wach tla9aw m3aha b3da?,Have they met her yet?,واش تلاقاو معاها بعدا?
wach drti hadchi 9bel?,Have you done this before?,واش درتي هادشي قبل?
ch7al tlwe9t 3chti 8na?,How long have you lived here?,شحال تلوقت عشتي هنا?
ch7al dyal ddrari 3ndek?,How many children do you have?,شحال ديال الدراري عندك?
ch7al mn logha kat8Der?,How many languages do you speak?,شحال من لوغا كاتهضر?
daba ngollih rah dowwerti,I'll tell him you called,دابا نڭولّيه راه دووّرتي
kanhder chwia bl anglais,I speak a little English,كانهدر شويا بل أنڭلايس
wach darkom b7al hadi?,Is your house like this one?,واش داركوم بحال هادي?
"lla, hadi lmrra llowwla.","No, this is the first time.","اللا, هادي لمرّا اللووّلا."
achmen mdrasa lach katmchi?,What school did you go to?,أشمن مدراسا لاش كاتمشي?
achnahoa a7san film 3ndk?,What's your favorite movie?,أشناهوا أحسان فيلم عندك?
fin t3llmti l anglais?,Where did you learn English?,فين تعلّمتي ل أنڭلايس?
chkon sift had rrisala?,Who sent this letter?,شكون سيفت هاد الريسالا?
wach wakha tchri hada?,Would you like to buy this?,واش واخا تشري هادا?
kathder l anglais mzyan.,You speak English very well.,كاتهدر ل أنڭلايس مزيان.
wach l banka b3ida?,Is the bank far?,واش ل بانكا بعيدا?
