eng,darija_ar,transl
"But she doesn't drink coffee, and she doesn't smoke, so she stays in her office.","والاكين هيا ماتاتشربش لقهوا, أُ ماتاتكميش, داكشي علاش كاتڭلس فل بيرو.","The thing is, she doesn't drink coffee, nor does she smoke, that's why she gets angry at the party."
"if we have a good reason to talk to her, she's always ready to talk.","ألا عندنا ساباب معقول باش نهضرو معاها, هيا راه ديما مستاعدّا تهضر.","We have reasonable doors to talk to her, she is always willing to chat."
one or two of you could discuss this situation with her,واحد أُلّا جوج منّكوم إقدر إناقش معاها هاد لمسألا,One of you guys can discuss this issue with her.
she does not have enough confidence in the team,ماعندهاش تيقا كافيا فل فرقا,She doesn't have enough patience for a long-distance relationship.
"All right, I'll try to discuss it discreetly","صافي, دابا نحاول الناقشها بلا مانعيّق","Clear, now let's try to discuss it without obstacles."
Do you think I should take a vacation?,تايبان ليك خسّ نشدّ عوطلا?,Do you want me to bring you some food?
May I suggest you speak to you colleagues,مومكين نقتارح عليك تهضر معا الناس اللي خدّامين معاك,We can't recommend you to talk to the people working with you.
This is very common and nothing to worry about.,هادشي عادي و التا حاجة ماكاتقلّق,"This is normal, and nothing to worry about."
the pressure has indeed affected your general emotional state,الضاغط بلفيعل ءتّر علا لحالا لعاطيفيا لعامّا ديالك,"The pressure will eventually ease on its own, be patient and everything will be fine."
Yes but the translation was wrong,أه والاكين الترجاما كانت غالطا,"Oh, the translation was wrong."
Do you feel she herself is under pressure from her director?,واش كايبالّيك أنّاها هيا تحت الضاغط من لمودير ديالها?,Does it bother you that she is under pressure from her boss?
Maybe she is constantly worried about not meeting her targets.,إمكن هيا ديما خايفا ماتحقّقش ل أهداف ديالها.,Maybe she's always afraid she won't achieve her goals.
Do you have colleagues who feel stressed like you?,واش الناس اللي خدّامين معاك تايحسّو بتّاوتّور بحالك?,Do the people working with you feel the same way about you?
Is your boss a lady or a man?,شف ديالك مرا أُلّا راجل?,Are you a woman or a man?
I think we're all stressed and at the same time all admire her.,تايبالّيا حنا كولّنا مسترسّيين و فنفس لوقت كولّنا تاتعجبنا.,"Sometimes we eat while feeling sad, and at the same time, we enjoy it."
But his reviews are always justified.,والاكين لمولاحاضات ديالو ديما مبرّرين.,The stubborn ones always justify their actions.
when I'm running a little late or I don't do whatever she wants,فاش تانكون معطّل شويا أُلّا ماتانديرش شي حاجة بغاتها,"When you're a bit idle, don't just sit there doing nothing."
"I work a lot, which allows me to do my job properly.","تانخدم بزّاف, داكشي اللي تايخلّيني ندير خدمتي مزيان.","I work a lot, that's what makes me do my job well."
"Tell me, are you able to do your work with confidence?","ڭولّيا, واش نتا قادّ تدير خدمتك بكولّ تيقا?","Hey, can you handle your work with all the stress?"
do you feel unable to reach the expected targets?,واش كاتحسّ براسك ماقادّش توسّل ل أهداف اللي عوّلتي عليها?,Do you feel like you can't achieve the goals you relied on?
I'm talking about the manager of my department,تانهضر علا لمودير ديال لمصلاحا ديالي,I will talk to my car mechanic.
Are there any women around you that you find difficult to deal with?,واش كاينين شي عيالات دايرين بيك اللي صعيب عليك التعامل معاهوم?,Are there any kids giving you a hard time to deal with?
in your work or elsewhere,فلخدما ديالك أُلّا علا برّا,Focus on your work and ignore the rest.
"No, nothing special, I think.","اللا, التا حاجة ماغريبا, فناضاري.","No, it's not strange, it's normal."
Have you had any unusual or unpleasant experiences recently?,واش دوّزتي شي تاجاريب ماعاديّاش أُلّا فشكل موءخاران?,"Have you tried any new experiences lately, or are you stuck in your comfort zone?"
things that you feel may have been caused by something you did,شي حوايج اللي كاتحسّ إقدر إكونو بسباب شي حاجة درتيها,Some things make me feel like I can be them because of something I did.
"Your sister, your mother, a friend?","ختك, لواليدا ديالك, شي صاديق?","Your sister, to your parents, is she honest?"
Can you recognize anybody you know?,تقدر تجبد شي واهد كاتعارفو?,Can you bring me something that you know?
A female voice who sometimes comment on what I'm doing.,صوت ديال لعيالات هوا لي مرّا مرّا كايعلّق علا داكشي اللي كاندير.,The voice of the kids playing is what I miss the most.
"For a few months, sometimes I feel like I hear a voice talking in my head.","شي شهورا هادو, بعد لمرّات كانحسّ بحال ألا كانسمع شي صوت كايهدر فوست راسي","These months are tough, sometimes I feel like I hear a buzzing sound in my head."
I'm here to see you because I don't understand what's happening to me,أنا هنا باش نشوفك حيت ماكانفهمش أش كايوقع ليا,I'm here to see you because I didn't understand what was happening to me.
I believe this is the first time we have met.,كانضنّ هادي أوّال مرّا كانتلاقاو.,I think this is the first time they meet.
Feel free to come back if you still have questions.,عاود دوز ألا باقي عندك شي أسإلا.,Check again if you have any remaining questions.
I'll send it over to you as soon as it's finished.,دابا نصيفتها ليك أُقتمّا كملات.,"Now, it's your turn to complete the words."
But you must respect that new deadline,والاكين خسّك تحتارم هاد لوقت الجديد,Even the dogs respect themselves in this new era.
"Would it be possible for you to give me an extension to the deadline, say another two weeks?","واش مومكين ليك تزيدني شويا تلوقت, ڭول شي جوج سيمانات هاكّاك?","Is it possible for you to lend me some money, say a couple of hundred dirhams?"
How many words is a short paragraph?,شحال من كلما فشي فقرا صغيرا?,How many words are in a small book?
"This is really helping me think through what I need to write, thank you.","هادشي الصاراحا كايعاونّي نفكّر ف أش خسّني نكتب, لايحفدك","This coffee helps me think about what I should write, it's inspiring."
Do I present the essay as factual or do I take a political view point?,واش نقدّم لماقال علا أنّاهو واقيعي أُلّا ناخود ويجهات ناضار سيياسيا?,Should we follow what he says or should we take our own political stances?
I've just checked that date on Google,يالّاه شفت التاريخ ف ڭوڭل,"Wow, I saw the date on Google."
So the first thing you do is choose.,إدان أوّال حاجة الديرها هيا تختار,The first thing to do is to choose.
But there are so many options to choose from.,والاكين راه كاينين عرّام تلختيارات اللي تختار منّهوم.,And the wise ones are those who make their choices carefully.
you have to start by asking about it,خسّك تبدا بعدا تسووّل عليه,You should start looking for another job.
Are we talking about British or French politics?,واش تانهضرو علا السياسا لبريطانيا أُلا لفرانساويا?,Do you prefer studying politics in Britain or in France?
I've been asked to write an essay on politics but I don't know where to start,التڭال ليا نكتب واهد لماقال علا السياسا والاكين ماعرفتش منين نبدا,He asked me to write a speech about politics and I didn't know where to start.
Can you explain what you don't understand?,مومكين تشرح شنو اللي مافهمتيش?,It's not possible to explain what you didn't understand.
I've been told that I can't drive,التڭال ليا أنّاهو مايمكنش نصوڭ,He told me that he can't swim.
I've really struggled to understand what it is I have to do,وا تكرفصت بلمعقول باش نفهم أش خسّني ندير,I tried my best to understand what I should do.
"Hi, I'm sorry my homework is late","سالام, سمح ليا عطّلت تامارين ديالي","Hello, excuse me, I took a break from my studies."
"Oh, I think the first guests are coming","أُه, تايبالّيا الضياف اللوولين جايّين","Wow, the first guests are coming."
"Don't worry, but make sure you know what's what tomorrow","كون هاني, والاكين تيقّن أنّاك عارف شنو كاين غدّا","Be careful, because they might know what's going on tomorrow."
You will have to get to know the kitchen better or you will slow us all down,غايخسّك تعرف لكوزينا مزيان أُلّا غاتعطّلنا كاملين,"He wants to know if the kitchen is good, or if it will break down completely."
I believe this is the first time we've used this thing,كايبالّيا هادي هيا لمرّا اللوولا لي خدّمنا فيها هاد اللعيبا,This is the first time we have worked with this player.
I don't know the location of all the ingredients yet,أنا ماعارفش لبلاسا ديال ڭاع لماقادير حتّال دابا,I don't know where the market of Gaa La Maqadir is located until now.
Please remember to clear away after you have finished,عافاك ماتنساش تنقّي لبلاصا مورا ماتسالي,Please don't forget to clean your room before you go out.
