literal_eng,equivalent_eng,darija_ar,explanation,eng_equivalent_case,transl,literal
So many elephants have been stung by scorpions.,Don't judge a book by its cover.,شحال من الفيل قرصاتوا عقرب,Don't judge a book by its cover.,idiom,How many times can a scorpion sting an elephant?,How many times the elephant got stung by a scorpion
The world is a shirt everyone wears for an hour.,Life is short.,الدنيا دراعة كل واحد كيلبسها ساعة,Life is short.,construction,"The world is a cloak, everyone wears it for an hour.","The world is a shield, everyone wears it for an hour."
The beauty is only in the actions.,"All beauty, no brains.",الزين إلا زين الفعال,,construction,Beauty is in the eye of the beholder.,The beauty is in the beauty of actions.
A day's wedding is a year's planning.,Rome wasn't built in a day.,زواج ليلة تدبيره عام,"means that significant achievements or complex tasks require time, effort, and careful planning.",idiom,A marriage planned overnight.,"Marriage of a night, its planning is a year."
The Fqih that we expect his blessing entered the Mosque while wearing his slippers.,He talks out of both sides of his mouth.,الفقيه اللي نتسناو براكته ادخل للجامع ببلغته,He's a hypocrite.,construction,The scholar we are waiting for his blessing enters the mosque in his robe.,The scholar we are waiting for his blessing enters the mosque in his language.
"Tie your donkey with other donkeys, it will only learn to bray, neigh and from the path he'll stray.",You're known by the company you keep.,اربط حمارك مع الحمير، يتعلم الشيق والنهيق وخرجان الطريق,"Beware of the company you keep, they will teach you bad habits.",construction,"Tie your donkey with the donkeys, it will learn the braying and the neighing and get out of the way.","Tie your donkey with the donkeys, it will learn the braying and neighing and get out of the way."
The donkey is hiding but his ears are sticking out in plain sight.,You can't hide from your problems.,الحمار مخبي ووذنيه برّا,You can't hide from your problems.,construction,The donkey hides its ears outside.,The donkey is hiding and its ears are outside.
An oven that goes all around the neighborhood.,A powerhouse.,فران وقاد بحومة,An extremely capable person.,construction,To light a fire and walk away.,A mouse led by a cat
Flies do not enter a closed mouth.,"If you can't say something nice, don't say anything at all.",الفم المسدود ما يدخلو دبان,"If you don't have anything nice to say, don't say anything at all. Don't speak poorly of others.",construction,A closed mouth catches no flies.,A closed mouth doesn't let flies in.
The world gives to some people and punches others in the stomach.,Life deals some people a good hand and others a bad one.,الدنيا شي عطاتو وشي زواتو,You get both the good and bad in life.,construction,The world gives some and takes some.,The world is something that gives and takes.
