darija,eng,darija_ar
"ayeh, mr7ba!","Yes, with pleasure!","أيه, مرحبا!"
llkher ikhlleS,last one there has to pay,اللخر إخلّص
hadchi mbrre3.,That's great.,هادشي مبرّع.
hadchi mohimm.,It's so interesting.,هادشي موهيمّ.
ghan3tabrha ah.,I'll take that as a yes.,غانعتابرها أه.
hadchi mbrre3.,That's good.,هادشي مبرّع.
ana nba8rt,I'm impressed.,أنا نباهرت
"ah, wgfat.","Ah, it stopped.","أه, وڭفات."
7ll hada.,Open that.,حلّ هادا.
hadchi kaytllef.,That's confusing.,هادشي كايتلّف.
mrra mrra.,Sometimes.,مرّا مرّا.
stmt3ti bihoum?,Did you enjoy them?,ستمتعتي بيهوم?
"lla, flghda.","No, for lunch.","اللا, فلغدا."
mn jihtek?,on your side?,من جيهتك?
"mbrre3, lay7fdek","Very well, thank you","مبرّع, لايحفدك"
hadchi kaykhle3.,It's scary.,هادشي كايخلع.
khssna nsrbiw!,We have to hurry!,خسّنا نسربيو!
ach ballik?,What do you think?,أش بالّيك?
katl3b rryaDa?,Do you play sports?,كاتلعب الرياضا?
"ah, fhmt.","Yes, I see.","أه, فهمت."
3ndk lkhariTa?,You got the map?,عندك لخاريطا?
bghiti chwia?,you want some?,بغيتي شويا?
ayeh lay7fdek.,Yes please.,أيه لايحفدك.
ach wa93?,What's going on?,أش واقع?
hadchi kaytllef.,It gets confusing.,هادشي كايتلّف.
"ayeh, Tab3an.","Yes, of course.","أيه, طابعان."
"La, batatan.","No, not at all.","لا, باتاتان."
9chchabto was3a!,He has a good sense of humor!,قشّابتو واسعا!
nchcheTTini mzyan.,You have cheered me up no end.,نشّطّيني مزيان.
ana nachT.,I'm glad.,أنا ناشط.
20 no9Ta,20 points,20 نوقطا
gles 8na,Sit here,ڭلس هنا
"alla, kay7emm9o","Oh no, they're too cute","ألّا, كايحمّقو"
"ah, tfDDel.","Yes, please do.","أه, تفضّل."
machi m39oul!,It's not fair!,ماشي معقول!
fidlah n3amas,"Goodbye, sir.",فيدلاه نعاماس
wach ma3rftihach?,Don't you know it?,واش ماعرفتيهاش?
maz3emtch nsowwlo,I didn't dare ask him,مازعمتش نسووّلو
daba nswwlo.,I'll ask him.,دابا نسوّلو.
kaddir pikala?,Do you cycle?,كادّير پيكالا?
"ayeh, mr7ba.","Yes, please.","أيه, مرحبا."
khoSoSan flmdina,especially in a city,خوصوصان فلمدينا
3lliser dyalk,On your left!,علّيسر ديالك
hadi benti.,That's my girl.,هادي بنتي.
"ayeh, Tab3an.","Yes, of course.","أيه, طابعان."
Tab3an lla!,Of course not!,طابعان اللا!
chwia ghabiyya,It's a bit stupid,شويا غابييّا
ewa tl9na.,"Well, hurry up.",إوا تلقنا.
wach jay?,Is it coming?,واش جاي?
a7san nokta,Best joke ever,أحسان نوكتا
imta ghechchit!,When have I cheated?,إمتا غشّيت!
sme7 lia?,Excuse me?,سمح ليا?
"wakha, mzyana!","Okay, great!","واخا, مزيانا!"
chokran tanta!,Thank you too!,شوكران تانتا!
daba lmosi9a?,Now for music?,دابا لموسيقا?
ach ballik?,What do you think?,أش بالّيك?
ach kayn?,What's up?,أش كاين?
hhhh lla!,Ha ha no!,هههه اللا!
frasi mangddch.,I know I couldn't.,فراسي مانڭدّش.
bnadm 3abiT.,Silly people.,بنادم عابيط.
b9a fia,I empathize with him,بقا فيا
b9at fia,I empathize with her,بقات فيا
chno smitk,what's your name,شنو سميتك
ach kat3awd,what's up,أش كاتعاود
ach kat3awd,how are you,أش كاتعاود
a fink,where are you,أ فينك
fin ghadi,where are you going,فين غادي
ach khbark,how are things going,أش خبارك
kolchi wajd,everything is ready,كولشي واجد
daba nkhllS,I will pay,دابا نخلّص
ana mghbribi,I am moroccan,أنا مغبريبي
jani lbrd,I am cold,جاني لبرد
ana bikhir,I am good,أنا بيخير
ana mamt2kkedch,I'm not sure,أنا مامتءكّدش
fin knti,where were you,فين كنتي
dwwr lia,give me a call,دوّر ليا
fin khddam,where do you work,فين خدّام
wach b3id?,is it far?,واش بعيد?
wach skhoun?,is it hot?,واش سخون?
wach ntsnna?,should I wait?,واش نتسنّا?
ach hadchi?,what is this?,أش هادشي?
mnin nta?,where are you from?,منين نتا?
chkon fihom?,which one?,شكون فيهوم?
ana wajd,I am ready,أنا واجد
khssni nmchi,I need to go,خسّني نمشي
3ndk l7e99,you are right,عندك لحقّ
fia jjo3,I am hungry,فيا الجوع
fia l3Tech,I am thirsty,فيا لعطش
fikra zwina,good idea,فيكرا زوينا
wijhat naDar,point of view,ويجهات ناضار
3rfti chno,you know,عرفتي شنو
dowwez lwe9t,spend time,دووّز لوقت
3tih bttisa3,leave him alone,عتيه بتّيساع
fotha 3lik,leave her alone,فوتها عليك
yallah rj3t.,I just got back.,يالّاه رجعت.
kidaz nhark?,How was your day?,كيداز نهارك?
kidaz nhark?,How was your day?,كيداز نهارك?
kant S3iba!,It was hard!,كانت صعيبا!
zwin bzzaf.,It's very good.,زوين بزّاف.
ach kat9tar7?,What do you suggest?,أش كاتقتارح?
hadchi mitali!,It's perfect!,هادشي ميتالي!
"bS77a, blfi3l!","Bon appétit, of course!","بصحّا, بلفيعل!"
ach ballik?,What do you think?,أش بالّيك?
ndwwro lmen?,Call who?,ندوّرو لمن?
o tilifonk?,What about your phone?,أُ تيليفونك?
o nta?,And you?,أُ نتا?
wgf tmma!,Stop right there!,وڭف تمّا!
ewa yallah,so let us do it,إوا يالّاه
hani kansm3,i'm listening,هاني كانسمع
taybano bnan!,They look delicious!,تايبانو بنان!
mangddch naklhoum!,You can't eat them!,مانڭدّش ناكلهوم!
call him,3yyeT 3lih,كالّ هيم
call her,3yyeT 3liha,كالّ هر
call them,3yyeT 3lihom,كالّ تهم
t7t nnjoum!,Beneath the stars!,تحت النجوم!
3ndi lou9id!,I got matches!,عندي لوقيد!
fina8ia lbSla?,Where are the onions?,فيناهيا لبصلا?
makhssnich ntsnna!,I shouldn't wait!,ماخسّنيش نتسنّا!
matskhenhomch bzzaf.,Don't overheat them.,ماتسخنهومش بزّاف.
ghadi it7rgo.,They'll burn.,غادي إتحرڭو.
redd lbal,be careful,ردّ لبال
mat8ezzch l8emm,Don't worry,ماتهزّش لهمّ
kolchi kay3rfha,everyone knows it,كولشي كايعرفها
kolchi wajd,everything is ready,كولشي واجد
fikra mzyana,good idea,فيكرا مزيانا
kat3jbo bzzaf,he likes it very much,كاتعجبو بزّاف
3ndo l7e99,he's right,عندو لحقّ
hoa mch8our,he's famous,هوا مشهور
makan8Drch mzyan,I don't speak very well,ماكانهضرش مزيان
mabghitch nbrzTek,I don't want to bother you,مابغيتش نبرزطك
kan7ess brra7a,I feel good,كانحسّ برّاحا
fia chch9i9a,I have a headache,فيا الشقيقا
daba nkhlleS,I'll pay,دابا نخلّص
daba n8zzha,I'll take it,دابا نهزّها
ana mirikani,I'm an American,أنا ميريكاني
ana mghribi,I'm a Moroccan,أنا مغريبي
jani lbrd,I'm cold,جاني لبرد
ana ghant7rrek,I'm going to leave,أنا غانتحرّك
ana ghanmchi,I'm going to leave,أنا غانمشي
ana fr7an,I'm happy,أنا فرحان
fia jjou3,I'm hungry,فيا الجوع
ana mjowwej,I'm married,أنا مجووّج
ana mamt2ekkedch,I'm not sure,أنا مامتءكّدش
fia l3Tech,I'm thirsty,فيا لعطش
hir chwia,just a little,هير شويا
bllati nchof,let me check,بلّاتي نشوف
lmrra jjayya,next time,لمرّا الجايّا
"la, chokran","no, thank you","لا, شوكران"
machi mo2kharan,not recently,ماشي موءخاران
laykhllik ktbha,please write it down,لايخلّيك كتبها
hir 8na,right here,هير هنا
hir tmma,right there,هير تمّا
nchoufouk ghdda,see you tomorrow,نشوفوك غدّا
nchofouk fllil,see you tonight,نشوفوك فلّيل
hia zwina,she's pretty,هيا زوينا
staghll lforSa,take a chance,ستاغلّ لفورصا
chokran jazilan,thank you very much,شوكران جازيلان
hadchi kafi,that's enough,هادشي كافي
hada makan,that's it,هادا ماكان
hahoma jayyin,they'll be right back,هاهوما جايّين
rahom mchghoulin,they're very busy,راهوم مشغولين
hadchi makhddamch,this doesn't work,هادشي ماخدّامش
"mbrre3, chokran","very good, thanks","مبرّع, شوكران"
3ajbna bzzaf,we like it very much,عاجبنا بزّاف
nti zwina,you're beautiful,نتي زوينا
nta zwin,you're beautiful,نتا زوين
sir nichan,go straight ahead,سير نيشان
wSlo lbar7,they arrived yesterday,وصلو لبارح
dor 3lliser,turn left,دور علّيسر
dor 3llimen,turn right,دور علّيمن
imta wSl,when does he arrive,إمتا وصل
imta ghanoSlo,when do we arrive,إمتا غانوصلو
mnin hia,where is she from,منين هيا
3lach lla,why not,علاش اللا
ghadi tfkkrni?,will you remind me?,غادي تفكّرني?
kifach ghatkhelleS,how are you paying,كيفاش غاتخلّص
ch7al dayra,how much does it cost,شحال دايرا
ch7al katswa,how much does it cost,شحال كاتسوا
ma3ndich sa7bti,I don't have a girlfriend,ماعنديش ساحبتي
ana mrizirvi,I have a reservation,أنا مريزيرڤي
ghankhelleS l3cha,I'll pay for dinner,غانخلّص لعشا
ma3ndich flous,I don't have any money,ماعنديش فلوس
hadchi mzyan?,is that ok?,هادشي مزيان?
hadi 10:30,it's 10:30,هادي 10:ع0
kon m8dden,be quiet,كون مهدّن
bch7al b3ida,how far is it,بشحال بعيدا
7da supermarchi,it's near the supermarket,حدا سوپرمارشي
knt flmktaba,I was in the library,كنت فلمكتابا
chnahia ladrisa,what's the address,شناهيا لادريسا
chkon rb7,who won,شكون ربح
hahia nmrti,here is my number,هاهيا نمرتي
daba n9rrik,I'll teach you,دابا نقرّيك
ana bikhir,I'm ok,أنا بيخير
tilifoni makhddamch,my cell phone doesn't work,تيليفوني ماخدّامش
chno lmochkil,what's wrong,شنو لموشكيل
chkon nta,who are you,شكون نتا
chkon hada,who's that,شكون هادا
kan9edder hadchi,I appreciate that,كانقدّر هادشي
7tal daba,Until now.,حتال دابا
fikra meziana!,Good idea!,فيكرا مزيانا!
hal3ar tellah,"Oh, no.",هالعار تلّاه
machi mochkil,Never mind.,ماشي موشكيل
ana mkhlou3,I'm scared.,أنا مخلوع
hadchi mo7zin,That's sad!,هادشي موحزين
mathezch lhem,But don't worry!,ماتهزش لهم
3lach l3adab?,Why bother?,علاش لعاداب?
ach kat9SeD?,What do you mean?,أش كاتقصض?
3lach ana?,Why me?,علاش أنا?
b7al hakka?,Like that?,بحال هاكّا?
mnin nbda?,Where do I start?,منين نبدا?
jadawil DDarb?,The multiplication tables?,جاداويل الضارب?
o nta?,And you?,أُ نتا?
ayeh kayna.,Yes there is that.,أيه كاينا.
nharek mbrouk,Enjoy the rest of your day,نهارك مبروك
"tanta, nchoufouk","You too, see you soon.","تانتا, نشوفوك"
o lpiloTat,And pilots!,أُ لپيلوطات
12:30... mafemtch,12:30... i don't get it?,1ء:ع0... مافمتش
"skaat, lla?","It's quiet, isn't it?","سكات, اللا?"
yarbi ssalama!,Oh sweet jesus.,ياربي السالاما!
makad7ekch bezzaf.,You don't smile very often,ماكادحكش بزّاف.
"salam, kidayr?","Hi, how are you?","سالام, كيداير?"
o lmakla?,What about the food?,أُ لماكلا?
lmakla reTba,the food is just mushy,لماكلا رطبا
dakchi motanawwi3.,It is very varied.,داكشي موتاناوّيع.
"Oh, bessa7.","Oh, right.","أُه, بسّاح."
o lmossi9a?,And the music?,أُ لموسّيقا?
kanl3b lpiano,I do play the piano,كانلعب لپيانو
kidayr nta?,How are you doing?,كيداير نتا?
hadchi mezian.,That's good to know.,هادشي مزيان.
kidaz nharek?,How was your day?,كيداز نهارك?
o nta?,How about you?,أُ نتا?
kidaz nharek?,How was your day?,كيداز نهارك?
kat3jbni chemch.,I like the sun.,كاتعجبني شمش.
bghit chemch.,I want sun.,بغيت شمش.
ayeh mer7ba.,Yes I can do that for you.,أيه مرحبا.
kidayr hadchi?,What's it like?,كيداير هادشي?
"lla, chokran.","No, thanks.","اللا, شوكران."
"ayeh, chokran.","Yes, thank you.","أيه, شوكران."
chkon nta?,How are you?,شكون نتا?
rak mnouwer!,You look great!,راك منوور!
o fabor!,And it's free!,أُ فابور!
hada sir!,It's a secret!,هادا سير!
makhaSSkch t3erfi!,You're not supposed to know!,ماخاصّكش تعرفي!
hahia Amina.,Here's Amina.,هاهيا أمينا.
bezzaaaf menha!,Lots of it!,بزّااف منها!
hadchi khayb!,That's horrible!,هادشي خايب!
khoud ssella.,Take the basket.,خود السلّا.
"ayeh, kayna.","Yes, it is.","أيه, كاينا."
mab9a walo.,There are none left.,مابقا والو.
ya salam.,Great.,يا سالام.
wach 3amra?,Is it full?,واش عامرا?
wach skhouna?,Is it hot?,واش سخونا?
kolla simana.,Every week.,كولّا سيمانا.
maddirch hadchi!,Don't do that!,مادّيرش هادشي!
ghir rta7.,Just relax.,غير رتاح.
chokran bezzaf.,Thank you so much.,شوكران بزّاف.
"maklitihch, yak?","You haven't eaten it, have you?","ماكليتيهش, ياك?"
sba7 lkhir.,Good morning.,سباح لخير.
tfre9t m3ah!,I left him!,تفرقت معاه!
 'sa7bi' hahahaha,My 'friend' hahahaha,'ساحبي' هاهاهاها
ga3ma 3reftiha!,You didn't even know it!,ڭاعما عرفتيها!
o nta?,What about you?,أُ نتا?
bezzaf ga3.,Very much so.,بزّاف ڭاع.
3ndi lkhariTa.,I've got the map.,عندي لخاريطا.
o lkhariTa.,And the map.,أُ لخاريطا.
lil assaf.,Too bad.,ليل أسّاف.
3ndi ppil.,I've got a flashlight.,عندي الپيل.
yallah nemchiw!,Let's go!,يالّاه نمشيو!
ma kan3erfouch,I don't know him.,ما كانعرفوش
machi mezian.,Not good.,ماشي مزيان.
"ayeh, kayna.","Yes, I do.","أيه, كاينا."
3ndi 9tira7.,I have a suggestion.,عندي قتيراح.
wach katfella?,Are you kidding?,واش كاتفلّا?
wach tafe9na?,Do we have a deal?,واش تافقنا?
Oh chokran.,Oh thanks.,أُه شوكران.
achno bghiti?,What would you like?,أشنو بغيتي?
ana nacheT.,I'm in heaven.,أنا ناشط.
Dreb tSawer.,Take pictures.,ضرب تصاور.
achno kat9tare7?,What do you suggest?,أشنو كاتقتارح?
ila bghiti!,If you want!,إلا بغيتي!
wach kliti?,Have you eaten yet?,واش كليتي?
kijak lmada9?,How does it taste?,كيجاك لماداق?
maknch temma,I haven't been there.,ماكنش تمّا
makmmeltch lmakla.,I haven't finished eating.,ماكمّلتش لماكلا.
ach kat9tar7?,What do you recommend?,أش كاتقتارح?
achnahoa ATM?,Where is an ATM?,أشناهوا أطم?
achmen wahd?,Which one?,أشمن واهد?
fik jjou3?,Are you hungry?,فيك الجوع?
khddam ghdda?,Are you working Tomorrow?,خدّام غدّا?
lkhdma mzyana,Business is good,لخدما مزيانا
3jbek lktab?,Do you like the book?,عجبك لكتاب?
sm7 lia.,Excuse me.,سمح ليا.
dwwer lia.,Give me a call.,دوّر ليا.
ch7al bghiti?,How much would you like?,شحال بغيتي?
makan7essch mzyan,I don't feel well,ماكانحسّش مزيان
3ndi 32,I'm 32,عندي 32
ana mghribi,I'm Moroccan,أنا مغريبي
ana mrrakchi,I'm Marrakchi,أنا مرّاكشي
ana makhayfch.,I'm not afraid.,أنا ماخايفش.
ana mriD,I'm sick,أنا مريض
maghalich bzzaf.,It's not very expensive.,ماغاليش بزّاف.
knt temma.,I've been there.,كنت تمّا.
yallah n9smo,Let's share.,يالّاه نقسمو
lwalid mo7ami,My father is a lawyer,لواليد موحامي
smiti Laarbi,My name is Laarbi,سميتي لاربي
hia khabira,She's an expert,هيا خابيرا
hahia lwalida.,This is my mother.,هاهيا لواليدا.
ach kat9ra?,What do you study?,أش كاتقرا?
achno knyytek?,What's your last name?,أشنو كنيّتك?
finahoma ttrikkowat?,Where are the t-shirts?,فيناهوما التريكّووات?
fin mchiti?,Where did you go?,فين مشيتي?
fin saken?,Where do you live?,فين ساكن?
fin knti?,Where were you?,فين كنتي?
wach kat3rfha?,Do you know her?,واش كاتعرفها?
"3mmerha, laykhellik.","Fill it up, please.","عمّرها, لايخلّيك."
ch7al hadak?,How much is that?,شحال هاداك?
ch7al hada?,How much is this?,شحال هادا?
ana mobtadi2.,I'm a beginner.,أنا موبتاديء.
hi kanD7ek,I'm just kidding,هي كانضحك
ana mamzowwejch,I'm single,أنا مامزووّجش
mab3idch bzzaf,It's not too far,مابعيدش بزّاف
"a3tadir, ma3ndnach","Sorry, we don't have any","أعتادير, ماعندناش"
lktouba ghalyin.,The books are expensive.,لكتوبا غاليين.
chmen taille?,What size?,شمن تايلّ?
wakha t3awenni?,Can you help me?,واخا تعاونّي?
t9edd twerrini?,Can you show me?,تقدّ تورّيني?
maddirch hakkak,Don't do that,مادّيرش هاكّاك
wach katkmi?,Do you smoke?,واش كاتكمي?
kan9der n3oum,I can swim,كانقدر نعوم
kansm3ek mzyan,I can't hear you clearly,كانسمعك مزيان
ma3ndi sou9,I don't mind,ماعندي سوق
kanti9 fik.,I trust you.,كانتيق فيك.
fhemt daba.,I understand now.,فهمت دابا.
3afak gles,Please sit down,عافاك ڭلس
hadchi ghalaT.,That's wrong.,هادشي غالاط.
jrreb tgolha,Try to say it,جرّب تڭولها
3lach kaD7ek?,Why are you laughing?,علاش كاضحك?
nta wajd?,Are you ready?,نتا واجد?
ma3ndi kasar.,I don't care.,ماعندي كاسار.
drt ksida.,I got in an accident.,درت كسيدا.
drbni lbrd.,I have a cold.,دربني لبرد.
ana ostad,I'm a teacher,أنا أُستاد
mazal ma9rrert,I still haven't decided,مازال ماقرّرت
mora lbanka.,Behind the bank.,مورا لبانكا.
kat3ref t3oum?,Can you swim?,كاتعرف تعوم?
wach katfhem?,Do you understand?,واش كاتفهم?
kifach 3rfti?,How do you know?,كيفاش عرفتي?
ch7al tlw9t?,How long is it?,شحال تلوقت?
wach ntsenna?,Should I wait?,واش نتسنّا?
Tomobilat mirikanyin.,The cars are American.,طوموبيلات ميريكانيين.
ach kaddir?,What are you doing?,أش كادّير?
fach katfkker?,What are you thinking about?,فاش كاتفكّر?
ach kay9raw?,What do they study?,أش كايقراو?
achno 3ndk?,What do you have?,أشنو عندك?
ach ballik?,What do you think?,أش بالّيك?
ach w93?,What happened?,أش وقع?
ach dakchi?,What is that?,أش داكشي?
ach fiha?,What's in it?,أش فيها?
ach hada?,What's this?,أش هادا?
mnin nta?,Where are you from?,منين نتا?
fin w93at?,Where did it happen?,فين وقعات?
fin t3llemtiha?,Where did you learn it?,فين تعلّمتيها?
mnin hoa?,Where is he from?,منين هوا?
3lamn kat9lleb?,Who are you looking for?,علامن كاتقلّب?
chkon m3aya?,Who is it?,شكون معايا?
hoa ingenieur,He's an Engineer,هوا إنڭنيور
kidayr ljow?,How's the weather?,كيداير لجوو?
kidazt lkhrja?,How was the trip?,كيدازت لخرجا?
ana mzyan.,I'm good.,أنا مزيان.
ana wajd.,I'm ready.,أنا واجد.
fin 7TTitih?,Where did you put it?,فين حطّيتيه?
fin kayDrrek?,Where does it hurt?,فين كايضرّك?
aji l8na,Come here,أجي لهنا
kidayra lkhdma?,How's business?,كيدايرا لخدما?
wach msdoud?,Is it close?,واش مسدود?
wach momkin?,Is it possible?,واش مومكين?
wach wajd?,Is it ready?,واش واجد?
chta kaTTi7,It's raining,شتا كاطّيح
mcha l7al,It's too late,مشا لحال
mohimm bzzaf,It's very important,موهيمّ بزّاف
9rib yoSl,It will arrive shortly,قريب يوصل
Tro9an kayzll9o,The roads are slippery,طروقان كايزلّقو
8rrs chrjem,He broke the window,هرّس شرجم
hoa mirikani,He's an American,هوا ميريكاني
3ndi lflous,I have money,عندي لفلوس
mazal matghdditch,I haven't had lunch yet,مازال ماتغدّيتش
kan7ss blmalal,I'm bored,كانحسّ بلمالال
ghanmchi nt3cha,I'm going to go have dinner,غانمشي نتعشا
Tomobilti makhddamach,My car isn't working,طوموبيلتي ماخدّاماش
7ll lbab,Open the door,حلّ لباب
7ll chrjm,Open the window,حلّ شرجم
8zz 7wayjk,Pick up your clothes,هزّ حوايجك
3afak gollia,Please tell me,عافاك ڭولّيا
3afak tsennani,Please wait for me,عافاك تسنّاني
chi ktouba,Some books,شي كتوبا
dimari tomobil,Start the car,ديماري توموبيل
hadchi makafich,That's not enough,هادشي ماكافيش
tomobil tSawbat,The car is fixed,توموبيل تصاوبات
rah kaytsnnawna,They're waiting for us,راه كايتسنّاونا
finahoa trikkoya?,Where is my shirt?,فيناهوا تريكّويا?
3ndk l7e99.,You're right.,عندك لحقّ.
safi t8nna,do not worry,سافي تهنّا
kon 8ani,do not worry,كون هاني
rdd lbal,watch out,ردّ لبال
hada ktabi,this is my book,هادا كتابي
hadik 3imartna,that is our building,هاديك عيمارتنا
3Tini flous8a,give me her money,عطيني فلوسها
kansme3 klb8om,I hear their dog,كانسمع كلبهوم
hadik 7yato,it's his life,هاديك حياتو
machi chghlk,it's none of your business,ماشي شغلك
kantmna y3awn!,I hope it helps!,كانتمنا يعاون!
tchbak sab3an.,Fingers crossed.,تشباك سابعان.
rah mo7bit,it is dispiriting,راه موحبيت
fikra mazyana!,What a good idea!,فيكرا مازيانا!
9ahwa biDa?,Flat White?,قاهوا بيضا?
ma3ndi mangol,All right,ماعندي مانڭول
hahya Lamia.,Here's Lamia.,هاهيا لاميا.
ma7sch bsadma?,Was he not traumatised?,ماحسش بسادما?
La wldk!,No your son!,لا ولدك!
sma7lia sda3tak ,Sorry to bother you,سماحليا سداعتاك
"la, ni8a2iyan!","No, not at all!","لا, نيهاإيان!"
Sahbi hah!,My friend hah!,صاهبي هاه!
Sa7bti hah!,My friend hah!,صاحبتي هاه!
machi mzyan.,Not so good.,ماشي مزيان.
awlla la?,Do they?,أولّا لا?
Sir nta.,You go.,صير نتا.
7na brra!,We're abroad!,حنا برّا!
3layach tathdr?,What are you talking about?,علاياش تاتهدر?
mabghitch na3ya,I don't want to tire,مابغيتش ناعيا
machi 3adil,It's not fair.,ماشي عاديل
machi m39oul,It's not fair.,ماشي معقول
wach katwa3d?,Do you promise?,واش كاتواعد?
"ah, kanwa3dk","Yes, I promise.","أه, كانواعدك"
jit bl7alwa,I came with cakes,جيت بلحالوا
aji dghya.,come over as soon as you can.,أجي دغيا.
3fak glas.,Please take a seat.,عفاك ڭلاس.
"ah, momkin.","Yes, it is possible.","أه, مومكين."
ahaa... kmmel.,Uh huh... go on.,أها... كمّل.
makn3rfch smithoum.,I don't know their names.,ماكنعرفش سميتهوم.
bga3 al9iyasat,Of all sizes,بڭاع ألقيياسات
hadchi motir?,That's interesting?,هادشي موتير?
"sam7lia, sam7lia.","I'm sorry, I'm sorry.","سامحليا, سامحليا."
wach khddam?,Is it working?,واش خدّام?
wakha wakha.,Ok OK.,واخا واخا.
hadi faDi7a!,It's a scandal!,هادي فاضيحا!
hadi chou8a!,It's a scandal!,هادي شوها!
maghadich nt8dden!,I'm not going to calm down!,ماغاديش نتهدّن!
man9darch nzgl8a.,I can't miss it.,مانقدارش نزڭلها.
Tlab lmosa3ada!,Call for help!,طلاب لموساعادا!
Bismi allah!,In the name of God!,بيسمي ألّاه!
ta7aja maw93at,nothing has happened,تاحاجا ماوقعات
makan7mlch lmoghanyin!,I hate singers!,ماكانحملش لموغانيين!
ola n3as.,Or sleep.,أُلا نعاس.
wach katkhyyli!,can you imagine!,واش كاتخيّلي!
wakha wakha.,OK OK.,واخا واخا.
3yit mnak.,I've had enough of you.,عييت مناك.
ghadi nsa7ab!,I quit!,غادي نساحاب!
kayban bikhir,He seems to be doing well,كايبان بيخير
ya3la ne7s!,How unfortunate!,ياعلا نحس!
3lach manghawtoch?,Why don't we scream?,علاش مانغاوتوش?
3afak blach.,Please let's not.,عافاك بلاش.
chftini khdithom?,You saw me take them?,شفتيني خديتهوم?
"wakha, wakha.","Ok, ok.","واخا, واخا."
hadchi 3ar.,It's a disgrace.,هادشي عار.
khlina nlas9o,Let's get plastered.,خلينا نلاسقو
laysser flijtima3,Good luck with the meeting,لايسّر فليجتيماع
hadi hiya.,That's it.,هادي هييا.
hadchi likayn,That's just it,هادشي ليكاين
ana adonis,I'm an adonis,أنا أدونيس
lbab mafto7,The door opens,لباب مافتوح
"ah, drayfa","Yeah, it's kind of cute.","أه, درايفا"
imkan ntmchaw?,A hike perhaps?,إمكان نتمشاو?
"ok, Safi.","Ok, fine.","أُك, صافي."
wla polo?,Or a lolly?,ولا پولو?
achno bghiti?,What do you want?,أشنو بغيتي?
makay3jbhomch lkhobz?,They don't like bread?,ماكايعجبهومش لخوبز?
ana katib.,I'm a writer.,أنا كاتيب.
ach kadir?,What do you do?,أش كادير?
3la lmchach?,On cats?,علا لمشاش?
kanl3ab saxophone,I play the saxophone,كانلعاب ساشوپهون
achno drti?,What have you done?,أشنو درتي?
rah msmomin,They're poisoned!,راه مسمومين
"oh, yak?","Oh, yeah?","أُه, ياك?"
achmn mokawinat?,What ingredients?,أشمن موكاوينات?
3ndna khoTTa,We have a plan,عندنا خوطّا
