darija,eng,darija_ar
3aadatan ghaytghlaw wit7eTTo m3a lkhell,they would traditionally be boiled and served with vinegar,عاداتان غايتغلاو ويتحطّو معا لخلّ
hada ghaykon Taba9 mghribi 7orr,this will be a proper moroccan meal,هادا غايكون طاباق مغريبي حورّ
"lbarba zwina, walakin t9dr t3Tik wa7d lmada9 7lou","Beets are good, but it might give you a sweet taste.","لباربا زوينا, والاكين تقدر تعطيك واحد لماداق حلو"
"bghiti bTaTa frit m3ahom, ta8ia?","Do you want french fries with them, too?","بغيتي بطاطا فريت معاهوم, تاهيا?"
o ach ballik nmchiw l cinema?,how about going to the cinema?,أُ أش بالّيك نمشيو ل سينما?
ma3ada ala 3ndk chi haja khra bghiti tzid8a,Unless you have anything else you would like to add,ماعادا ألا عندك شي حاجة خرا بغيتي تزيدها
daba tayballia 3ndi ga3 dakchi lli tan7taj bach n7ell had lmochkil,"Now, I think I've got everything we need to solve this problem",دابا تايبالّيا عندي ڭاع داكشي اللي تانحتاج باش نحلّ هاد لموشكيل
b3d lmrrat tanD7ko b3d lmrrat tanbkiw,sometimes we laugh sometimes we cry,بعد لمرّات تانضحكو بعد لمرّات تانبكيو
asaasan nta t7t DDaghT daba,basically you are under stress now,أساسان نتا تحت الضاغط دابا
hadchi tayo93 l 3adaad mn nnas had lyamat,which happens to many people theses days,هادشي تايوقع ل عاداد من الناس هاد ليامات
fnfs lwe9t ma3ndkch mochkil fdmaghk,Meanwhile you don't have a problem with your brain,فنفس لوقت ماعندكش موشكيل فدماغك
"ah, chokran bzzaf 3la nnaSi7a dyalk.","Yes, thank you very much for your advice.","أه, شوكران بزّاف علا الناصيحا ديالك."
tanDenn anna hadchi i9dr ikon 7ell,I do think that could be a solution,تانضنّ أنّا هادشي إقدر إكون حلّ
olla 3ll a9all khTwa fl ittija8 SSa7i7,or at least a step in the right direction,أُلّا علّ أقالّ خطوا فل إتّيجاه الصاحيح
wach kaynin modirat khrin fnfs lmostawa dyal8a,Are there any other managers on her level,واش كاينين موديرات خرين فنفس لموستاوا ديالها
wach kat3rfi nas imkn t8Dri m3ahom bso8oula,do you know people you can talk to easily?,واش كاتعرفي ناس إمكن تهضري معاهوم بسوهولا
walakin ana ma3ndi tta 7aja n7tafl biha,but I don't have anything to celebrate,والاكين أنا ماعندي التا حاجا نحتافل بيها
ana rah ghir wa7d mn lkhddama,I'm just an employee among others,أنا راه غير واحد من لخدّاما
ala kan chi wahd mn lfr9a 3ndo chi haja maygoul,if one of the team-members has something to say,ألا كان شي واهد من لفرقا عندو شي حاجة مايڭول
imkn lik t9tar7ha f w9itt lghda,you could suggest it at lunchtime,إمكن ليك تقتارحها ف وقيتّ لغدا
hadi Tari9a ra2i3a bach t7ssen l3ala9at tlkhdma,this is an excellent way to improve work relationships,هادي طاريقا راإعا باش تحسّن لعالاقات تلخدما
"walakin hia matatchrebch l98wa, o matatkmich, dakchi 3lach katgles fl biro.","But she doesn't drink coffee, and she doesn't smoke, so she stays in her office.","والاكين هيا ماتاتشربش لقهوا, أُ ماتاتكميش, داكشي علاش كاتڭلس فل بيرو."
"ala 3ndna sabab m39oul bach n8Dro m3aha, hia rah dima msta3dda t8Der.","if we have a good reason to talk to her, she's always ready to talk.","ألا عندنا ساباب معقول باش نهضرو معاها, هيا راه ديما مستاعدّا تهضر."
wa7d olla joj mnnkom i9dr ina9ch m3aha had lms2ala,one or two of you could discuss this situation with her,واحد أُلّا جوج منّكوم إقدر إناقش معاها هاد لمسألا
ma3ndhach ti9a kafia fl fer9a,she does not have enough confidence in the team,ماعندهاش تيقا كافيا فل فرقا
"Safi, daba n7awel nna9ch8a bla man3yye9","All right, I'll try to discuss it discreetly","صافي, دابا نحاول الناقشها بلا مانعيّق"
tayban lik khess nchedd 3oTla?,Do you think I should take a vacation?,تايبان ليك خسّ نشدّ عوطلا?
momkin n9tar7 3lik t8Der m3a nnas lli khddamin m3ak,May I suggest you speak to you colleagues,مومكين نقتارح عليك تهضر معا الناس اللي خدّامين معاك
hadchi 3adi w tta haja makat9elle9,This is very common and nothing to worry about.,هادشي عادي و التا حاجة ماكاتقلّق
DDaghT blfi3l 2etter 3la l7ala l3aTifia l3amma dyalk,the pressure has indeed affected your general emotional state,الضاغط بلفيعل ءتّر علا لحالا لعاطيفيا لعامّا ديالك
ah walakin tterjama kant ghalTa,Yes but the translation was wrong,أه والاكين الترجاما كانت غالطا
wach kayballik anna8a hia t7t DDaghT mn lmoudir dyalha?,Do you feel she herself is under pressure from her director?,واش كايبالّيك أنّاها هيا تحت الضاغط من لمودير ديالها?
imkn hia dima khayfa mat7e99e9ch l a8daf dyalha.,Maybe she is constantly worried about not meeting her targets.,إمكن هيا ديما خايفا ماتحقّقش ل أهداف ديالها.
wach nnas lli khddamin m3ak tay7sso bttawttor b7alek?,Do you have colleagues who feel stressed like you?,واش الناس اللي خدّامين معاك تايحسّو بتّاوتّور بحالك?
chef dyalk mra olla rajl?,Is your boss a lady or a man?,شف ديالك مرا أُلّا راجل?
tayballia 7na kollna mstressyin w fnfs lw9t kollna tat3jebna.,I think we're all stressed and at the same time all admire her.,تايبالّيا حنا كولّنا مسترسّيين و فنفس لوقت كولّنا تاتعجبنا.
walakin lmola7aDat dyalo dima mberrerin.,But his reviews are always justified.,والاكين لمولاحاضات ديالو ديما مبرّرين.
fach tankon m3TTel chwia olla matandirch chi haja bghat8a,when I'm running a little late or I don't do whatever she wants,فاش تانكون معطّل شويا أُلّا ماتانديرش شي حاجة بغاتها
"tankhdm bzzaf, dakchi lli taykhllini ndir khdmti mzyan.","I work a lot, which allows me to do my job properly.","تانخدم بزّاف, داكشي اللي تايخلّيني ندير خدمتي مزيان."
"gollia, wach nta 9add tdir khdmtk bkoll ti9a?","Tell me, are you able to do your work with confidence?","ڭولّيا, واش نتا قادّ تدير خدمتك بكولّ تيقا?"
wach kat7ess brask ma9addch tossel l a8daf lli 3wwlti 3liha?,do you feel unable to reach the expected targets?,واش كاتحسّ براسك ماقادّش توسّل ل أهداف اللي عوّلتي عليها?
tan8Der 3la lmoudir dyal lmSla7a dyali,I'm talking about the manager of my department,تانهضر علا لمودير ديال لمصلاحا ديالي
wach kaynin chi 3yalat dayrin bik lli S3ib 3lik tt3aml m3ahom?,Are there any women around you that you find difficult to deal with?,واش كاينين شي عيالات دايرين بيك اللي صعيب عليك التعامل معاهوم?
flkhdma dyalk olla 3la brra,in your work or elsewhere,فلخدما ديالك أُلّا علا برّا
"lla, tta haja maghriba, fnaDari.","No, nothing special, I think.","اللا, التا حاجة ماغريبا, فناضاري."
wach dwwzti chi tajarib ma3adyyach olla fchkel mo2kharan?,Have you had any unusual or unpleasant experiences recently?,واش دوّزتي شي تاجاريب ماعاديّاش أُلّا فشكل موءخاران?
chi 7wayj lli kat7ess i9dr ikono bsbab chi haja drtiha,things that you feel may have been caused by something you did,شي حوايج اللي كاتحسّ إقدر إكونو بسباب شي حاجة درتيها
"khtek, lwalida dyalk, chi Sadi9?","Your sister, your mother, a friend?","ختك, لواليدا ديالك, شي صاديق?"
t9der tjbed chi wahd kat3arfo?,Can you recognize anybody you know?,تقدر تجبد شي واهد كاتعارفو?
Sout dyal l3yalat hoa li mrra mrra kay3elle9 3la dakchi lli kandir.,A female voice who sometimes comment on what I'm doing.,صوت ديال لعيالات هوا لي مرّا مرّا كايعلّق علا داكشي اللي كاندير.
"chi ch8oura hado, b3d lmrrat kan7ess b7al ala kansme3 chi Sout kayhder fost rasi","For a few months, sometimes I feel like I hear a voice talking in my head.","شي شهورا هادو, بعد لمرّات كانحسّ بحال ألا كانسمع شي صوت كايهدر فوست راسي"
ana 8na bach nchoufk 7it makanf8emch ach kayo93 lia,I'm here to see you because I don't understand what's happening to me,أنا هنا باش نشوفك حيت ماكانفهمش أش كايوقع ليا
kanDenn hadi awwal mrra kantla9aw.,I believe this is the first time we have met.,كانضنّ هادي أوّال مرّا كانتلاقاو.
3awd douz ala ba9i 3ndk chi as2ila.,Feel free to come back if you still have questions.,عاود دوز ألا باقي عندك شي أسإلا.
daba nSiftha lik o9tmma kmlat.,I'll send it over to you as soon as it's finished.,دابا نصيفتها ليك أُقتمّا كملات.
walakin khssk t7tarm had lw9t jjdid,But you must respect that new deadline,والاكين خسّك تحتارم هاد لوقت الجديد
"wach momkin lik tzidni chwia tlwe9t, goul chi joj simanat hakkak?","Would it be possible for you to give me an extension to the deadline, say another two weeks?","واش مومكين ليك تزيدني شويا تلوقت, ڭول شي جوج سيمانات هاكّاك?"
ch7al mn klma fchi f9ra Sghira?,How many words is a short paragraph?,شحال من كلما فشي فقرا صغيرا?
"hadchi SSara7a kay3awnni nfkker f ach khssni nkteb, lay7fdek","This is really helping me think through what I need to write, thank you.","هادشي الصاراحا كايعاونّي نفكّر ف أش خسّني نكتب, لايحفدك"
wach n9ddem lma9al 3la annaho waa9i3i olla nakhod wij8at naDar siyasia?,Do I present the essay as factual or do I take a political view point?,واش نقدّم لماقال علا أنّاهو واقيعي أُلّا ناخود ويجهات ناضار سيياسيا?
yallah cheft ttarikh f Google,I've just checked that date on Google,يالّاه شفت التاريخ ف ڭوڭل
idan awwal haja ddirha hia tkhtar,So the first thing you do is choose.,إدان أوّال حاجة الديرها هيا تختار
walakin rah kaynin 3rram tlkhtyarat lli tkhtar mnnhom.,But there are so many options to choose from.,والاكين راه كاينين عرّام تلختيارات اللي تختار منّهوم.
khssk tbda b3da tsowwel 3lih,you have to start by asking about it,خسّك تبدا بعدا تسووّل عليه
wach tan8Dro 3la ssyasa lbriTania ola lfransawia?,Are we talking about British or French politics?,واش تانهضرو علا السياسا لبريطانيا أُلا لفرانساويا?
ttgal lia nkteb wahd lma9al 3la ssyasa walakin ma3rftch mnin nbda,I've been asked to write an essay on politics but I don't know where to start,التڭال ليا نكتب واهد لماقال علا السياسا والاكين ماعرفتش منين نبدا
momkin tchre7 chno lli mafhemtich?,Can you explain what you don't understand?,مومكين تشرح شنو اللي مافهمتيش?
ttgal lia annaho maymknch nSoug,I've been told that I can't drive,التڭال ليا أنّاهو مايمكنش نصوڭ
wa tkerfeSt blm39oul bach nfhem ach khssni ndir,I've really struggled to understand what it is I have to do,وا تكرفصت بلمعقول باش نفهم أش خسّني ندير
"salam, sme7 lia 3TTelt tamarin dyali","Hi, I'm sorry my homework is late","سالام, سمح ليا عطّلت تامارين ديالي"
"Oh, tayballia DDyaf llowlin jayyin","Oh, I think the first guests are coming","أُه, تايبالّيا الضياف اللوولين جايّين"
"kon hani, walakin ti99en annak 3arf chno kayn ghedda","Don't worry, but make sure you know what's what tomorrow","كون هاني, والاكين تيقّن أنّاك عارف شنو كاين غدّا"
ghaykhssek t3ref lkouzina mzyan olla ghat3TTlna kamlin,You will have to get to know the kitchen better or you will slow us all down,غايخسّك تعرف لكوزينا مزيان أُلّا غاتعطّلنا كاملين
kayballia hadi hia lmerra llowla li khddmna fiha had ll3iba,I believe this is the first time we've used this thing,كايبالّيا هادي هيا لمرّا اللوولا لي خدّمنا فيها هاد اللعيبا
ana ma3arefch lblasa dyal ga3 lma9adir 7ttal daba,I don't know the location of all the ingredients yet,أنا ماعارفش لبلاسا ديال ڭاع لماقادير حتّال دابا
3afak matnsach tn99i lblaSa mora matsali,Please remember to clear away after you have finished,عافاك ماتنساش تنقّي لبلاصا مورا ماتسالي
"ghanbda bl bsbas, kayakhod lwe9t","I'll start with the fennel, it takes longer","غانبدا بل بسباس, كاياخود لوقت"
lah ikhelli lik ma3zz 3lik,may God protect your loved ones,الله إخلّي ليك ماعزّ عليك
wakha tbda t9TTe3 lkhDra 3afak,Could you start chopping the vegetables please,واخا تبدا تقطّع لخضرا عافاك
homa mkhtalfin fl9edd o flloun o flmada9,"They're different sizes, colors and flavor",هوما مختالفين فلقدّ أُ فلّون أُ فلماداق
jbt had maTicha lli l9it f ssou9 had Sba7,I came with these tomatoes that I found at the market this morning,جبت هاد ماطيشا اللي لقيت ف السوق هاد صباح
Lah is3d SSaba7 a chrif.,"Good morning, sir.",الله إسعد الصاباح أ شريف.
yalah nn9zo on7taflo b rrbe7 dyalna,let's jump and celebrate our victory,يالاه النقزو أُنحتافلو ب الربح ديالنا
ala b9ina 3aychin imkn nrj3o lddar bkri,If we survive maybe we can get back home early,ألا بقينا عايشين إمكن نرجعو لدّار بكري
nsa 3lik ddrari rah mcha 3lihoum l7al,Forget about the children it is too late for them,نسا عليك الدراري راه مشا عليهوم لحال
l7aja lwa7ida li kanTlb mnnek tdirha hia tchedd l9r3a t rrouj,The only thing I'm asking you to do is keep the bottle of red,لحاجا لواحيدا لي كانطلب منّك تديرها هيا تشدّ لقرعا ت الروج
"sir, ddi m3ak joj bra8ch, n99ez, ana ghanb9a 8na","Go, take two young children with you, jump, I stay here","سير, الدي معاك جوج براهش, نقّز, أنا غانبقا هنا"
3ad zid ana mt2ekked kaynin nas kaysta799o kter mnni annahom maymoutouch,"Besides, I'm sure there are people who deserve more than me not to die",عاد زيد أنا متءكّد كاينين ناس كايستاحقّو كتر منّي أنّاهوم مايموتوش
bllati n9lleb l parachute wach gadd i8ezz joj tnnas,Let me check the parachute to see if it is capable to hold two people,بلّاتي نقلّب ل پاراشوت واش ڭادّ إهزّ جوج تنّاس
"w Sara7atan, wach katDenn ghay7ello lbiban t Tyyara wikhlliwna nne99zo?","And frankly, do you think they'll open the plane doors and let us jump?","و صاراحاتان, واش كاتضنّ غايحلّو لبيبان ت طيّارا ويخلّيونا النقّزو?"
daba machi lwe9t dyal b7al had l as2ila,Now isn't the time for such questions,دابا ماشي لوقت ديال بحال هاد ل أسإلا
wach imken i8ezz joj tnnas?,Can it carry two people?,واش إمكن إهزّ جوج تنّاس?
walakin malk katmechcha o labs l parachute?,But why are you walking around with a parachute on you?,والاكين مالك كاتمشّا أُ لابس ل پاراشوت?
3nne9ni mzyan o rah ghan8bTo bisalam mjmou3in,Hug me close and we can land safely together,عنّقني مزيان أُ راه غانهبطو بيسالام مجموعين
kant 3ndna forSa kon T7na flb7er,We did have a chance if we crashed into the ocean,كانت عندنا فورصا كون طحنا فلبحر
"3rfti chno, mn lblaSa mnach T7na, makaynch chi fr9 kbir","You know, from where we fall, it doesn't make much difference","عرفتي شنو, من لبلاصا مناش طحنا, ماكاينش شي فرق كبير"
"makayn tta b7er t7t mnna, hir Pakistan","There is no ocean below us, only Pakistan","ماكاين التا بحر تحت منّا, هير پاكيستان"
ghan8Dro 3la lksida dyalna fl jara2id,We'll talk about our crash in the newspapers,غانهضرو علا لكسيدا ديالنا فل جاراإد
"walakin 3rfti ma3ndach chi forSa, yak?","But you know we don't have a chance, right?","والاكين عرفتي ماعنداش شي فورصا, ياك?"
ala njina ghadi ndir chikaya l charika t Tayaran,If we survive I'm going to make a complaint to the airline,ألا نجينا غادي ندير شيكايا ل شاريكا ت طاياران
walakin chchrab imken fikra mzyana,But drinking is probably a good idea,والاكين الشراب إمكن فيكرا مزيانا
"ana b7al bzzaf tnnas, makan2amen b Lah illa khmsa tdd9ay9 9bl nni8aya","I'm like most people, I don't believe in God except five minutes from the end","أنا بحال بزّاف تنّاس, ماكانأمن ب الله إلّا خمسا تدّقايق قبل النيهايا"
"3ell a9all ghatkon blkheff, bla Sda3, safi?","At least it'll probably be instant, no pain, right?","علّ أقالّ غاتكون بلخفّ, بلا صداع, سافي?"
olla tatgoul dakchi hir bach tD7ek 3lia?,Or are you just saying that to make fun of me?,أُلّا تاتڭول داكشي هير باش تضحك عليا?
mabghitch khl3kom walakin tayballia 7na imkn ghadyin ll8awia,I don't want to scare you but I think we may be about to plummet to our death,مابغيتش خلعكوم والاكين تايبالّيا حنا إمكن غاديين اللهاويا
"ssmou7at tanbrzTk, walakin ana rah mkhlou3 bSS7","I'm sorry to bother you with this, but I'm really scared","السموحات تانبرزطك, والاكين أنا راه مخلوع بصّح"
matanfhem tta zfta f TTyyarat walakin kantkhl3 kolla mrra tanTir f ssma,"I don't know anything about airplanes, but I'm terrified every time I fly",ماتانفهم التا زفتا ف الطيّارات والاكين كانتخلع كولّا مرّا تانطير ف السما
"wayeeh, fchkel, tayban b7ala lmoTour khasr","Yes, it is weird, it sounds like the engine is failing","واييه, فشكل, تايبان بحالا لموطور خاسر"
tansm3 7tta chi mra katghowwet,I can also hear a lady screaming,تانسمع حتّا شي مرا كاتغووّت
"sm7 lia, wach katsm3 had SSda3?","Excuse me, do you hear that noise?","سمح ليا, واش كاتسمع هاد الصداع?"
ana fr7an chwia bi annaho dyali lli jay machi dyalk,I'm quite glad it's mine coming and not yours,أنا فرحان شويا بي أنّاهو ديالي اللي جاي ماشي ديالك
"blmonasaba, ana ga3 makan3ref njbed l9iwa ssi7ria dyalha","But by the way, I don't know how to provoke her magical powers","بلموناسابا, أنا ڭاع ماكانعرف نجبد لقيوا السيحريا ديالها"
kan9tare7 naklo lfrmaj bl forchiTa,I suggest we eat the cheese with the fork,كانقتارح ناكلو لفرماج بل فورشيطا
n9dro hir ndowro l taxi?,We could just phone for a taxi?,نقدرو هير ندوورو ل تاشي?
3rft annakom kathdro 3la lframj,I know you're talking about cheese,عرفت أنّاكوم كاتهدرو علا لفرامج
ma3ndi adna fikra 3la ach katgolo,I have no idea what you're talking about,ماعندي أدنا فيكرا علا أش كاتڭولو
wa homa ga3 gueddo itniw lfrchiTa dyali,They even managed to bend my fork,وا هوما ڭاع ڭودّو إتنيو لفرشيطا ديالي
"lil2asaf, dyali hi forchiTa 3adia.","Unfortunately, mine is just a normal fork.","ليلأساف, ديالي هي فورشيطا عاديا."
wach imken tkon 3ndha chi 9iwa si7ria?,Could it be that it has magic powers?,واش إمكن تكون عندها شي قيوا سيحريا?
"oh, imken 3ndi lforchiTa zzayda","Oh, maybe I have the extra fork!","أُه, إمكن عندي لفورشيطا الزايدا"
kat9Sed anna rri7a jayya mn lkado dyalk?,You mean that smell's coming from your present?,كاتقصد أنّا الريحا جايّا من لكادو ديالك?
bllati... ach hadchi lli 3Tawni?,Wait... what did they give me?,بلّاتي... أش هادشي اللي عطاوني?
blkhariTa knna dghya ghal9aw asra3 Tri9 l a7san restora f ssikteur.,With the map we would have quickly found the quickest way to the best restaurant in the area.,بلخاريطا كنّا دغيا غالقاو أسراع طريق ل أحسان رستورا ف السيكتور.
wa o dok l koadowat lli 3Tawna?,How about the presents they gave us?,وا أُ دوك ل كوادووات اللي عطاونا?
o ana knt tanDenn annhom zwinin...,And I thought they looked cute...,أُ أنا كنت تانضنّ أنّهوم زوينين...
kant hadik hia Tari9a lwahida bach nj3lohom irddo lina makltna,It was the only way to get them to give us back our food,كانت هاديك هيا طاريقا لواهيدا باش نجعلوهوم إردّو لينا ماكلتنا
jat mkllkha annak tkhser onta 3ndk karTa zwina!,It's stupid to loose when we have a good card!,جات مكلّخا أنّاك تخسر أُنتا عندك كارطا زوينا!
chmn carte guichet 3lach bitina nkhdmo?,What credit cards do you want us to work on?,شمن كارت ڭويشت علاش بيتينا نخدمو?
mazal machft l ostad tl fizik,I haven't seen the physics teacher,مازال ماشفت ل أُستاد تل فيزيك
ma3rftich wach l ostad tl fizik kayn 8na lyoum?,Do you know if the professor of physics is here today?,ماعرفتيش واش ل أُستاد تل فيزيك كاين هنا ليوم?
ach bghiti tdir lyouma ala knna bo7dna?,What do you want to do today if we're alone?,أش بغيتي تدير ليوما ألا كنّا بوحدنا?
ma3ndich wr9a 9dima tl mti7an,I do have an old examination paper,ماعنديش ورقا قديما تل متيحان
kanDenn kolchi 3ndo machakil m3a transport,I suppose that everyone else is having problems with transport,كانضنّ كولشي عندو ماشاكيل معا ترانسپورت
gaddit ttamarin bla tta mochkil lbar7,I did my homework without problem yesterday,ڭادّيت التامارين بلا التا موشكيل لبارح
kantmenna tjib chi no9Ta mberr3a,I am hoping that you get a really good result,كانتمنّا تجيب شي نوقطا مبرّعا
kan 3ndk l7e99 fach khditi Tomobil,You were right to take the car,كان عندك لحقّ فاش خديتي طوموبيل
"mohim, kikhdmti ttamarin lbar7 fllil?","Anyway, how did you do with your homework last night?","موهيم, كيخدمتي التامارين لبارح فلّيل?"
jit f Tomobil lyoma bach ntfada Tobisat.,I came in by car today to avoid the buses.,جيت ف طوموبيل ليوما باش نتفادا طوبيسات.
zid 3liha annak knti m3TTel lbare7 tahoa.,"Besides, you were late yesterday, too.",زيد عليها أنّاك كنتي معطّل لبارح تاهوا.
t3TTelti lyom tani. chno l3odr dyalk lyom?,You're late again. What is your excuse today?,تعطّلتي ليوم تاني. شنو لعودر ديالك ليوم?
"chokran a madame, wakha nsini wr9a tl7oDor hia lowla?","Thank you, ma'am, can I sign the presence sheet first?","شوكران أ مادام, واخا نسيني ورقا تلحوضور هيا لوولا?"
wa hir sir o fkker fl awlawiat dyalk o ach bghiti t7e99e9,Just go away and think about your priorities and what you want to achieve,وا هير سير أُ فكّر فل أولاويات ديالك أُ أش بغيتي تحقّق
"Oh, sm7 lia, drt m3ak lghalaT.","Oh, I'm sorry, I was wrong with you.","أُه, سمح ليا, درت معاك لغالاط."
"3rfti chno, ollah asidi ila 3jbni dders tlyouma","You know, I really liked today's lecture","عرفتي شنو, أُلّاه أسيدي إلا عجبني الدرس تليوما"
kifach kaybbalik imken n7ello hadchi?,How do you think we can resolve this?,كيفاش كايبّاليك إمكن نحلّو هادشي?
tgyyebt 3la bzaf tl7iSaS dyalk 7it jaw fo9itt l9ayloula,I missed a lot of your classes cause it was nap time,تڭيّبت علا بزاف تلحيصاص ديالك حيت جاو فوقيتّ لقايلولا
"Oh, walakin rah tant3ellem bzzaf","Oh, but I'm learning a lot","أُه, والاكين راه تانتعلّم بزّاف"
wach tayballik annaha mzyana lia?,do you think it is for my benefit?,واش تايبالّيك أنّاها مزيانا ليا?
3ndi nfs lmabadi2 b7al l9ism kaml,I have the same principles as the whole class,عندي نفس لماباديء بحال لقيسم كامل
mohim ana tayballia lmabadi2 dyalk m3owwja,Well I think your principles are flawed,موهيم أنا تايبالّيا لماباديء ديالك معووّجا
walakin 3ndk zzher gddit nSawb ttamarin dyali lkhmis lli fat,But you're lucky I was able to do my homework last Thursday,والاكين عندك الزهر ڭدّيت نصاوب التامارين ديالي لخميس اللي فات
walakin makankhdmch mzyan flkher t simana,But I don't work much on weekends,والاكين ماكانخدمش مزيان فلخر ت سيمانا
khssek tb33ed 3lik Facebook o ga3 mawa9i3 tawaSol ljtima3i lkhrin,You should put Facebook and any other diverting social media sites away,خسّك تبعّد عليك فاسبوك أُ ڭاع ماواقيع تاواصول لجتيماعي لخرين
kayban b7alla kan 3ndk mochkil m3a l as2ila,You seem to have had difficulty with the equations,كايبان بحالّا كان عندك موشكيل معا ل أسإلا
"masa8lach, walakin laho3lem ila drtha","Not easy, but I think I did it","ماساهلاش, والاكين لاهوعلم إلا درتها"
ewa kijawk ttamarin tl maths?,So how did you find your maths homework?,إوا كيجاوك التامارين تل ماتهس?
ewa gles bzzerba o ghanchoufo lik ttamarin dyalk,Then sit down quickly and we will look at your homework,إوا ڭلس بزّربا أُ غانشوفو ليك التامارين ديالك
dfel dik lmska! rah 3rfti l9awanin tlmdrasa!,Spit out your chewing gum! you know the school rules,دفل ديك لمسكا! راه عرفتي لقاوانين تلمدراسا!
wakha 3afak tlou7 dik lmska f zzbel,Could you please put that gum in the bin,واخا عافاك تلوح ديك لمسكا ف الزبل
"hir flmjerr lli 3la iddik limen, daba njib nnDader","Just in the right hand drawer, I'll get the glasses","هير فلمجرّ اللي علا إدّيك ليمن, دابا نجيب النضادر"
had lkhdma kolha 3la walo.,All this work for nothing.,هاد لخدما كولها علا والو.
makayna tta m3na tb9a tnguer f ddar,There is no point being grumpy at home,ماكاينا التا معنا تبقا تنڭور ف الدار
"makanch momkin ntfadaw tt3Tal, idan hi tl9 lmousi9a","Being late was unavoidable, so just play the music","ماكانش مومكين نتفاداو التعطال, إدان هي تلق لموسيقا"
o kan khssni nfsser lkmala t nnhar.,And I had to explain the rest of the day.,أُ كان خسّني نفسّر لكمالا ت النهار.
kan kays7ablihoum ghanredd rassi ghany,They thought I'd make myself rich,كان كايسحابليهوم غانردّ راسّي غاني
kayballia khssna ngaddo chi brrad t atay o nsa 3lia lkhdma,I think we should just make some tea and you should forget about work,كايبالّيا خسّنا نڭادّو شي برّاد ت أتاي أُ نسا عليا لخدما
wach kan dakchi khayb bSSe7?,Was it really so bad?,واش كان داكشي خايب بصّح?
w knt ana hoa lli 9ddem,And I was the one who presented,و كنت أنا هوا اللي قدّم
w kan had ljtima3 lmohimm,And there was this important meeting,و كان هاد لجتيماع لموهيمّ
t3TTlt 3la lkhdma bsbab l iDrabat.,I was late for work because of the strikes.,تعطّلت علا لخدما بسباب ل إضرابات.
wach bghiti thder lia 3lih,do you want to tell me about it,واش بغيتي تهدر ليا عليه
