darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl
حرّر,free,Edit,Free,Free,Edit
بتاسم,smile,laughing,Smile,Smile,Smile
حفر,dig,Dig,Dig,Dig,Dig
حتارم,respect,Respect,Respect,Respect,Choose
هدّد,threaten,Threaten,threaten,"Threaten

Root: Threat",Threaten
لغا,cancel,To go,to go,Leave,play
خزن,store,Store,store,Store,store
نضّم,organize,Organize,organize,Organize,organize
نوّر,shine,Illuminate,Illuminate,Illuminate,Illuminate
حلف,swear,Swear,swear,Swear,swear
حلم,dream,Dream,dream,"Dream

حلم - Dream",Dream
صرط,absorb,Drive,walk,Drive,Walk
بلوكا,block,Block,Block,Block,block
ستابق,anticipate,Run,race,Run,outrun
اتهم,accuse,Accuse,accuse,Accuse,"Accuse

Lemma: Accuse"
غوّت,shout,Dance,Scream,Laugh,"To swim

swim"
أتّر,affect,Laugh,Wait,Wait,Wait
رتّب,arrange,Arrange,arrange,Arrange,"Arrange

Lemma: Arrange"
عتاقل,arrest,Laughing,Neglect,Free,Free
نبح,bark,bark,bark,"Bark

Take the translated verb from step 1 and provide only the root verb without explanations.",bark
خان,betray,Bet,to stay,Betrayed,To stay
تحاطّ,bet,Surround,surround,Surround,surround
ختالف,differ,Argue,differ,Argue,"Disagree

Lemma: Disagree"
حتافض,keep,Laugh,convince,Laugh,Clean
طار,fly,Fly,fly,Fly,Fly
بان,appear,See,see,See,Appear
جرّ,pull,Run,drag,Run,Pull
هزّ,lift,Shake,shake,"Shake

Shook",Shake
رجع,return,Come,return,Return,Return
طاح,fall,Fall,fall,Fall,Fall
عرف,know,Know,know,Know,Know
نسا,forget,Forget,Forget,Forget,Forget
وصف,describe,Describe,describe,Describe,describe
ترجم,translate,كيسرق - Steal,Translate,"""كنسرق"" - Steal",Translate
وعد,promise,Promise,promise,Promise,Promise
قلّب,search,Flip,Turn,Turn,flip
حبّ,love,Love,love,Love,Love
عاش,live,Live,live,Live,Live
سكن,live,Live,live,Live,live
خلّص,pay,Finish,Finish,Finish,finish
سدّ,close,Block,block,Block,Block
وقف,stand up,Stop,stop,Stop,stand
ستخدم,use,Use,Use,Use,UseStep 2: use
ستالم,receive,Receive,Receive,Receive,suffer
فشل,fail,Fail,fail,Fail,Fail
سبّ,insult,Insult,to insult,Insult,to hit
شكا,complain,Complain,complain,Complain,complain
فضح,expose,Expose,Expose,Expose,Expose
عتادر,apologize,Apologize,Apologize,"Apologize

Root verb: Apologize","Apologize

Lemma: Apologize"
عنّڭ,hug,Laugh,Answer,Understand,Answer
ندم,regret,Regret,regret,Regret,Regret
عطس,sneeze,Sneezing,sneeze,"Sneeze

Sneeze","Sneeze

Lemma: Sneeze"
كحب,cough,Laugh,To love,Laugh,Love
أجّل,postpone,Postpone,Delay,Postpone,Postpone
تعاون,cooperate,Cooperate,cooperate,Cooperate,Cooperate
تبادل,exchange,Exchange,exchange,Exchange,exchange
قاطع,boycott,Interrupt,Interrupt,Interrupt,Interrupt
تطوّع,volunteer,Volunteer,volunteer,Volunteer,volunteer
تجنّب,avoid,Avoid,Avoid,Avoid,Avoid
همل,neglect,Sleep,To whisper,Sleep,To carry
تلاقا,meet,Meet,meet,Meet,meet
تجسّس,spy,Spying,Spy,Spy,Spy
نتاقم,revenge,Revenge,avenge,Revenge,Revenge
دفن,bury,bury,bury,Buried,bury
غلب,defeat,Win,defeat,Win,Overcome
كان,be,be,be,Was,be
بغا,want,Want,want,Want,want
قدر,can,Can,can,Can,to be able
ڭدّ,can,Laugh,Say,Laugh,to cut
دار,make,House,to do,Live,to do
خدا,take,Take,Take,Take,Take
شاف,look,See,see,See,See
خلّا,let,Let it be,Let.,Leave,Let go
بان,seem,dance,see,See,Appear
تضمّن,include,Include,include,Include,Include
تحرّك,move,Move,move,Move,Move
ضار,turn,Harm,harm,Harm,Harm
عتابر,consider,Consider,consider,Consider,Consider
خلّا,allow,Let it be,Let.,Let it be,Make
تمنّا,hope,Wish,wish,Wish,wish
نتج,produce,produce,produce,produce,produce
بقا,stay,Stay,stay,Stay,stay
شدّ,hold,Pull,pull,Pull,tighten
توقّع,expect,Expect,expect,Expect,Expect
ضمن,ensure,Invite,guarantee,Within,guarantee
هزّ,carry,Shake,shake,"Shake

Shook",shake
عرض,offer,Present,present,Present,Present
دعم,support,Support,Support,Support,Support
هضر,speak,Speak,speak,Speak,speak
دوا,speak,Cure,Bring,Take,cure
قاد,lead,Drive,drive,Drive,drive
بقا,remain,Stay,stay,Stay,stay
وقف,stand,Stop,stop,Stop,stand
وڭف,stand,Listen,Stand,Laugh,stop
قتارح,suggest,Propose,Decide,Propose,Explain
طوّر,develop,Develop,Develop,Develop,Develop
ڭلس,sit,Laugh,Eat,Eat,Eat
ڭادّ,create,Laugh,Return,Go,Return
صاوب,create,Work,Fix,Work,Work
اتفق,agree,Agree,agree,Agree,Agree
طبّق,apply,Apply,Apply,Apply,Apply
كوّن,form,Form,form,Form,Form
زاد,increase,Increase,increase,Increase,increase
لتاحق,join,To search,To search,Study,Investigate
نقّص,reduce,Lack,lack,Lack,"Decrease

Lemma: Decrease"
نقد,save,Critique,criticize,Critique,criticize
تطلّب,require,Request,to request,Request,Request
حقق,achieve,Achieve,Achieve,Achieve,Achieve
حبس,prevent,Imprisonment,imprison,Imprison,Imprison
تعامل,deal,Deal,deal,Deal,deal
تواجه,face,Face,face,Face,Face
غطّا,cover,Cover,Cover,Cover,Cover
طوّر,improve,Develop,Develop,Develop,Develop
مال,tend,Spend,To go,Buy,Go
رسم,draw,Draw,draw,Draw,Draw
تحرّك,act,Move,move,Move,move
عزل,pick,Isolation,Isolate,Isolate,Isolate
ختار,pick,Choose,Choose,Choose,Choose
كلّف,cost,Assign,assign,Assign,Assign
سوا,cost,Do,Do,Do,Do
برهن,prove,Show,prove,Show,prove
وقع,occur,Fall,fall,Fall,fall
تناقش,discuss,Discuss,discuss,Discuss,discuss
ڭابل,maintain,Accept,Accept,Accept,Accept
سالا,end,Ask,ask,Ask,ask
كمّل,end,كمّل - Complete,Complete,كمّل - Complete,Complete
كاين,exist,Exist,have,There is,exist
قصد,seek,Mean,intend,Mean,intend
قلّب,check,Flip,Turn,Flip,Turn
نفع,serve,Benefit,benefit,Do,benefit
قسم,share,Divide,divide,Promise,divide
پارتاجا,share,Share,Share,Share,Share
نشء,establish,Create,to create,Create,"Step 1 - Create

Step 2 - Create"
أسّس,establish,Found,Establish,Established,Found
تحكّم,control,Control,control,Control,Control
جاوب,answer,Answer,answer,"1. كْتَسْمَع
2. Listen",Answer
حدّد,identify,Choose,determine,Identify,Identify
عتانا,care,Laugh,Argue,Laugh,Argue
مكّن,enable,Enable,enable,Enable,Enable
طالب,claim,Study,to ask,Study,"Step 1:
Student

Step 2:
Study"
كسب,obtain,Win,earn,Win,Earn
متّل,represent,imitate,To imitate,imitate,imitate
تضمّن,contain,Include,include,Include,Include
غلب,beat,Win,To defeat,Win,To defeat
تشطن,worry,Cooking,To swim,Eat,Shake
تحمّل,bear,Bear,bear,Bear,bear
سدّ,shut,Block,block,Block,Block
تساءل,wonder,Wonder,wonder,Wonder,wonder
ناسب,fit,Match,Fit,Match,Fit
تعلّق,regard,Hang,hang,Hang,Hang up
حطّ,place,Put,Put,Put,Put
شمل,involve,Smell,Include,Kiss,Include
اتصل,contact,Call,call,Call,Call
فتارض,assume,Accept,agree,Accept,Accept
أشار,indicate,Point,point,Pointed,indicate
خدم,operate,Work,Work,Work,Work
تصرّف,manage,Behave,behave,Behave,behave
تأقلم,cope,Adapt,Adapt,Adapt,Adapt
حدّد,determine,Choose,determine,Identify,"Identify

Identify"
عكس,reverse,Oppose,reverse,Oppose,"Reverse

Lemma: Reverse"
أشار,refer,Pointed,point,Pointed,indicate
ربح,gain,Win,win,Win,Win
فحص,examine,Check,examine,Check,Examine
فضّل,prefer,Prefer,prefer,Prefer,prefer
عتارف,admit,Confess,Admit,Confess,acknowledge
ردّ,respond,Answer,to reply,Answer,Reply
جاوب,respond,Answer,Answer,"ماشي، الفعل اللي عندي هو ""كْتَبْ""، شكون؟",Answer
عتامد,depend,depend,rely,Trust,rely
نجا,survive,Survive,escape,Survive,escape
لاحض,notice,Notice,Notice,Notice,Notice
نتج,result,produce,produce,produce,Produce
بدّل,replace,Change,change,Change,change
كمّل,complete,كمّل - Complete,Complete,كمّل - Complete,Complete
رتافع,rise,Laugh,Elevate,"Climb

Root verb: Lift",Elevate
قدّم,present,Present,present,Present,present
نشء,arise,Create,to create,Create,Create
أشار,point,Point,point,Pointed,indicate
روّج,promote,Promote,Advertise,Promote,Advertise
شجّع,promote,Encourage,Encourage,Support,Encourage
أدى,perform,Perform,perform,Perform,perform
مدّد,extend,Extend,Extend,Extend,Extend
أشار,mention,Point,point,Pointed,indicate
ختالف,vary,Argue,differ,Argue,"Disagree

Lemma: Disagree"
فاد,benefit,Help,help,Help,Help
عالج,treat,Treat,Treat,"Treat

Treat",Treat
علّق,hang,Hang,Hang,Comment,Hang
طيّح,drop,Fall,Fall,Fall,Fall
بلّغ,report,Inform,reach,Inform,inform
صبّ,cast,Pouring,Pour.,"Pour يصبّ، الجذر هو ""pour""",Pouring
ختابر,test,Chat,Test,Study,Test
أمّن,secure,Secure,Believe,Secure,Believe
طوّل,last,To lengthen,Lengthen,Lengthen,Lengthen
وافق,match,Agree,agree,Agree,Agree
قدّر,assess,Appreciate,estimate,Appreciate,Appreciate
ساهم,contribute,Contribute,help,"Contribute

Contribute",contribute
مدّ,supply,Stretch,Extend,Extend,stretch
علن,state,Announce,announce,Declare,announce
قدّر,appreciate,Appreciate,estimate,Appreciate,"Estimate

Estimate"
رتابط,relate,Link,Communicate,Link,Interact
تغلّب,overcome,Overcome,overcome,Overcome,Overcome
تخلّص,rid,Finish,Get rid of,Finish,"Get rid of

Step 2:
Get"
حاول,attempt,Try,try,Try,Try
حتافض,retain,Laugh,convince,Laugh,Clean
تكلّف,handle,Cost,Cost,Cost,undertake
جدب,attract,Steal,Pull,Steal,To pull
ساعد,assist,Help,help,Help,help
عاون,assist,Help,help,Help,Help
أتّر,influence,Laugh,Wait,Wait,Wait
حدّد,mark,Choose,determine,Choose,"Identify

Identify"
فكّر,recall,Think,think,Think,Think
سينا,sign,Laughing,Teach,Go,Drive
خاف,fear,Fear,fear,Fear,Fear
لصق,stick,Paste,Paste,Paste,Paste
سوّا,settle,Do,To do,Do,Do
ريڭل,settle,Dance,Dance,Laugh,Laugh
قارن,compare,Compare,compare,"Compare

Next, take the translated verb from step 1 and provide only the root of the translated verb without any explanations.",Compare
حسب,account,Watch,Calculate,See,Calculate
حقّق,investigate,Achieve,Achieve,Achieve,Achieve
نقّا,clear,Clean,Clean,Clean,Clean
سجّل,record,Register,register,Register,Register
شجّل,record,Encourage,Register,Encourage,Register
كتاشف,explore,Discover,Discover,Discover,discover
لام,blame,Refuse,To learn,Eat,Hit
عبر,cross,Pass,Express,Pass,Express
عاق,realize,Disobey,disobey,Disobey,disobey
ركّز,focus,Focus,Focus,Focus,Focus
وصّل,deliver,Arrive,arrive,Connect,Connect
شرع,proceed,Start,begin,Start,begin
زعج,bother,Annoy,annoy,Annoy,bother
برزط,bother,Dance,To iron,Laugh,Knock
رفض,refuse,Refuse,refuse,Refuse,Refuse
فرض,force,Impose,impose,Impose,impose
عتاقد,reckon,Believe,Think,Believe,think
عزم,intend,Invite,intend,Invite,determine
نصح,advise,Advise,advise,Advise,Advise
كتاسب,acquire,Earn,Earn,Work,Earn
سترجع,recover,Return,return,Return,return
نشء,generate,Create,grow,Create,Create
تميّز,distinguish,Distinguish,distinguish,"Distinguish

Distinguish",distinguish
شتابه,suspect,To chat,hurry,Run,Hurry
كسب,earn,Win,earn,Win,Earn
موّل,finance,Fund,Fund,Fund,"Finance

Lemma: Finance"
هدم,destroy,Destroy,destroy,Destroy,demolish
تبع,pursue,Follow,Follow,Follow,Follow
علّق,comment,Hang,Hang,Comment,Hang
رضا,satisfy,Acceptance,agree,Accept,satisfy
تنافس,compete,Compete,compete,Compete,Compete
قاوم,resist,Resist,resist,"Resist

قاوم - Resist",Resist
لاءم,suit,Fit,Fit,Fit,Fit
خاطب,address,Address,address,Speak,Propose
حلّ,solve,Solve,Solve,Solve,solve
بدّل,alter,Change,change,Change,change
فرض,impose,Impose,impose,Impose,impose
عرض,display,Present,present,Present,Present
ناشد,appeal,Appeal,request,Request,Appeal
طلق,release,Divorce,Divorce,Divorce,Divorce
فرز,sort,Sort,Sort,Sort,Sort
رتّب,sort,Arrange,arrange,Arrange,arrange
ختار,select,Choose,Choose,Choose,Choose
عبر,measure,Pass,Express,Pass,Express
وصّا,recommend,Advise,advise,Advise,advised
طلب,order,Ask,ask,Request,ask
أمر,order,Order,order,Order,command
نقل,transfer,Move,move,Transfer,Transfer
هجم,attack,Attack,attack,Attack,Attack
توسّع,expand,Expand,expand,Expand,Expand
تكركب,roll,Ride,ride,Ride,"Step 1 - Ride
Step 2 - Ride"
نفاجر,burst,Argue,Argue,Rebel,Rebel
تعهّد,undertake,Commit,commit,Commit,Undertake
تساراح,relax,To walk,Run,Sleep,"Step 1: Run
Step 2: Run"
تصرّف,behave,Behave,behave,Behave,behave
دكّر,remind,Remind,Remind,Remember,Remind
فكّر,remind,Think,think,Think,Think
راجع,review,Review,review,Review,review
نهج,approach,Drive,guide,Drive,guide
رجّع,restore,Return,return,Return,Return
صدر,issue,Cook,To release,Cook,Issue
صاڭ,ride,Laugh,Wake,Laugh,to swim
شكّل,constitute,Shape,Form,Form,Form
ڭلب,switch,Steal,Ask,Eat,to eat
درّب,train,Train,Train,Train,Train
ستتمر,invest,To pass,Continue,Pass by,study
خطا,step,Write,Write,Translate: Make a mistake.,Make
حدّ,limit,Limit,speak,Limit,limit
وضّح,illustrate,Explain,clarify,Explain,Clarify
ملك,own,Own,have,Own,Own
عالج,tackle,Treat,Treat,"Treat

الجذر: Treat",Treat
تحدّا,challenge,Challenge,Challenge,Challenge,Challenge
شاف,view,See,see,See,See
ملك,possess,Own,have,Own,Own
حاور,communicate,Interview,speak,Interview,Interview
تسلّق,climb,Climbing,climb,Climb,Climb
فصل,separate,Quit,to separate,Disconnect,"To fire

Lemma: fire"
حافض,preserve,Keep,Remember,Keep,Keep
نفّد,implement,Run out,to exhaust,Run out,"Deplete

Deplete"
حوّل,shift,Transform,Convert,Convert,Convert
أقرّ,acknowledge,Read,acknowledge,Read,Acknowledge
ستنتج,conclude,Produce,produce,Produce,Produce
تيرا,shoot,Laughing,Throw,See,throw
متاتل,comply,Laugh,Die,Wait,Avoid
حسّن,enhance,Improve,improve,Improve,Improve
راقب,monitor,Watch,Watch,Watch,Watch
ڭابل,monitor,Accept,Accept,Accept,Accept
شرا,purchase,Buy,Buy,Buy,Buy
شارجا,charge,Charge,Charge,Charge,Charge
بحت,research,Search,search,Search,searched
بغا,aim,Want,want,Want,want
ستوعب,accommodate,Understand,Understand,Understand,Understand
شطح,dance,Daydream,Daydream,Daydream,Daydream
فاق,wake,Wake,Wake,Wake up,surpass
صلّا,pray,Pray,Pray,"Pray

Pray",Pray
دوّر,telephone,Search,Search,Search,Search
ماركا,score,Laugh,Mark,Write,Mark
زلق,slip,Slip,slip,Slip,Slip
رتاكب,commit,Commit,ride,Commit,Commit
كشف,detect,Reveal,reveal,reveal,reveal
ستبعد,exclude,Remove,remove,Leave,Remove
عدر,excuse,Apologize,apologize,Apologize,Return
فسّر,interpret,Explain,interpret,Translate,Explain
نشر,publish,Publish,publish,Publish,publish
لاقا,link,Find,find,Find,find
تفاوض,negotiate,Negotiate,negotiate,Negotiate,Negotiate
حلّل,analyze,Solve,Analyze,Solve,Analyze
سمّا,name,Listen,Hear,Fly,Call
متدّ,stretch,Laugh,Stand,Wait,to stretch
تقلّق,upset,Worry,worry,Worry,worry
أهّل,qualify,Prepare,Prepare,Prepare,Prepare
خسّر,damage,Lose,lose,Lose,lose
طلق,launch,Divorce,Divorce,Divorce,Divorce
صبغ,paint,Dye,dye,"Dye

Dye",Dye
حدّد,specify,Choose,determine,Choose,Identify
منح,grant,Give,give,Give,grant
سلّف,lend,Lend,Lend,"Lend

Root verb: lend",lend
بنا,construct,Build,build,Build,Build
تفاعل,react,React,Interact,React,Interact
ستاحق,deserve,Deserve,Deserve,Deserve,Deserve
ستاهل,deserve,Deserve,Deserve,"Deserve

ستاهل - Deserve",Deserve
ترأس,head,Preside,to preside,Lead,Lead
وجّه,direct,Direct,direct,Direct,direct
هبط,land,Descend,descend,Descend,Descend
قاد,conduct,Drive,drive,Drive,drive
تكبّد,sustain,Suffer,Incur,Lose,Incur
سيفط,submit,Laugh,Jump,Laugh,Jump
تكوّن,consist,Form,form,Form,Form
عصف,blow,Sweep,sweep,Sweep,Sweep
رشد,guide,Guide,Grow,Guide,Grow
قنع,convince,convince,convince,convince,Convince
مارس,practice,Practice,Practice,Do,practice
قوّا,strengthen,Strength,strengthen,Strengthens,strengthen
دقّ,knock,Knock,Knock,Knock,Knock
عرض,invite,Present,present,Present,Present
تخلّا,abandon,Leave,Leave,Leave,Leave
جاوب,reply,Answer,answer,"ماشي، غادي نديك الفعل. الفعل بالدارجة المغربية هو: ""كْتْبْ""",Answer
حرّك,shake,Move,Move,Move,Move
صلح,fix,Fix,repair,Fix,repair
تضاهر,pretend,Pretend,pretend,"Pretend

Pretend","Pretend

Lemma: Pretend"
شاور,consult,Shower,consult,Consult,Consult
قسم,divide,Divide,divide,Promise,divide
نخارط,engage,Laugh,Dig,Laugh,Dig
حقّق,fulfill,Achieve,Achieve,Achieve,Achieve
حكم,rule,Judge,rule,Rule,rule
عالج,process,Treat,Treat,"Treat

الجذر: Treat",Treat
جاب,fetch,Bring,bring,Bring,Bring
نقل,convey,Move,move,Transfer,transfer
جسّد,incorporate,Embodiment,embody,Translate: embody,embody
حصر,restrict,Restrict,restrict,Limit,restrict
ستبعد,eliminate,To banish,remove,Leave,Remove
