eng,darija_ar,transl
I like to watch TV,عزيز عليا نتفرّج ف تلفازا,I enjoy watching TV.
it's not supposed to rain today,مامتوقّعاش أناها الطيح شتا ليوما,I didn't expect it to rain this much today.
the book is near the table,لكتاب راه قريب ل طبلا,The book is close to the drum.
did you come with your family,واش جيتي معا لعاإلا ديالك,Did you come with your family?
I'd like to send this to America,نغيت نسيفط هادشي ل ميريكان,I want to explain this to the Americans.
I'd like to speak to your boss,بغيت نهدر معا لمودير ديالك,I want to talk to your manager.
I'll call you on Friday,دابا ندوور ليك نهار الجمعا,Now I'll see you on Friday.
where can I find a hospital,فين إمكن نلقا شي سبيطار,Where can we find a supermarket?
will you take me home,واش واخا تدّيني ل دار,Are you giving me a ride home?
I wish I had climbed the stairs,كانتمنّا كون تلعت ف دروج,I wish I had gone hiking in the mountains.
It's true that this project is late.,بسّاح هاد ل پروجت معتّل,This project seems challenging.
"Anyway, I always take the elevator.","لموهيم, أنا ديما كانستعمل السانالسور","Don't worry, I always used Signal app."
Are you picking up the network with your phone?,واش عندك رسو ف تيليفونك?,Do you have a charger on your phone?
"Well, we need to figure this out.","إوا, خاسنا نلقاو شي حل","Now, we need to find a solution."
"You're shaking, are you okay?","كاترعّد, ياك شي باسّ ماكاين?","Is it raining, or is it just cloudy?"
So we're in the same situation.,إدان حنا ف نفس لحالا,We are all in the same boat.
I hope she's there to collect me when I arrive.,علّاه تكون كاتسناني فاش نوسل.,Hopefully you'll be there for me when I need you.
"But, yes, fire can serve us.","والاكين, أيه, لعافيا تقدر تنفعنا","Sure, yes, your help can benefit us."
I could watch you make a fire!,نقدر نتفرج فيك كاتشعل لعافيا,We can watch you cook delicious food.
You have all the ability to succeed.,كولكوم عندكوم لقودرا باش تنجحو,All of you have the power to succeed.
I bet you say that to everybody.,فلغاليب كاتڭول هادشي ل كولشي,"In Galabiya, she says this to everyone."
There's an internship next week.,كاين واحد ستاڭ أسّيمانا أجّايا,There is a stubborn person coming our way.
"As a consolation, right?",باش نبردو علا راسنا ياك?,Are we going to fight each other?
"Yeah, I know it's stupid.","أيه, عرفت فشكل هاد لقاديا","Yes, I recognized him in this outfit."
I do struggle with French too...,عندي موشكيل معا لفرونسي تاهيا!,I have a problem with the French language!
I just can't get the grammar.,ماعمر باتفهم ليا ديك لڭرامّير,He never understands what I'm saying
"Hello, yes it's a lovely day.","صالام, أيه ليوما لجوو زوين","Hello, they looked good today."
"I'm a journalist, so a very solitary profession.","أنا صاحافي, ميهنا وحدانيا بزّاف.","I'm a journalist, we often work alone."
"Journalist, must be a tough job, huh?","صاحافي, أتكون خدما سعيبا, ياك?","Journalist, could you be a corrupt official, huh?"
What subjects do you write about?,أشناهوما لماواضيع اللي كاتكتب عليهوم,They don't like it when you touch on the topics they write about.
Your job sounds very interesting,لخدما ديالك كاتبان ليا مومتيعا,Your work is showing me results
You don't look so good.,كاتبان ليا ماشي هووا هاداك,"They're writing to me, not him."
I'm not feeling too well.,كانحسّ براسّي ماشي هووا هاداك,"I feel dizzy, it's not the weather."
"Yes, I take the plane very often.","أيه, كانركب ف طييارا بزّاف.","Yes, I used to travel by plane a lot."
a sea of clouds to drown in,بحر ديال سحاب نغرقو فيه,We are drowning in a sea of ​​clouds.
12 or 13 hours?!,12 ولا 13 ل ساعا?!,12 or 13 o'clock?!
Thanks for your help.,اللاه يرحم لواليدين علا لموساعادا.,May God have mercy on my parents wherever they are.
I remind you that class is required.,كاندكرك أنّا هاد لحيصّا ضاروريا.,Reminding you that this matter is essential.
Your offer makes me very uncomfortable.,ما رتاحيتش ل لعارض ديالك.,I didn't get used to your attitude.
You don't find conversation issues with them?,ماعندكش ماشاكيل فل هضرا معاهوم?,Don't you have any issues to discuss with them?
They can be much older than you.,يمكن يكونو كبر منّك بزّاف.,They might be much older than you.
they are fine and I make them laugh,اللاه يعمرها دار أُ كانضحّخوم,God bless the house where they gather
It's been over a month since we met.,شهر هادا باش ما تلاقينا.,Let's meet up this month.
"Yes, I'll have a cup of coffee.","أيه, شي كاسّ ديال لقهوا.","Yes, a cup of coffee."
And how are things here?,أُ كيدايرا ل أُمور هنايا?,What are they doing here?
"Anyway, that's enough about me.","ف جاميع لحالات, هادشي كافيني.","In all cases, this is enough."
I'm so glad to be home,أنا فرحان أنّاني ف الدار,I'm happy that I'm at home.
And we so badly need the money,أُ حنا خاصنا لفلوسّ بزّاف,We need a lot of money
"In a way, she's gonna deserve it.","من واحد ناحيا, تستاهل هادشي.","From one perspective, you deserve this."
"Yes, those are my little pleasures.","أيه, هادو هوما شهيوات ديالي.","Yes, these are my favorite dishes."
"Good evening, how was your day?","مسا لخير, كي داز نهارك?","Good evening, how was your day?"
"Ok, I'm going to head out with the dog!","واخا, هاني أنخرج معا لكلب!","Wow, I'm going out with a cool person!"
Coffee and orange juice.,قهيوا أُ عاصير ديال الليمون.,Make a lemonade.
And would you like ice in it?,أُ واش بغيتي تلج فيه?,What do you want to achieve with it?
Or you could visit the cathedral.,ولا يمكن ليك تزود لكانيسّا.,You can't fool me.
Where the art and the cathedral are located.,فين كاين لمعريض أُ لكانيسّا.,Where is the art exhibition at the church?
I don't feel so great though sadly.,ماكانحسش براسّي بيخير ليل أسّاف.,I didn't feel well last night at all.
I feel like I'm starting to fall apart a bit,كانحسّ براسّي بديت كانقجقل شويا.,"I started feeling a headache, so I began to feel a bit dizzy."
I still like having my independence though,مازال عاجبني نكون مستاقل صاراحا,I still like being independent in the morning.
You always were!,من ديما أُ نتا هاكّا!,You've always been like this!
Chicken Tajine with potato and olives.,طاجين ديال بطاطا أُ الزيتون.,Potato and olive tagine.
I have always admired your full set of teeth,من ديما وانا كايعجبوني سنانك,I've always liked your smile.
I think she might be a bit too young for you,كانضن راها صغيرا عليك شويا,She probably looks younger than you by a bit.
"I'm allowed to dream, don't I?","من حقي نحلم, ولا اللا?","It's my right to dream, isn't it?"
But I have always known,والاكين راني عارفا من ديما,But I know it all the time.
"Oh no, that's not very fun!","أُه اللا, هادشي ماشي مومتيع!","Oh no, this is not entertaining!"
Oh... who should I invite?,أُه... أُ علامن خاصّني نعرض?,Oh... Why do I feel like I'm being targeted?
"I thought I'd invite Rachida, you know her.","ڭولت نعرض علا راشيدا, كاتعرفيها.","I told her about Rashida, you know her."
I don't want it messing up the new carpet!,مابغيتوش يخسّر ليا الزربيا الجديدا!,You don't want to ruin my new shirt!
"We'll put it on the balcony, hopefully it'll jump!","نديروه فل بالكون, علّاه ينقّز!","Let's do it in the playground, maybe he'll jump!"
"With pleasure, I like berries very much.","مرحبا, عزيز عليا التوت بزّاف.","Hello, I really like strawberries."
But we should probably be heading back soon.,والاكين خصنا فلغاليب نرجعو فحالنا.,But let's focus on ourselves and get back on track.
And it's getting a little cold.,أُ بدا كايبرد لحال شويا.,He seems to be withdrawing a bit.
And a couple of hats.,أُ شي شويا ديال طرابش.,Just a little bit of chaos.
And I might even have some biscuits...,أُ نقضر ناخد شي بيمو...,I can get us a taxi...
Do you fly often?,واش كاتركب ف التييارا بزّاف?,Are you riding the wave a lot?
"I didn't have much choice, did I?","ماكانش عندي لختييار, ولا اللا?","I didn't have a choice, did I?"
I'll get the stewardess out here.,غادي نعييت ل موضيفا هنايا.,I'm going to call the employees here.
It was chocolate laxative!,راه كان شوكولات كايدير سهال!,He makes making chocolate look easy!
As I said in the beginning: great!,كيفما ڭولت ليك فلوول: بيخير!,As I told you on WhatsApp: all good!
You're putting me in a difficult position.,راك كاتحطّيني ف وضعيا صعيبا.,You're putting me in a difficult situation.
I'm your psychiatrist.,أنا راه طبيب نفسي ديالك.,I am your psychiatrist.
"No not all, it looks very creepy!","اللا والو, كايبان هادشي كايخلع!","No way, this is getting out of hand!"
Let's try going back the way we came,يالّاه نحاولو نرجعو منين جينا,Let's try to find our way back where we came from.
I'm not sure I want to throw up rocks.,مامتءكّدش أنّاني باغي نرمي لحجر.,I'm not sure if I want to throw a stone.
That'll keep my mind occupied.,هادشي غادي يخلي بالك ملهي.,This will keep your mind occupied.
Or why don't you suggest something,ولا علاش ماتقتارحش شي حاجا,Or why don't you suggest anything
It is similar to having an operation,بحال إلا عندك شي عاماليا,It's like you have some issues
I ll get the cards now,هاني أنمشي نجيب لكارتا دابا,I'm going to get the card now.
Ok I'll get the orange juices.,واخا أنجيب لعاصاإر ديال ليمون.,Even if I bring a lemon tree.
Can we have a menu please,مومكين تعطينا ل منو عافاك,Can you please give us some?
Have you eaten at that restaurant?,واش فايت كليتي فديك رستورا,Did you eat at that restaurant?
I'd like a table near the window,بغيت شي طبلا حدا شرجم,"I want a drum, someone is selling one."
I think I need to see a doctor,كايبالّيا خسّني نشوف شي طبيب,"He's feeling bad, I need to see a doctor."
We'll have two glasses of water please,غاناخدو جوج كيسات تلما لايخلّيك,They're going to take a couple of bags to gather the almonds.
Did you get my email?,واش وصلك ل إمايل ديالي?,Did you receive my email?
Do you go to Ourika often?,واش كاتمشي ل وريكا بزّاف?,Is she going to America a lot?
Has your brother been to Paris?,واش كان خوك ف پاريس?,Was your brother in Paris?
How long have you been here?,شحال هادا باش نتا هنا?,How come you're here?
Is your husband also from Khounifra?,واش راجلك تاهوا من خونيفرا?,Is your husband from Germany?
My grandmother passed away last year,جدّا توفّات لعام اللي فات,She passed away last year.
That car is similar to my car,هاد توموبيل كاتشبه ل توموبيلتي,This car resembles my car.
This is the first time I've been here.,هادي أوّال مرّا كانجي لهنا.,This is the first time I come here.
We have two boys and one girl.,عندنا جوج دراري أُ بنت.,We have two daughters.
What are you going to do tonight?,أشنو غادي الدير هاد الليلا?,What are you going to do tonight?
Have you seen this movie?,فايت شايف هاد ل فيلم?,Have you seen this movie?
Who was your teacher?,شكون كان ل وستاد ديالك?,Who was your favorite teacher?
Would you like to have dinner with me?,بغيتي تضرب شي عشا معايا?,Do you want to grab dinner with me?
Do you have the number for a taxi?,عندك النمرا ديال شي تاشي?,Do you have the model of a specific item?
If you like it I can buy more.,ألا عجباتك نقدر نشري كتر.,"If you like it, we can buy more."
I thought he said something else,صحابني ڭال شي حاجة خرا,My friends told me something strange.
I usually drink coffee at breakfast,عاداتان كانشرب لقهوا فل فطور,It's a habit for him to drink coffee for breakfast.
Can you please say that again?,واخا تعاود تڭولها تاني عافاك?,"And if you tell her again, please?"
How do you say it in English?,كيفاش كاتڭولو ليها بل أنڭلايس?,How do you say it to her in English?
Is there air conditioning in the room?,كاينا شي كليما فهاد لبيت?,Is there a problem in this house?
The accident happened at the intersection,لكسيدا وقعات فين ملاقيين طروقان,Lakssida and Waqat fell in love unexpectedly.
There has been a car accident,وقعات واهد لكسيدا ديال توموبيلات,Accidents and road traffic incidents occurred.
Can you call me back later?,مومكين تدووّر ليا من بعد?,Is it possible for you to look for me later?
Can you speak louder please?,واخا تهدر شويا بجّهد عافاك?,"Can you speak a little louder, please?"
Do you know what this means?,واش عرفتي أش كايعني هادشي?,Did you understand what this means?
Do you know where my glasses are?,واش عرفتي فين كاينين نضاضري?,Do you know where they are located to talk to them?
Do you need anything else?,واش خاسّاك شي حاجة خرا?,Are you upset about something bad?
Is it cold outside?,واش بارد لحال علا برّا?,Is it cold out there alone?
Is there anything cheaper?,واش كاينا شي حاجة رخص?,Is there something cheap available?
What did you do last night?,أش درتي الليلا اللي فاتّ?,What did you do last night?
Where can I rent a car?,فين نقدر نكري شي طوموبيل?,Where can we rent a car?
Who's that man over there?,شكوناهوا داك الراجل اللي لهيه?,Who is that man over there?
Will you pass me the salt please?,واخا تدووّز ليا لملحا عافاك?,"Can you pass me the salt, please?"
Would you ask him to call me back please?,واخا تڭولّيه إضووّر ليا عافاك?,"When you talk to him, mention my regards, please."
Bring me my shirt please,جيب ليا معاك تريكّويا عافاك,"Bring me the flashlight with you, please."
Do you like to watch TV?,واش كايعجبك تفرّج ف تلفازا?,Do you enjoy watching TV?
I still have a lot of things to buy.,باقي خاسّني بزّاف تلحوايج نشريهوم.,They still owe me a lot of money for the things I bought for them.
Do you think it'll rain today?,واش كاتضنّ خاطّيح شتا ليوما?,Do you think it's going to snow today?
It costs 20 dirhams per hour.,كايسوا 20 درهم ل الساعا.,They are selling it for 20 dirhams.
I'd like to exchange this for Dollars,بغيت نصرّف هادي ل الدولار,I want to exchange this for dollars.
I like Italian food,عزيزا عليا لماكلا ت طاليان,It's dear to me when you're far away.
I'm going to Europe next year,غانمشي ل إوروپّا لعام الجاي,He's going to Europe next year.
Is it suppose to rain tomorrow?,واش غادي التيح شتا غدّا?,Is it going to rain tomorrow?
It takes 2 hours by car,غايخسّ 2 تسوايع ب طوموبيل,He's going to buy 2 tickets for the car show.
I want to contact our embassy,بغيت ن كونتاكتي السيفارا ديالنا,I want to contact our embassy.
I want to send this to the United States,بغيت نسيفط هادشي ل ميريكان,I want to ship this to America.
Nobody is there right now,التا واهد ماكاين تمّا دابا,There's no problem at the moment.
Please tell her her mom called,عافاك ڭولّيها راه ماماها دوّرات,Please tell her that her mom is looking for her.
She's going with me tomorrow,غادي تمشي معايا هيا غدّا,She's going to come with me tomorrow.
Tell him that I need to talk to him,ڭولّيه راه خسّني نهدر معاه,Tell him he's wasting my time
They're planning to come next year,راه كايوجّدو إجيو لعام الجاي,They are planning to come next year.
Those men are speaking English,هادوك الرجال كايهدرو بل أنڭلايس,Those men are speaking in English.
Where is the bus station?,فين جات بلاكا ت طوبيس?,Where did you get on the bus?
Maybe a drink will calm us.,كاندن شي شاراب إقدر إهاداءنا.,He had a drink that he could offer us.
"Or if they haven't got a whiskey, a brandy.","أُ إلا ماعندهومش وهيسكي, براندي.","He's the one who doesn't have whiskey, Brandy."
How are you planning on getting out of this?,كيفاش كاتخاتات تخروج من هادشي?,How do you manage to get out of this situation?
But why a musical instrument?,والاكين علاش ألا ديال لموسيقا?,But why all this fuss about music?
