darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl
تلاح,jump,watch,understand,understand,repair
طيّب,cook,alright,cook,be good,cook
بكا,cry,cry,cry,cry,cry
نعس,sleep,sleep,sleep,sleep,sleep
فاق,wake up,wake,wake,wake,wake
جمع,gather,gather,collect,gather,collect
نساحب,withdraw,drive,drag,pull,drag
حلّ,resolve,solve,solve,solve,solve
خبر,inform,tell,tell,tell,tell
ستلزم,imply,need,require,need,require
تسلّف,borrow,borrow,borrow,borrow,borrow
خاطر,risk,write,want,want,want
سمح,permit,forgive,permit,forgive,permit
سامح,forgive,forgive,forgive,forgive,forgive
قتارح,propose,suggest,cut,suggest,decide
حتافل,celebrate,celebrate,travel,celebrate,travel
ضيّع,waste,lose,lose,lose,lose
غبر,disappear,cross,sweep,run,sweep
توقّع,predict,expect,expect,expect,expect
نڭر,complain,sleep,see,sleep,see
قبط,catch,eat,steal,eat,steal
ڭبض,catch,grab,grab,grab,grab
ناض,get up,stand,stand,stand,stand
داز,pass,pass,pass,pass,pass
حبس,stop,detain,detain,detain,detain
قيّد,note,arrest,tie,tie,tie
ولّف,habituate,wrap,wrap,wrap,wrap
خلّط,mix,mix,mix,mix,mix
ڭيّد,mislead,think,cook,think,prepare
حرڭ,burn,argue,argue,argue,argue
حرق,burn,burn,burn,burn,burn
ستاغل,exploit,chill,work,chill,work
كما,smoke,eat,like,eat,like
حدّر,warn,dance,prepare,argue,warn
باس,kiss,give,kiss,give,give
علن,announce,announce,announce,announce,announce
ختابر,evaluate,search,try,search,test
تنفّس,breathe,breathe,breathe,breathe,breathe
فات,exceed,pass,miss,pass,miss
صادق,approve,speak,be honest,believe,be honest
حتلّ,occupy,eat,wait,eat,clean
حرّر,free,free,free,free,free
بتاسم,smile,pour,smile,pour,smile
حفر,dig,dig,dig,dig,dig
حتارم,respect,respect,respect,respect,respect
هدّد,threaten,threaten,threaten,threaten,threaten
لغا,cancel,sleep,sleep,sleep,sleep
خزن,store,store,store,store,store
نضّم,organize,organize,organize,organize,organize
نوّر,shine,Illuminate,light,Illuminate,light
حلف,swear,swear,swear,swear,swear
حلم,dream,dream,dream,dream,dream
صرط,absorb,drive,walk,drive,walk
بلوكا,block,eat,play,block,block
ستابق,anticipate,run,run,run,run
اتهم,accuse,accuse,accuse,accuse,accuse
غوّت,shout,sleep,swim,sleep,dive
أتّر,affect,wait,wait,wait,wait
رتّب,arrange,arrange,arrange,arrange,arrange
عتاقل,arrest,eat,cook,eat,delay
نبح,bark,bark,bark,bark,bark
خان,betray,bet,eat,eat,eat
تحاطّ,bet,surround,surround,surround,surround
ختالف,differ,argue,differ,dream,differ
حتافض,keep,clean,clean,dance,clean
طار,fly,fly,fly,fly,fly
بان,appear,appear,appear,appear,appear
جرّ,pull,pour,drag,walk,drag
هزّ,lift,shake,shake,shake,shake
رجع,return,return,return,return,return
طاح,fall,fall,fall,fall,fall
عرف,know,know,know,know,know
نسا,forget,forget,forget,forget,forget
وصف,describe,describe,describe,describe,describe
ترجم,translate,drink,translate,to drink,translate
وعد,promise,promise,promise,promise,promise
قلّب,search,flip,turn,flip,turn
حبّ,love,love,love,love,love
عاش,live,live,live,live,live
سكن,live,live,live,live,live
خلّص,pay,finish,finish,finish,finish
سدّ,close,block,close,block,close
وقف,stand up,stop,stop,stop,stop
ستخدم,use,use,use,use,use
ستالم,receive,receive,suffer,hurt,suffer
فشل,fail,fail,fail,fail,fail
سبّ,insult,insult,curse,insult,curse
شكا,complain,complain,complain,complain,complain
فضح,expose,expose,expose,expose,expose
عتادر,apologize,apologize,help,apologize,apologize
عنّڭ,hug,understand,understand,understand,understand
ندم,regret,regret,regret,regret,regret
عطس,sneeze,sneeze,sneeze,sneeze,sneeze
كحب,cough,cough,like,love,like
أجّل,postpone,postpone,delay,postpone,delay
تعاون,cooperate,help,help,help,help
تبادل,exchange,exchange,exchange,exchange,exchange
قاطع,boycott,cut,stop,interrupt,stop
تطوّع,volunteer,volunteer,volunteer,volunteer,volunteer
تجنّب,avoid,avoid,avoid,avoid,avoid
همل,neglect,sleep,carry,sleep,whisper
تلاقا,meet,meet,meet,meet,meet
تجسّس,spy,spy,spy,spy,spy
نتاقم,revenge,revenge,revenge,revenge,revenge
دفن,bury,bury,bury,bury,bury
غلب,defeat,defeat,defeat,overcome,defeat
كان,be,be,be,be,be
بغا,want,want,want,want,want
قدر,can,cook,can,cook,can
ڭدّ,can,eat,cut,eat,sit
دار,make,do,do,do,do
خدا,take,take,take,take,take
شاف,look,see,see,see,see
خلّا,let,let,let,let,let
بان,seem,appear,appear,appear,appear
تضمّن,include,include,include,include,include
تحرّك,move,move,move,move,move
ضار,turn,harm,harm,harm,harm
عتابر,consider,consider,travel,consider,travel
خلّا,allow,let,let,let,let
تمنّا,hope,wish,wish,wish,wish
نتج,produce,produce,produce,produce,produce
بقا,stay,stay,stay,stay,stay
شدّ,hold,pull,pull,pull,pull
توقّع,expect,expect,expect,expect,expect
ضمن,ensure,hug,guarantee,hug,guarantee
هزّ,carry,shake,shake,shake,shake
عرض,offer,present,present,present,present
دعم,support,support,support,support,support
هضر,speak,speak,speak,speak,speak
دوا,speak,take,cure,take,give
قاد,lead,drive,drive,drive,drive
بقا,remain,stay,stay,stay,stay
وقف,stand,stop,stop,stop,stop
وڭف,stand,eat,stand,eat,stop
قتارح,suggest,suggest,cut,suggest,cut
طوّر,develop,develop,develop,develop,develop
ڭلس,sit,eat,eat,eat,swim
ڭادّ,create,go,call,go,call
صاوب,create,work,cook,cook,cook
اتفق,agree,agree,agree,agree,agree
طبّق,apply,cook,apply,cook,apply
كوّن,form,build,form,build,form
زاد,increase,increase,increase,increase,increase
لتاحق,join,understand,understand,understand,understand
نقّص,reduce,lack,lack,lack,reduce
نقد,save,criticize,criticize,criticize,criticize
تطلّب,require,order,ask,order,ask
حقق,achieve,achieve,achieve,achieve,achieve
حبس,prevent,detain,detain,detain,detain
تعامل,deal,deal,deal,deal,deal
تواجه,face,face,face,face,face
غطّا,cover,cover,cover,cover,cover
طوّر,improve,improve,develop,develop,develop
مال,tend,spend,go,buy,go
رسم,draw,draw,draw,draw,draw
تحرّك,act,move,move,move,move
عزل,pick,isolate,isolate,isolate,isolate
ختار,pick,choose,choose,choose,choose
كلّف,cost,eat,assign,assign,assign
سوا,cost,do,do,do,do
برهن,prove,prove,prove,prove,prove
وقع,occur,fall,fall,fall,fall
تناقش,discuss,discuss,discuss,discuss,discuss
ڭابل,maintain,accept,accept,receive,accept
سالا,end,ask,ask,ask,ask
كمّل,end,continue,complete,continue,complete
كاين,exist,exist,have,exist,be
قصد,seek,cut,intend,cut,intend
قلّب,check,flip,turn,flip,turn
نفع,serve,help,benefit,help,benefit
قسم,share,swear,swear,swear,divide
پارتاجا,share,share,share,share,share
نشء,establish,grow,grow,grow,grow
أسّس,establish,establish,establish,establish,establish
تحكّم,control,control,control,control,control
جاوب,answer,answer,answer,answer,answer
حدّد,identify,choose,determine,choose,determine
عتانا,care,invite,invite,sleep,argue
مكّن,enable,enable,enable,enable,enable
طالب,claim,study,study,study,study
كسب,obtain,win,earn,win,earn
متّل,represent,imitate,paint,imitate,imitate
تضمّن,contain,include,include,include,include
غلب,beat,overcome,defeat,defeat,defeat
تشطن,worry,eat,swim,eat,swim
تحمّل,bear,endure,tolerate,bear,bear
سدّ,shut,block,close,block,close
تساءل,wonder,wonder,wonder,wonder,wonder
ناسب,fit,suit,suit,suit,suit
تعلّق,regard,hang,hang,hang,hang
حطّ,place,put,put,put,put
شمل,involve,smell,include,smell,include
اتصل,contact,call,call,call,call
فتارض,assume,agree,agree,agree,agree
أشار,indicate,point,point,point,point
خدم,operate,work,work,work,work
تصرّف,manage,behave,behave,behave,behave
تأقلم,cope,adapt,adapt,adapt,adapt
حدّد,determine,choose,determine,choose,determine
عكس,reverse,oppose,reverse,oppose,reverse
أشار,refer,point,point,point,point
ربح,gain,win,win,win,win
فحص,examine,check,examine,examine,examine
فضّل,prefer,prefer,prefer,prefer,prefer
عتارف,admit,confess,confess,confess,confess
ردّ,respond,answer,answer,answer,answer
جاوب,respond,answer,answer,answer,answer
عتامد,depend,depend,trust,depend,rely
نجا,survive,survive,escape,survive,escape
لاحض,notice,notice,notice,notice,notice
نتج,result,produce,produce,produce,produce
بدّل,replace,change,change,change,change
كمّل,complete,continue,complete,continue,complete
رتافع,rise,stand up,stand up,stand,stand up
قدّم,present,present,present,present,present
نشء,arise,grow,grow,grow,grow
أشار,point,point,point,point,point
روّج,promote,promote,massage,promote,massage
شجّع,promote,encourage,encourage,encourage,encourage
أدى,perform,perform,perform,perform,perform
مدّد,extend,extend,extend,extend,extend
أشار,mention,point,point,point,point
ختالف,vary,argue,differ,dream,differ
فاد,benefit,understand,help,help,help
عالج,treat,treat,treat,treat,treat
علّق,hang,hang,hang,hang,hang
طيّح,drop,fall,fall,fall,fall
بلّغ,report,inform,reach,inform,reach
صبّ,cast,pour,pour,pour,pour
ختابر,test,search,try,search,test
أمّن,secure,sleep,believe,protect,trust
طوّل,last,lengthen,lengthen,elongate,lengthen
وافق,match,agree,agree,agree,agree
قدّر,assess,appreciate,appreciate,appreciate,estimate
ساهم,contribute,contribute,help,help,help
مدّ,supply,stretch,stretch,stretch,stretch
علن,state,announce,announce,announce,announce
قدّر,appreciate,appreciate,appreciate,appreciate,estimate
رتابط,relate,connect,communicate,connect,communicate
تغلّب,overcome,overcome,overcome,overcome,overcome
تخلّص,rid,finish,finish,finish,finish
حاول,attempt,try,try,try,try
حتافض,retain,clean,clean,dance,clean
تكلّف,handle,cost,cost,cost,cost
جدب,attract,steal,swim,steal,suck
ساعد,assist,help,help,help,help
عاون,assist,help,help,help,help
أتّر,influence,wait,wait,wait,wait
حدّد,mark,choose,determine,choose,determine
فكّر,recall,think,think,think,think
سينا,sign,watch,sleep,watch,swim
خاف,fear,fear,fear,fear,fear
لصق,stick,paste,stick,paste,stick
سوّا,settle,do,do,do,cook
ريڭل,settle,dance,dance,dance,laugh
قارن,compare,compare,compare,compare,compare
حسب,account,depend,calculate,depend,calculate
حقّق,investigate,achieve,achieve,achieve,achieve
نقّا,clear,clean,clean,clean,clean
سجّل,record,register,register,register,register
شجّل,record,dance,call,dance,call
كتاشف,explore,discover,discover,discover,discover
لام,blame,curse,understand,curse,hit
عبر,cross,cross,cross,cross,cross
عاق,realize,disobey,disobey,disobey,disobey
ركّز,focus,focus,focus,focus,focus
وصّل,deliver,arrive,connect,deliver,connect
شرع,proceed,begin,begin,start,start
زعج,bother,bother,annoy,bother,annoy
برزط,bother,dance,knock,dance,run
رفض,refuse,refuse,refuse,refuse,refuse
فرض,force,impose,impose,impose,impose
عتاقد,reckon,think,think,think,think
عزم,intend,invite,decide,invite,intend
نصح,advise,advise,advise,advise,advise
كتاسب,acquire,study,earn,work,earn
سترجع,recover,return,return,return,return
نشء,generate,grow,grow,grow,grow
تميّز,distinguish,distinguish,distinguish,distinguish,distinguish
شتابه,suspect,chat,hurry,buy,hurry
كسب,earn,win,earn,win,earn
موّل,finance,finance,lend,finance,finance
هدم,destroy,destroy,destroy,destroy,destroy
تبع,pursue,follow,follow,follow,follow
علّق,comment,hang,hang,hang,hang
رضا,satisfy,agree,agree,accept,agree
تنافس,compete,compete,compete,compete,compete
قاوم,resist,resist,resist,resist,resist
لاءم,suit,fit,fit,fit,fit
خاطب,address,speak,propose,speak,propose
حلّ,solve,solve,solve,solve,solve
بدّل,alter,change,change,change,change
فرض,impose,impose,impose,impose,impose
عرض,display,present,present,present,present
ناشد,appeal,sing,ask,plead,ask
طلق,release,divorce,divorce,divorce,divorce
فرز,sort,sort,sort,sort,sort
رتّب,sort,arrange,organize,arrange,arrange
ختار,select,choose,choose,choose,choose
عبر,measure,cross,cross,cross,cross
وصّا,recommend,advise,advise,advise,advise
طلب,order,ask,ask,ask,ask
أمر,order,order,order,order,order
نقل,transfer,move,move,move,move
هجم,attack,attack,attack,attack,attack
توسّع,expand,expand,expand,expand,expand
تكركب,roll,ride,ride,ride,ride
نفاجر,burst,explode,provoke,argue,explode
تعهّد,undertake,promise,commit,commit,commit
تساراح,relax,walk,walk,walk,walk
تصرّف,behave,behave,behave,behave,behave
دكّر,remind,remind,remind,remind,remind
فكّر,remind,think,think,think,think
راجع,review,return,review,return,review
نهج,approach,walk,guide,walk,drive
رجّع,restore,return,return,return,return
صدر,issue,release,publish,release,publish
صاڭ,ride,drive,swim,drive,swim
شكّل,constitute,form,shape,form,shape
ڭلب,switch,eat,eat,eat,take
درّب,train,train,train,train,train
ستتمر,invest,chat,continue,travel,continue
خطا,step,write,write,write,make
حدّ,limit,eat,speak,eat,limit
وضّح,illustrate,to drink,clarify,clarify,clarify
ملك,own,own,own,own,own
عالج,tackle,treat,treat,treat,treat
تحدّا,challenge,challenge,challenge,challenge,challenge
شاف,view,see,see,see,see
ملك,possess,own,own,own,own
حاور,communicate,talk,speak,talk,speak
تسلّق,climb,climb,climb,climb,climb
فصل,separate,leave,disconnect,quit,disconnect
حافض,preserve,save,memorize,save,memorize
نفّد,implement,run,run out,run,run
حوّل,shift,transform,convert,transform,convert
أقرّ,acknowledge,read,read,read,read
ستنتج,conclude,produce,deduce,produce,produce
تيرا,shoot,fly,throw,run,throw
متاتل,comply,sleep,hesitate,sleep,hesitate
حسّن,enhance,improve,improve,improve,improve
راقب,monitor,watch,watch,watch,watch
ڭابل,monitor,accept,accept,accept,accept
شرا,purchase,buy,buy,buy,buy
شارجا,charge,charge,charge,charge,charge
بحت,research,search,search,search,search
بغا,aim,want,want,want,want
ستوعب,accommodate,understand,understand,understand,understand
شطح,dance,daydream,daydream,daydream,daydream
فاق,wake,wake,wake,wake,wake
صلّا,pray,pray,pray,pray,pray
دوّر,telephone,search,search,search,search
ماركا,score,shop,play,walk,play
زلق,slip,slip,slip,slip,slip
رتاكب,commit,ride,ride,ride,ride
كشف,detect,reveal,reveal,reveal,reveal
ستبعد,exclude,leave,remove,leave,remove
عدر,excuse,apologize,return,apologize,return
فسّر,interpret,to drink,explain,to drink,explain
نشر,publish,publish,publish,publish,publish
لاقا,link,find,find,find,find
تفاوض,negotiate,negotiate,negotiate,negotiate,negotiate
حلّل,analyze,analyze,analyze,solve,analyze
سمّا,name,listen,listen,listen,listen
متدّ,stretch,sit,wait,sit,wait
تقلّق,upset,worry,worry,worry,worry
أهّل,qualify,prepare,prepare,prepare,prepare
خسّر,damage,lose,lose,lose,lose
طلق,launch,divorce,divorce,divorce,divorce
صبغ,paint,dye,dye,dye,dye
حدّد,specify,choose,determine,choose,determine
منح,grant,give,give,give,give
سلّف,lend,lend,lend,lend,lend
بنا,construct,build,build,build,build
تفاعل,react,interact,interact,react,interact
ستاحق,deserve,deserve,deserve,deserve,deserve
ستاهل,deserve,deserve,deserve,deserve,deserve
ترأس,head,lead,lead,lead,lead
وجّه,direct,direct,direct,direct,direct
هبط,land,land,land,land,land
قاد,conduct,drive,drive,drive,drive
تكبّد,sustain,suffer,suffer,suffer,suffer
سيفط,submit,eat,eat,eat,wake
تكوّن,consist,build,form,form,form
عصف,blow,sweep,sweep,clean,sweep
رشد,guide,guide,grow,guide,grow
قنع,convince,convince,convince,convince,convince
مارس,practice,practice,practice,practice,practice
قوّا,strengthen,eat,strengthen,strengthen,strengthen
دقّ,knock,knock,knock,knock,knock
عرض,invite,present,present,present,present
تخلّا,abandon,leave,leave,leave,leave
جاوب,reply,answer,answer,answer,answer
حرّك,shake,move,move,move,move
صلح,fix,fix,repair,fix,repair
تضاهر,pretend,pretend,pretend,pretend,pretend
شاور,consult,shower,shower,shower,shower
قسم,divide,swear,swear,swear,swear
نخارط,engage,drive,drive,drive,drive
حقّق,fulfill,achieve,achieve,achieve,achieve
حكم,rule,speak,judge,judge,judge
عالج,process,treat,treat,treat,treat
جاب,fetch,bring,bring,bring,bring
نقل,convey,move,move,move,move
جسّد,incorporate,embody,embody,embody,embody
حصر,restrict,count,restrict,restrict,restrict
ستبعد,eliminate,leave,remove,leave,remove
زوّل,eliminate,download,swim,download,swim
لغا,eliminate,sleep,sleep,sleep,sleep
حوّل,convert,transform,convert,transform,convert
تقاعد,retire,retire,retire,retire,retire
ضبط,adjust,fix,adjust,fix,adjust
عدّل,adjust,fix,modify,modify,modify
سهّل,ease,facilitate,facilitate,facilitate,facilitate
كبّ,pour,pour,pour,pour,pour
صبّ,pour,pour,pour,pour,pour
نسج,knit,weave,weave,weave,weave
دعم,back,support,support,support,support
طراسا,trace,cook,swim,eat,swim
سجّل,register,register,register,register,register
حسب,calculate,depend,calculate,depend,calculate
حفّز,stimulate,motivate,motivate,motivate,motivate
طبع,print,print,print,print,print
إمپريما,print,eat,improvise,dance,improvise
توتّر,stress,stress,stress,stress,tense
عيّن,appoint,appoint,appoint,appoint,appoint
تدخّل,interfere,intervene,intervene,intervene,intervene
عتارض,object,argue,contradict,argue,contradict
قوّا,boost,strengthen,strengthen,strengthen,strengthen
يسّر,facilitate,facilitate,facilitate,facilitate,facilitate
سهّل,facilitate,facilitate,facilitate,facilitate,facilitate
حتاج,lack,need,need,need,need
حبس,cease,detain,detain,detain,detain
نفّد,enforce,run,run out,run,run
تأقلم,adapt,adapt,adapt,adapt,adapt
عڭد,tie,eat,eat,eat,believe
قتابس,quote,quote,quote,quote,subscribe
سيطر,dominate,control,control,control,control
فرڭع,pop,vomit,eat,vomit,choke
عجب,please,like,like,like,like
صمّم,design,design,design,design,design
تدخّل,intervene,intervene,intervene,interfere,intervene
طلّع,yield,go out,go up,go up,go up
ستاقل,resign,miss,need,miss,miss
تهجّا,spell,speak,sing,speak,speak
حرّك,stir,move,move,move,move
خصّص,spare,reserve,dedicate,dedicate,dedicate
قدّر,estimate,appreciate,appreciate,appreciate,estimate
ضرب,kick,hit,hit,hit,hit
ركل,kick,kick,kick,kick,kick
عدّد,list,count,count,count,count
لبس,dress,wear,wear,wear,wear
علن,declare,announce,announce,announce,announce
ديكلارا,declare,declare,declare,eat,declare
أكّد,assure,confirm,confirm,confirm,confirm
ستامدّ,derive,understand,understand,understand,support
دخل,access,enter,enter,enter,enter
أجّل,delay,delay,delay,postpone,delay
وضّح,clarify,clarify,clarify,clarify,clarify
نقل,copy,move,move,move,move
نسخ,copy,copy,copy,copy,copy
فضّل,favor,prefer,prefer,prefer,prefer
مدّ,hand,stretch,stretch,stretch,stretch
قبط,capture,eat,catch,eat,steal
عزّز,reinforce,strengthen,strengthen,strengthen,strengthen
حوّل,transform,transform,convert,transform,convert
فهم,perceive,understand,understand,understand,understand
خدم,function,work,work,work,work
غادر,quit,leave,leave,leave,leave
رافق,accompany,accompany,accompany,accompany,accompany
موّل,fund,finance,lend,finance,lend
جمع,pack,gather,collect,gather,collect
صحّح,correct,correct,correct,correct,correct
أبحر,sail,sail,sail,sail,sail
عوّض,compensate,substitute,replace,replace,replace
سرق,steal,steal,steal,steal,steal
شفر,steal,watch,see,watch,unlock
قوّض,undermine,undermine,undermine,undermine,undermine
متدّ,range,sit,wait,sit,wait
عارض,oppose,refuse,oppose,refuse,oppose
حدّد,locate,choose,determine,choose,determine
زرب,hurry,stir,pour,dance,pour
نشر,broadcast,publish,publish,publish,publish
قاضا,sue,judge,judge,judge,judge
ميزا,bid,eat,differentiate,eat,differentiate
ضوّا,light,shine,turn on,shine,light
تباطأ,slow,slow,slow,slow,slow
همّ,concern,think,want,think,think
رفض,dismiss,refuse,refuse,refuse,refuse
صلح,repair,fix,repair,repair,repair
طابق,conform,build,find,build,find
ربط,attach,tie,tie,connect,tie
زرّب,rush,paint,pour,splash,pour
غرق,sink,drown,drown,drown,drown
نتازع,grab,argue,argue,argue,argue
كالما,calm,eat,speak,speak,speak
حتجّ,protest,argue,need,argue,need
وازن,balance,weigh,weigh,weigh,weigh
طلب,beg,ask,ask,ask,ask
تبّت,install,eat,sit,fix,sit
طوّر,advance,improve,develop,develop,develop
طرد,fire,expel,expel,expel,expel
عاون,aid,help,help,help,help
تدفّق,flow,flow,flow,flow,flow
جرّ,drag,drag,drag,walk,drag
تطابق,correspond,match,match,match,match
شكّل,pose,form,shape,form,shape
تعجب,admire,like,wonder,like,wonder
خفّف,relieve,lighten,lighten,lighten,lighten
دابز,combat,eat,jump,eat,clean
ندامج,integrate,mix,merge,regret,mix
ماتّافقش,disagree,disagree,disagree,disagree,disagree
اتصل,connect,call,call,call,call
حيّن,update,sleep,go,sleep,call
غيّر,modify,change,change,change,change
ختار,opt,choose,choose,choose,choose
أمر,command,order,order,order,order
متاتل,obey,sleep,hesitate,sleep,hesitate
ستخرج,extract,go out,go out,go out,extract
عارض,counter,refuse,oppose,refuse,oppose
ستأنف,resume,resume,resume,resume,resume
شدّ,grasp,pull,pull,pull,pull
ستوعب,grasp,understand,understand,understand,understand
تزعلل,swing,get angry,get angry,get angry,get angry
سلّم,render,greet,greet,greet,greet
زرب,speed,to pour,pour,sting,pour
واجه,confront,face,face,face,face
منع,ban,prevent,prevent,prevent,prevent
مسح,wipe,wipe,wipe,wipe,wipe
ضوبل,double,hit,swim,hit,wash
شتامل,comprise,insult,understand,insult,search
شهد,witness,witness,taste,witness,witness
غرس,plant,plant,plant,plant,plant
جزم,assert,dance,decide,dance,decide
كشف,disclose,reveal,reveal,reveal,reveal
عصر,squeeze,squeeze,squeeze,squeeze,squeeze
بجغ,squeeze,eat,laugh,eat,argue
ربط,bind,connect,tie,connect,tie
