darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl,p3_transl,eng_p3_transl
سمع,listen,to hear,hear,Listen,hear,Listen,hear
كبر,grow,Grow,grow,Grow,grow,Grow,grow
مات,die,Die,die,Die,die,Die,die
توفّا,die,Die,die,Pass away,die,To die,die
زار,visit,visit,visit,Visit,visit,Visit,visit
شجّع,encourage,Support,encourage,Cheer,encourage,Encourage,encourage
حاما,protect,Protect,protect,Protect,protect,Protect,protect
نشر,spread,Post,publish,Publish,publish,Publish,to spread
قتل,kill,Kill,kill,Kill,kill,Kill,kill
صاڭ,drive,Go,swim,Laugh,to swim,Laugh,to climb
كدب,lie,Lie,lie,Lie,lie,Lie,lie
تقاجح,argue,Argue,argue,Argue,argue,Argue,argue
حيّد,remove,Avoid,evacuate,Avoid,to remove,Avoid,to guide
دابز,fight,Dance,to push,Dabz - Dance,to paint,Run,to push
عمّر,fill,Live,build,Live,build,Live,to build
سافر,travel,Travel,travel,Travel,travel,Travel,travel
حضر,attend,Attend,attend,Attend,attend,Attend,attend
قسّح,hurt,Sweep,to cut,Laugh,Cut,Scratch,to cut
عانا,suffer,Suffer,suffer,Suffer,suffer,Suffer.,suffer
زڭل,miss,Dance,play,Laugh,Tickle,Laugh,to pull
عبّر,express,Express,express,Express,express,Express,express
ركّز,concentrate,Focus,focus,Focus,focus,Focus,focus
لاح,throw,See,see,See,see,Watch,see
صاوب,prepare,Work,work,Work,Fix,Work,Fix
قرا,study,Read,read,Read,read,Read,read
دفع,push,pay,pay,Push,pay,Pay,pay
ورّك,press,Work,teach,Show off,Show,Sit.,show
وصل,arrive,Arrive,arrive,Arrive,arrive,Arrive,arrive
صونا,ring,Protect,protect,Listen,protect,Listen,protect
جمع,collect,Collect,to collect,Gather,to gather,Collect,to gather
هرب,escape,Escape,escape,Escape,escape,Escape,escape
رحّب,welcome,Welcome,welcome,Welcome,Welcome,Welcome,welcome
عوّل,rely,Trust,trust,Trust,trust,Trust,trust
تاق,trust,Tag,miss,Tag,fall,Tagging,to cook
عاود,repeat,Repeat,repeat,Repeat,repeat,Repeat,repeat
خطّط,plan,Plan,plan,Plan,plan,Plan,plan
فرش,reveal,Sweep,spread,Spread,spread,Sweep,spread
أكّد,confirm,Confirm,confirm,Confirm,confirm,Confirm,confirm
كره,hate,Hate,hate,Hate,hate,Hate,hate
تجوج,marry,Getting married,marry,Getting married,marry,Getting married,marry
قسم,split,divide,divide,Swear,divide,divide,divide
تبنّا,adopt,Adopt,adopt,Adopt,adopt,Adopt,adopt
تجاهل,ignore,Ignore,ignore,Ignore,ignore,Ignore,ignore
عرّف,define,Define,define,Define,define,Define,define
قدّم,introduce,give,present,Present,present,Present,present
ترينا,exercise,Show us,show,Show us,show,Show us.,show
برهن,demonstrate,Show,prove,Show,prove,Show,prove
قنع,persuade,convince,convince,convince,convince,convince,convince
قلّع,guess,Remove,uproot,Dig,uproot,Remove,uproot
صوّت,vote,Vote,vote,Vote,vote,Vote,vote
نكر,deny,Sleep,deny,Forget,deny,Sleep,sleep
خبّا,hide,Hide,hide,Hide,hide,Hide,hide
نجح,succeed,Succeed,succeed,Succeed,succeed,Succeed,succeed
طلب,demand,ask,ask,Request,ask,Request,ask
عتارف,recognize,Confess,recognize,Confess,confess,Confess,confess
حسب,count,Based,consider,Based on,calculate,According to,to calculate
نتاما,belong,Sleep,sleep,You eat.,expect,You sleep.,sleep
شكّ,doubt,Thank.,doubt,Thank.,Thank,Doubt,doubt
غنّا,sing,Sing,sing,Sing,sing,Sing,sing
نوا,intent,Sleep,sleep,Sleep,sleep,Sleep,sleep
برّر,justify,Justify,justify,Justify,justify,Justify,Justify
دافع,defend,Defend,defend,Push,defend,Defend,defend
زعم,dare,Claim,claim,Claim,claim,Claim,claim
تساراح,rest,Walk,to travel,Go out,travel,To walk,to walk
حكم,judge,Judge,rule,Speak,rule,Judge,to judge
شارك,participate,Participate,participate,Participate,participate,Participate,participate
غسل,wash,wash,wash,Wash,wash,Wash,wash
لاحض,observe,Notice,notice,Notice,notice,Notice,Notice
خدّم,employ,Work,work,Work,work,Work,work
جمع,combine,Collect,to collect,Gather,collect,Collect,to collect
لحّ,insist,Rubbing,boil,Laugh,Rub.,To eat,Rub.
تلاح,jump,Read,to reveal,Read,repair,Watch,to repair
طيّب,cook,Okay,to make something good,Okay,To cook,Okay.,To make
بكا,cry,Cry,cry,Cry,cry,Crying,cry
نعس,sleep,Sleep,sleep,Sleep,sleep,Sleep,sleep
فاق,wake up,Wake up,surpass,Wake up,wake,Wake up,wake
جمع,gather,Collect,gather,Collect,to gather,Gathering,to gather
نساحب,withdraw,Withdraw,drag,Withdraw,drag,Withdraw,pull
حلّ,resolve,Solve,solve,Solve,solve,Solve,solve
خبر,inform,Know,to inform,Tell,tell,News,to inform
ستلزم,imply,Need,require,Require,require,Require,require
تسلّف,borrow,Borrow,borrow,Borrow,borrow,Borrow,borrow
خاطر,risk,Want,want,Want,want,Think,want
سمح,permit,Allow,allow,Allow,allow,Allow,Allow
سامح,forgive,Forgive,forgive,Forgive,forgive,Forgive,forgive
قتارح,propose,Propose,decide,Suggest,decide,suggest,decide
حتافل,celebrate,Celebrate,travel,Celebrate,Travel,Celebrate,to travel
ضيّع,waste,Lose,lose,Lose,lose,Lose,lose
غبر,disappear,Leave,bury,Run,Cover,Run,to bury
توقّع,predict,Expect,expect,Expect,expect,Expect,expect
نڭر,complain,Watch,see,Laugh,see,Bite,see
قبط,catch,Buy,steal,Steal,steal,Steal,steal
ڭبض,catch,Grab,grab,Grab,grab,Grab,grab
ناض,get up,Stand,stand,Get up,stand,Go,stand
داز,pass,Pass,pass,Pass,pass,Pass,pass
حبس,stop,Lock up,imprison,Imprison,imprison,Imprisonment,imprison
قيّد,note,Restrict,restrict,Tie,register,Record,register
ولّف,habituate,Write,wrap,Wrap,Wrap,Compose,to write
خلّط,mix,Mix,mix,Mix,mix,Mix,mix
ڭيّد,mislead,Restrict,tie,Limit,tie,Think,tie
حرڭ,burn,Travel,argue,Laugh,Argue,Laugh,to scream
حرق,burn,Burn,burn,Burn,burn,burn,burn
ستاغل,exploit,Work,work,Enjoy,work,To work,work
كما,smoke,"""like""",like,As,like,As,like
حدّر,warn,Travel,to drag,Laugh,warn,Predict,warn
باس,kiss,Go,to pass,Laugh,to step,Pass,to step
علن,announce,Declare,announce,Declare,announce,announce,announce
ختابر,evaluate,Study,to communicate,Try,test,Study,contact
تنفّس,breathe,Breathe,breathe,Breathe,breathe,Breathe,breathe
فات,exceed,Missed,miss,Missed,miss,Pass,miss
صادق,approve,Believe,be truthful,Believe,verify,Honest.,to believe
حتلّ,occupy,Occupy,to conquer,occupy,occupy,Invade,occupy
حرّر,free,Edit,free,Free,Free,Edit,to free
بتاسم,smile,Smile,smile,Smiling,smile,Smiling,smile
حفر,dig,Dig,dig,Dig,dig,Dig,dig
حتارم,respect,Respect,to swim,Respect,respect,Respect,to hesitate
هدّد,threaten,Threaten,threaten,Threaten,threaten,Threaten,threaten
لغا,cancel,Study,swim,Play,to go,To go,to go
خزن,store,Store,store,Store,store,Store,store
نضّم,organize,organize,organize,organize,organize,organize,organize
نوّر,shine,Illuminate,enlighten,Illuminate,enlighten,Illuminate,to enlighten
حلف,swear,Swear,swear,Swear,swear,Swear,swear
حلم,dream,Dream,dream,Dream,dream,Dream,dream
صرط,absorb,Drive,walk,Drive,walk,Drive,walk
بلوكا,block,Block,block,Block,block,Block,block
ستابق,anticipate,Run,race,Run,compete,Run,compete
اتهم,accuse,Blame,accuse,Accuse,accuse,Accuse,accuse
غوّت,shout,Go,to swim,Laugh,to swim,Sing,to swim
أتّر,affect,Watch,wait,Laugh,wait,Laugh,wait
رتّب,arrange,Arrange,arrange,Arrange,arrange,Arrange,arrange
عتاقل,arrest,Relax,delay,Laughing,delay,To release,to delay
نبح,bark,Bark,bark,bark,bark,barking,bark
خان,betray,to betray,to betray,Bet,betray,Bet,to deceive
تحاطّ,bet,Surround,surround,Surround,surround,Surrounding,surround
ختالف,differ,Argue,differ,Argue,differ,Arguing,differ
حتافض,keep,To clean,convince,Laugh,convince,Laughing,convince
طار,fly,Fly,fly,Fly,fly,Fly,fly
بان,appear,See,see,Appear,see,see,see
جرّ,pull,Travel,drag,Run,drag,Run,drag
هزّ,lift,Shake,shake,Shake,shake,shake,shake
رجع,return,Come back,return,Come,return,Return,return
طاح,fall,Fall,fall,Fall,fall,Fall,fall
عرف,know,know,know,Know,know,know,know
نسا,forget,Forget,forget,Forget,Forget,Forget,Forget
وصف,describe,Describe,describe,Describe,describe,Describe,describe
ترجم,translate,نقل,translate,دري.,translate,ترجم = translate,translate
وعد,promise,Promise,promise,Promise,promise,Promise,promise
قلّب,search,Flip,turn,Flip,turn,Turn,turn
حبّ,love,Love,love,Love,love,Love,love
عاش,live,Live,live,Live,live,Live,live
سكن,live,live,live,Live,live,Live,live
خلّص,pay,Finish,finish,Finish,finish,Finish,finish
سدّ,close,Block,block,Block,block,block,block
وقف,stand up,Stop,stop,Stop,stop,Stop,stop
ستخدم,use,Use,use,Use,use,Use,use
ستالم,receive,Receive,to hurt,Receive,to receive,Receive,receive
فشل,fail,Fail,fail,Fail,fail,Fail,fail
سبّ,insult,Insult,curse,Insult,to insult,insult,to insult
شكا,complain,Complain,complain,Complain,complain,complain,complain
فضح,expose,Expose,expose,Expose,expose,Expose,expose
عتادر,apologize,Travel,apologize,Apologize,apologize,Apologize,apologize
عنّڭ,hug,Listen,deny,To show,deny,To sing,Answer
ندم,regret,Regret,regret,Regret,regret,Regret,regret
عطس,sneeze,Sneeze,sneeze,Sneezing,sneeze,Sneezing,sneeze
كحب,cough,To love,to love,Flirting,to love,Flirting,vomit
أجّل,postpone,Delay,delay,Postpone,delay,Postpone,delay
تعاون,cooperate,Cooperate,cooperate,Cooperate,cooperate,Cooperation,cooperate
تبادل,exchange,Exchange,exchange,Exchange,exchange,Exchange,exchange
قاطع,boycott,Interrupt,interrupt,Interrupt,interrupt,Interrupt,interrupt
تطوّع,volunteer,Volunteer,volunteer,Volunteer,volunteer,Volunteer,volunteer
تجنّب,avoid,Avoid,avoid,Avoid,avoid,Avoid,avoid
همل,neglect,Forget,to whisper,Ignore,whisper,Sleep,whisper
تلاقا,meet,Meet,meet,Meet,meet,Meet,meet
تجسّس,spy,Spy,spy,Spy,spy,Spying,spy
نتاقم,revenge,Revenge,avenge,Revenge,avenge,Revenge,avenge
دفن,bury,bury,bury,bury,bury,bury,bury
غلب,defeat,Win,overcome,Overcome,overcome,Winning,to defeat
كان,be,كاين,be,Was,be,be,be
بغا,want,Want,want,Want,want,Want,want
قدر,can,can,can,Can,can,be able,can
ڭدّ,can,Go,sit,Laugh,to cut,Laugh,to cut
دار,make,live,do,Live,to do,House,do
خدا,take,Take,take,Take,Take,Take,Take
شاف,look,See,see,See,see,See,see
خلّا,let,Let go,let,Let him/her/it go.,let,Let go,let
بان,seem,see,see,Appear,see,See,see
تضمّن,include,Include,include,Include,include,Include,include
تحرّك,move,Move,move,Move,move,Move,move
ضار,turn,Harm,harm,Harm,harm,Harm,harm
عتابر,consider,Consider,consider,Consider,consider,Consider,consider
خلّا,allow,Let,let,Let him/her do.,let,Let it be.,let
تمنّا,hope,wish,wish,Wishing,wish,Wishing,wish
نتج,produce,Produce,produce,produce,produce,produce,produce
بقا,stay,Stay,stay,Stay,stay,Stay,stay
شدّ,hold,Pull,pull,Pull,pull,Pull,pull
توقّع,expect,Expect,expect,Expect,expect,Expect,expect
ضمن,ensure,Within,guarantee,Within,guarantee,Within,guarantee
هزّ,carry,Shake,shake,Shake,shake,shake,shake
عرض,offer,Show,present,Present,present,Presentation,present
دعم,support,Support,support,Support,support,Support,support
هضر,speak,Speak,speak,Speak,speak,Speak,speak
دوا,speak,Go,cure,Cure,bring,Take,bring
قاد,lead,Drive,drive,Drive,drive,Drive,drive
بقا,remain,Stay,stay,Stay,stay,Stay,stay
وقف,stand,Stop,stop,Stop,stop,Stop,stop
وڭف,stand,Watch,stop,Listen,stand,Laughing,stand
قتارح,suggest,Propose,decide,Suggest,decide,suggest,decide
طوّر,develop,Develop,develop,Develop,Develop,Develop,develop
ڭلس,sit,Eat,swim,Laugh,swim,Laugh,swim
ڭادّ,create,Go,call,Laugh,call,Laughing,return
صاوب,create,Work,fix,Work,Fix,Fix,Fix
اتفق,agree,Agree,agree,Agree,agree,Agree,agree
طبّق,apply,Apply,apply,Apply,apply,Apply,apply
كوّن,form,Form,form,Form,form,Form,form
زاد,increase,Increase,increase,Increase,increase,Increase,increase
لتاحق,join,To search,to search,To search,To search,To search,to search
نقّص,reduce,Lack,decrease,Lack,lack,Lack,to decrease
نقد,save,Critique,criticize,Critique,criticize,Criticism,criticize
تطلّب,require,Ask,request,Request,request,demand,request
حقق,achieve,Achieve,achieve,Achieve,achieve,Achieve,achieve
حبس,prevent,Detain,imprison,Imprison,imprison,Imprisonment,imprison
تعامل,deal,Deal,deal,Deal,deal,Deal,deal
تواجه,face,Face,face,Face,face,Face,face
غطّا,cover,Cover,cover,Cover,cover,Cover,cover
طوّر,improve,Develop,develop,Develop,develop,Develop,develop
مال,tend,Spend,go,Spend,go,Money,go
رسم,draw,Draw,draw,Draw,draw,Draw,draw
تحرّك,act,Move,move,Move,move,Move,move
عزل,pick,Isolate,isolate,Isolate,isolate,Isolation,isolate
ختار,pick,Choose,choose,Choose,choose,Choose,choose
كلّف,cost,Assign,assign,Assign,assign,Assign,to order
سوا,cost,Do,do,Do,do,Do,do
برهن,prove,prove,prove,Show,prove,Show,prove
وقع,occur,Fall,fall,Fall,fall,Fall,fall
تناقش,discuss,Discuss,discuss,Discuss,discuss,Discuss,discuss
ڭابل,maintain,Accept,accept,Accept,accept,Accept,accept
سالا,end,Ask,ask,Ask,ask,Ask,ask
كمّل,end,Finish,complete,Finish,complete,Complete,Complete
كاين,exist,There is,exist,There is,exist,There is.,exist
قصد,seek,intend,intend,Mean,intend,Mean,intend
قلّب,check,Flip,turn,Flip,turn,Turn,to turn
نفع,serve,Do,benefit,Benefit,benefit,Do.,benefit
قسم,share,divide,divide,Swear,divide,divide,divide
پارتاجا,share,Share,share,Share,Share,Share,share
نشء,establish,Create,grow,Create,to create,Create,to create
أسّس,establish,Establish,establish,Found,establish,Establish,establish
تحكّم,control,Control,control,Control,control,Control,control
جاوب,answer,Answer,answer,Answer,answer,Answer,answer
حدّد,identify,Identify,determine,Identify,determine,Define,to determine
عتانا,care,Arguing,argue,Arguing,argue,Laughing,to annoy
مكّن,enable,Enable,enable,Enable,enable,Enable,enable
طالب,claim,Student,ask,Student,ask,Student,to ask
كسب,obtain,Earn,earn,Win,earn,Winning,earn
متّل,represent,imitate,imitate,imitate,imitate,Laughing,imitate
تضمّن,contain,Include,include,Include,include,Include,include
غلب,beat,Win,defeat,Overcome,defeat,Winning,to defeat
تشطن,worry,Travel,to swim,Eat,To clean,Cooking,swim
تحمّل,bear,Bear,bear,Endure,bear,Bear,bear
سدّ,shut,Block,block,Block,block,Block,block
تساءل,wonder,Wonder,wonder,Wonder,wonder,Wondered,wonder
ناسب,fit,Fit,suit,Fit,fit,Fit,to fit
تعلّق,regard,Hang,hang,Hang,hang,Hang,hang
حطّ,place,Put,put,Put,Put,Put,put
شمل,involve,Smell,include,Smell,include,Smell,include
اتصل,contact,Call,call,Call,call,Call,call
فتارض,assume,Refuse,agree,Refuse,agree,To agree,agree
أشار,indicate,Point,point,Pointed,point,Pointed,point
خدم,operate,Work,work,Work,work,Work,work
تصرّف,manage,Behave,behave,Behave,behave,Behave,behave
تأقلم,cope,Adapt,adapt,Adapt,Adapt,Adapt,adapt
حدّد,determine,Identify,determine,Choose,determine,Specify,to determine
عكس,reverse,Opposite,reverse,Oppose,reverse,Oppose,reverse
أشار,refer,Point,point,Pointed,point,Pointed,point
ربح,gain,Win,win,Win,win,Win,win
فحص,examine,Check,examine,Check,examine,Check,examine
فضّل,prefer,prefer,prefer,Prefer,prefer,prefer,prefer
عتارف,admit,Confess,recognize,Confess,confess,Confess,confess
ردّ,respond,Answer,reject,Answer,to reply,Answer,to reply
جاوب,respond,Answer,answer,Answer,answer,Answer,answer
عتامد,depend,depend,rely,depend,rely,depend,rely
نجا,survive,Survive,escape,Survive,escape,Escape,escape
لاحض,notice,Notice,notice,Notice,Notice,Notice,Notice
نتج,result,Produce,produce,produce,produce,produce,produce
بدّل,replace,Change,change,Change,change,Change,change
كمّل,complete,Finish,complete,Complete.,complete,Complete,Complete
رتافع,rise,Travel,rise,To raise,lift,To raise,lift
قدّم,present,give,present,Present,present,Present,present
نشء,arise,Create,grow,Create,raise,We create,to create
أشار,point,Point,point,Pointed,point,Pointed,point
روّج,promote,Promote,advertise,Promote,Advertise,Promote,advertise
شجّع,promote,Support,encourage,Encourage,encourage,Support,encourage
أدى,perform,Lead,perform,Perform,perform,perform,to perform
مدّد,extend,Extend,extend,Extend,Extend,Extend,Extend
أشار,mention,Point,point,Pointed,point,Pointed,point
ختالف,vary,Argue,differ,Argue,differ,Argue,differ
فاد,benefit,Help,help,Help,help,Help,help
عالج,treat,Treat,treat,Treat,treat,Treat,treat
علّق,hang,Comment,hang,Hang,to hang,Comment,to hang
طيّح,drop,Fall,fall,Fall,fall,Fall,fall
بلّغ,report,Reach,reach,Inform,inform,Inform,to inform
صبّ,cast,Pour verser,pour,Pouring,pour,Pouring,pour
ختابر,test,Experience,to test,Experience,test,Study,to communicate
أمّن,secure,Secure,secure,Secure,Secure,Secure,Secure
طوّل,last,Lengthen,lengthen,Lengthen,Lengthen,Lengthen,Lengthen
وافق,match,Agree,agree,Agree,agree,Agree,agree
قدّر,assess,Appreciate,estimate,Appreciate,estimate,Appreciate,estimate
ساهم,contribute,Contribute,contribute,Contribute,help,Contribute,help
مدّ,supply,Stretch,stretch,Stretch,Extend,Stretch,stretch
علن,state,Declare,announce,Declare,announce,announce,announce
قدّر,appreciate,Appreciate,estimate,Appreciate,estimate,Appreciate,estimate
رتابط,relate,Get bored,link,Get bored,interact,Get bored,communicate
تغلّب,overcome,Overcome,overcome,Overcome,overcome,Overcome,overcome
تخلّص,rid,Get rid of,get rid of,Get rid of,Get rid of,Finish,Get rid
حاول,attempt,Try,try,Try,try,Try,try
حتافض,retain,To clean,convince,Laugh,convince,Laugh,convince
تكلّف,handle,Cost,cost,Cost,cost,Cost,to cost
جدب,attract,Steal,to drown,Steal,to pull,Steal,to attract
ساعد,assist,Help,help,Help,help,Help,help
عاون,assist,Help,help,Help,help,Help,help
أتّر,influence,Watch,wait,Laugh,wait,Wait,wait
حدّد,mark,Identify,determine,Choose,determine,Define,determine
فكّر,recall,Think,think,Think,think,Think,think
سينا,sign,Go,swim,Laugh,swim,We are.,to teach
خاف,fear,Fear,fear,Fear,fear,Fear,fear
لصق,stick,Paste,paste,Paste,paste,Paste,paste
سوّا,settle,Do,to do,Do,to do,Do,to do
ريڭل,settle,Dance,paint,Dance,paint,Dancing,Laugh
قارن,compare,Compare,compare,Compare,compare,Compare,compare
حسب,account,Based,calculate,Based on,calculate,According to,judge
حقّق,investigate,Achieve,achieve,Achieve,achieve,Achieve,achieve
نقّا,clear,Clean,clean,Clean,clean,Clean,clean
سجّل,record,Register,register,Register,register,Register,register
شجّل,record,Record,register,Encourage,register,Cheer,register
كتاشف,explore,Discover,discover,Discover,discover,Discover,discover
لام,blame,Refuse,touch,Refuse,to learn,To refuse,to lick
عبر,cross,Express,cross,Express,to express,Express,to express
عاق,realize,to disobey,disobey,Disobey,disobey,Rebel,disobey
ركّز,focus,Focus,focus,Focus,focus,Focus,focus
وصّل,deliver,Arrive,arrive,Arrive,connect,Arrive,arrive
شرع,proceed,Start,begin,Start,begin,Start,begin
زعج,bother,Annoy,annoy,Annoy,annoy,Annoy,bother
برزط,bother,To tie,to swim,To tie,to squeeze,To link,to play
رفض,refuse,Refuse,refuse,Refuse,refuse,Refuse,refuse
فرض,force,impose,impose,Impose,impose,impose,impose
عتاقد,reckon,Think,think,Think,think,Believe,think
عزم,intend,Intend,determine,Intend,decide,Intention,determine
نصح,advise,Advise,advise,Advise,advise,Advise,advise
كتاسب,acquire,Study,earn,Study,earn,Earning,earn
سترجع,recover,Come back,return,You will come back.,return,Return,return
نشء,generate,Create,grow,Create,to create,We create,to create
تميّز,distinguish,Distinguish,distinguish,Distinguish,distinguish,Distinguish,distinguish
شتابه,suspect,Shopping,hurry,To write,hurry,To chat,hurry
كسب,earn,Earn,earn,Win,earn,Win,earn
موّل,finance,Fund,finance,Fund,finance,fund,finance
هدم,destroy,Destroy,destroy,Demolish,destroy,Demolish,destroy
تبع,pursue,Follow,follow,Follow,follow,Follow,follow
علّق,comment,Comment,hang,Hang,hang,Comment,hang
رضا,satisfy,Accept,accept,Accept,accept,Satisfaction,agree
تنافس,compete,Compete,compete,Compete,compete,Compete,compete
قاوم,resist,Resist,resist,Resist,resist,Resist,resist
لاءم,suit,Fit,fit,Fit,fit,Fit,fit
خاطب,address,Speak,marry,Approach,marry,Speak,marry
حلّ,solve,Solve,solve,Solve,solve,Solve,solve
بدّل,alter,Change,change,Change,change,Change,change
فرض,impose,impose,impose,impose,impose,impose,impose
عرض,display,present,present,Present,present,Present,present
ناشد,appeal,Appeal,appeal,Appeal,appeal,Appeal,appeal
طلق,release,Divorce,divorce,Divorce,divorce,Divorce,divorce
فرز,sort,Sort,sort,Sort,sort,Sort,to sort
رتّب,sort,Arrange,arrange,Arrange,arrange,Arrange,arrange
ختار,select,Choose,choose,Choose,choose,Choose,choose
عبر,measure,Express,cross,Express,to express,Express,to express
وصّا,recommend,Advise,advise,Advise,advise,Advise,advise
طلب,order,ask,ask,Request,ask,Request,ask
أمر,order,Command,order,Order,order,Order,order
نقل,transfer,Move,move,Move,transfer,Move,to transfer
هجم,attack,Attack,attack,Attack,attack,Attack,attack
توسّع,expand,Expand,expand,Expand,expand,Expand,expand
تكركب,roll,Riding,ride,Ride,ride,Riding,ride
نفاجر,burst,Argue,argue,Rebel,explode,Arguing,provoke
تعهّد,undertake,commit,commit,Commit,undertake,commit,commit
تساراح,relax,Walk,to travel,Go out,to walk,To walk,to travel
تصرّف,behave,Behave,behave,Behave,behave,Behave,behave
دكّر,remind,Remind,remind,Remind,remind,Remind,remind
فكّر,remind,Think,think,Think,think,Think,think
راجع,review,Review,review,Review,review,Review,review
نهج,approach,Walk,guide,Drive,guide,Walk,guide
رجّع,restore,Return,return,Return,return,Return,return
صدر,issue,to publish,to release,To release,to release,To release,To release
