darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl,p3_transl,eng_p3_transl
شكر,thank,Thank.,thank,Thank,thank,Thank,thank
بدّل,change,Change,change,Change,change,Change,change
كمّل,continue,Complete.,Complete,كمّل - Complete,Complete,Finish,Complete
فتارض,suppose,Refuse,agree,Accept,Accept,Accept,agree
تمنّا,wish,Wishing,wish,Wish,wish,Wish,wish
تبع,follow,Follow,follow,Follow,Follow,Follow,Follow
قبل,accept,Before,accept,Kiss,accept,Kiss,accept
رفض,reject,Refuse,refuse,Refuse,refuse,Refuse,refuse
وقع,happen,Fall,fall,Fall,fall,Fall,fall
ڭلس,sit down,Laugh,swim,Laugh,Eat,Laugh,Swim
ربح,win,Win,win,Win,win,Win,win
زاد,add,Increase,increase,Increase,increase,Increase,increase
تعلّم,learn,Learn,learn,Learn,learn,Learn,learn
تسنّا,wait,Wait,wait,Wait,Wait,Wait,wait
سيفط,send,Fall,Jump,Laugh,Jump,Laugh,Jump
حلّ,open,Solve,solve,Solve,Solve,Solve,solve
بنا,build,Build,build,Build,build,Build,build
ختار,choose,Choose,choose,Choose,Choose,Choose,Choose
وصل,reach,Arrive,arrive,Arrive,arrive,Arrive,arrive
قرّر,decide,Decide,decide,Decide,decide,Decide,decide
نشط,enjoy,Active,activate,Activate,Activate,Active,Activate
تفرّج,watch,Watch,watch,Watch,Watch,Watch,Watch
خسر,lose,Lose,lose,Lose,lose,Lose,lose
تمشّا,walk,Walk,walk,Walk,walk,Walk,walk
كبّر,raise,Exaggerate,magnify,Grow,grow,Grow,Grow
تخيّل,imagine,Imagine,imagine,Imagine,imagine,Imagine,imagine
سبّب,cause,Cause,cause,Cause,cause,Cause,cause
هرّس,break,Grind,to plow,Mash,Grind,Mash,Grind
سمع,listen,Listen,hear,Listen,hear,Listen,hear
كبر,grow,Grow,grow,Grow,grow,Grow,grow
مات,die,Die,die,Die,die,Die,die
توفّا,die,Pass away,die,Die,die,Die,die
زار,visit,Visit,visit,Visit,visit,Visited,visit
شجّع,encourage,Cheer,encourage,Encourage,Encourage,Cheer,encourage
حاما,protect,Protect,protect,Cooking,Protect,Cooking,protect
نشر,spread,Publish,publish,Publish,publish,Post,publish
قتل,kill,Kill,kill,Kill,kill,Kill,kill
صاڭ,drive,Laugh,to swim,Laugh,Stand,Laugh,Climb
كدب,lie,Lie,lie,Lie,lie,Lie,lie
تقاجح,argue,Argue,argue,Argue,argue,Argue,argue
حيّد,remove,Avoid,to remove,Avoid,Remove,Avoid,Remove
دابز,fight,Dabz - Dance,to paint,Dance,Jump,Dance,Jump
عمّر,fill,Live,build,Live,Build,Live,Build
سافر,travel,Travel,travel,Travel,travel,Travel,Travel
حضر,attend,Attend,attend,Attend,Attend,Attend,Attend
قسّح,hurt,Laugh,Cut,Laugh,Cut,Scratch,Cut
عانا,suffer,Suffer,suffer,Suffer,suffer,Suffered,suffer
زڭل,miss,Laugh,Tickle,Laugh,Play,Laugh,Play
عبّر,express,Express,express,Express,Express,Express,Express
ركّز,concentrate,Focus,focus,Focus,Focus,Focus,focus
لاح,throw,See,see,To walk,See,Arrive,see
صاوب,prepare,Work,Fix,Work,Fix,Work,Fix
قرا,study,Read,read,Read,Read,Read,Read
دفع,push,Push,pay,Pay,pay,Push,pay
ورّك,press,Show off,Show,Dance,Show,Kick,Show
وصل,arrive,Arrive,arrive,Arrive,arrive,Arrive,arrive
صونا,ring,Listen,protect,Listen,Hear,Listen,Protect
جمع,collect,Gather,to gather,Gather,to collect,Gather,to gather
هرب,escape,Escape,escape,Escape,escape,Escape,escape
رحّب,welcome,Welcome,Welcome,Welcome,Welcome,Welcome,Welcome
عوّل,rely,Trust,trust,Trust,Trust,Trust,Trust
تاق,trust,Tag,fall,Tag,To cut,Tag,To cook
عاود,repeat,Repeat,repeat,Repeat,Repeat,Repeat,Repeat
خطّط,plan,Plan,plan,Plan,Plan,Plan,plan
فرش,reveal,Spread,spread,Sweep,spread,Sweep,spread
أكّد,confirm,Confirm,confirm,Confirm,confirm,Confirm,confirm
كره,hate,Hate,hate,Hate,hate,Hate,hate
تجوج,marry,Getting married,marry,Get married,marry,Get married,marry
قسم,split,Swear,divide,divide,divide,Promise,divide
تبنّا,adopt,Adopt,adopt,Adopt,Adopt,adopt,Adopt
تجاهل,ignore,Ignore,ignore,Ignore,Ignore,Ignore,Ignore
عرّف,define,Define,define,Define,define,Define,define
قدّم,introduce,Present,present,Present,present,Present,present
ترينا,exercise,Show us,show,Show us,Show,Show us,Show
برهن,demonstrate,Show,prove,Prove,prove,Prove,prove
قنع,persuade,convince,convince,Convince,convince,convince,convince
قلّع,guess,Dig,uproot,Dig,Pull,Dig,Dig
صوّت,vote,Vote,vote,Vote,Vote,Vote,vote
نكر,deny,Forget,deny,Sleep,Deny,Sleep,Deny
خبّا,hide,Hide,hide,Hide,Hide,Hide,Hide
نجح,succeed,Succeed,succeed,Succeed,succeed,Succeed,succeed
طلب,demand,Request,ask,Ask,ask,Request,ask
عتارف,recognize,Confess,confess,Confess,admit,Confess,Admit
حسب,count,Based on,calculate,See,Calculate,Based,Calculate
نتاما,belong,You eat.,expect,Laughing,Expect,Laugh,Hope
شكّ,doubt,Thank.,Thank,Thank.,Thank,Thank.,Thank
غنّا,sing,Sing,sing,Sing,sing,Sing,sing
نوا,intent,Sleep,sleep,sleep,sleep,sleep,Sleep
برّر,justify,Justify,justify,Justify,Justify,Justify,Justify
دافع,defend,Push,defend,Pay,defend,Defend,defend
زعم,dare,Claim,claim,Claim,claim,Claim,claim
تساراح,rest,Go out,travel,To go out,Run,To walk,To walk
حكم,judge,Speak,rule,Judge,rule,Judge,rule
شارك,participate,Participate,participate,Participate,Participate,Participate,Participate
غسل,wash,Wash,wash,Wash,wash,Wash,wash
لاحض,observe,Notice,notice,Notice,Notice,Notice,Notice
خدّم,employ,Work,work,Work,Work,Work,work
جمع,combine,Gather,collect,Gather,to collect,Collect,to collect
لحّ,insist,Laugh,Rub.,Laugh,Rub,Laugh,Rub
تلاح,jump,Read,repair,Read,Read,Read,Read
طيّب,cook,Okay,To cook,To be kind.,To cook,To be good.,To make
بكا,cry,Cry,cry,Cry,cry,Cried,cry
نعس,sleep,Sleep,sleep,Sleep,sleep,Sleep,sleep
فاق,wake up,Wake up,wake,Wake,surpass,Wake,wake
جمع,gather,Collect,to gather,Gather,to gather,Collect,to gather
نساحب,withdraw,Withdraw,drag,Withdraw,drag,Withdraw,drag
حلّ,resolve,Solve,solve,Solve,Solve,Solve,Solve
خبر,inform,Tell,tell,Tell,to inform,Tell,Tell
ستلزم,imply,Require,require,Require,require,Require,require
تسلّف,borrow,Borrow,borrow,Borrow,borrow,Borrow,borrow
خاطر,risk,Want,want,Write,Want,Want,want
سمح,permit,Allow,allow,Forgive,Allow,Allow,Allow
سامح,forgive,Forgive,forgive,Forgive,Forgive,Forgive,forgive
قتارح,propose,Suggest,decide,Propose,Decide,Propose,Decide
حتافل,celebrate,Celebrate,Travel,Celebrate,Travel,Celebrate,Travel
ضيّع,waste,Lose,lose,Waste,lose,Waste,Lose
غبر,disappear,Run,Cover,Leave,Dig,Leave,Cover
توقّع,predict,Expect,expect,Expect,expect,Expect,Expect
نڭر,complain,Laugh,see,Bite,See,Sleep,See
قبط,catch,Steal,steal,Steal,Steal,Steal,Steal
ڭبض,catch,Grab,grab,Grab,Take,Grab,Grab
ناض,get up,Get up,stand,Get up,stand,Get up,stand
داز,pass,Pass,pass,Pass,Pass,Pass,pass
حبس,stop,Imprison,imprison,Imprisonment,imprison,Imprisonment,Imprison
قيّد,note,Tie,register,Tie,restrict,Restrict,restrict
ولّف,habituate,Wrap,Wrap,Wrap,Wrap,Wrap,Wrap
خلّط,mix,Mix,mix,Mix,mix,Mix,mix
ڭيّد,mislead,Limit,tie,Think,restrict,Limit,tie
حرڭ,burn,Laugh,Argue,Laugh,Argue,Laugh,Argue
حرق,burn,Burn,burn,Burn,burn,Burn,burn
ستاغل,exploit,Enjoy,work,Enjoy,Work,Enjoy,Work
كما,smoke,As,like,Eat,like,As,want
حدّر,warn,Laugh,warn,Laugh,Warn,Predict,Warn
باس,kiss,Laugh,to step,Pass,Pass,Pass,Walk
علن,announce,Declare,announce,Announce,announce,Declare,announce
ختابر,evaluate,Try,test,Chat,Experience,Chat,Test
تنفّس,breathe,Breathe,breathe,Breathe,breathe,Breathe,breathe
فات,exceed,Missed,miss,Pass,Miss,Pass,miss
صادق,approve,Believe,verify,Believe,Believe,Honest,Believe
حتلّ,occupy,occupy,occupy,Invade,occupy,Invade,occupy
حرّر,free,Free,Free,Edit,Free,Edit,Free
بتاسم,smile,Smiling,smile,laughing,Smile,Smiling,Smile
حفر,dig,Dig,dig,Dig,Dig,Dig,dig
حتارم,respect,Respect,respect,Respect,Respect,Respect,To hesitate
هدّد,threaten,Threaten,threaten,Threaten,threaten,Threaten,Threaten
لغا,cancel,Play,to go,To go,to go,Disappear,to swim
خزن,store,Store,store,Store,store,Store,store
نضّم,organize,organize,organize,Organize,organize,Organize,Organize
نوّر,shine,Illuminate,enlighten,Illuminate,Illuminate,Illuminate,Illuminate
حلف,swear,Swear,swear,Swear,swear,Swear,Swear
حلم,dream,Dream,dream,Dream,dream,Dream,Dream
صرط,absorb,Drive,walk,Drive,walk,Drive,walk
بلوكا,block,Block,block,Block,Block,Block,Block
ستابق,anticipate,Run,compete,Run,race,Run,Compete
اتهم,accuse,Accuse,accuse,Accuse,accuse,Accuse,accuse
غوّت,shout,Laugh,to swim,Dance,Scream,Laughed,to swim
أتّر,affect,Laugh,wait,Laugh,Wait,Wait,Wait
رتّب,arrange,Arrange,arrange,Arrange,arrange,Arrange,arrange
عتاقل,arrest,Laughing,delay,Laughing,Neglect,Laughing,Delay
نبح,bark,bark,bark,bark,bark,bark,bark
خان,betray,Bet,betray,Bet,to stay,Betrayed,to stay
تحاطّ,bet,Surround,surround,Surround,surround,Surround,surround
ختالف,differ,Argue,differ,Argue,differ,Argue,differ
حتافض,keep,Laugh,convince,Laugh,convince,Laugh,convince
طار,fly,Fly,fly,Fly,fly,Fly,fly
بان,appear,Appear,see,See,see,See,see
جرّ,pull,Run,drag,Run,drag,Run,drag
هزّ,lift,Shake,shake,Shake,shake,Shake,shake
رجع,return,Come,return,Come,return,Come,return
طاح,fall,Fall,fall,Fall,fall,Fall,fall
عرف,know,Know,know,Know,know,Know,know
نسا,forget,Forget,Forget,Forget,Forget,Forget,Forget
وصف,describe,Describe,describe,Describe,describe,Describe,describe
ترجم,translate,دري.,translate,كيسرق - Steal,Translate,كنتمنى,Translate
وعد,promise,Promise,promise,Promise,promise,Promise,promise
قلّب,search,Flip,turn,Flip,Turn,Flip,Turn
حبّ,love,Love,love,Love,love,Love,love
عاش,live,Live,live,Live,live,Lived,live
سكن,live,Live,live,Live,live,Live,live
خلّص,pay,Finish,finish,Finish,Finish,Finish,Finish
سدّ,close,Block,block,Block,block,Block,block
وقف,stand up,Stop,stop,Stop,stop,Stop,stop
ستخدم,use,Use,use,Use,Use,Use,Use
ستالم,receive,Receive,to receive,Receive,Receive,Receive,Receive
فشل,fail,Fail,fail,Fail,fail,Fail,fail
سبّ,insult,Insult,to insult,Insult,to insult,insult,to insult
شكا,complain,Complain,complain,Complain,complain,Complain,complain
فضح,expose,Expose,expose,Expose,Expose,Expose,Expose
عتادر,apologize,Apologize,apologize,Apologize,Apologize,Apologize,Apologize
عنّڭ,hug,To show,deny,Laugh,Answer,To listen,Answer
ندم,regret,Regret,regret,Regret,regret,Regret,Regret
عطس,sneeze,Sneezing,sneeze,Sneezing,sneeze,Sneeze,sneeze
كحب,cough,Flirting,to love,Laugh,To love,Laugh,To love
أجّل,postpone,Postpone,delay,Postpone,Delay,Postpone,Delay
تعاون,cooperate,Cooperate,cooperate,Cooperate,cooperate,Cooperate,cooperate
تبادل,exchange,Exchange,exchange,Exchange,exchange,Exchange,exchange
قاطع,boycott,Interrupt,interrupt,Interrupt,Interrupt,Interrupt,interrupt
تطوّع,volunteer,Volunteer,volunteer,Volunteer,volunteer,Volunteer,volunteer
تجنّب,avoid,Avoid,avoid,Avoid,Avoid,Avoid,Avoid
همل,neglect,Ignore,whisper,Sleep,To whisper,Neglect,Whisper
تلاقا,meet,Meet,meet,Meet,meet,Meet,meet
تجسّس,spy,Spy,spy,Spying,Spy,Spying,Spy
نتاقم,revenge,Revenge,avenge,Revenge,avenge,Revenge,avenge
دفن,bury,bury,bury,bury,bury,Bury,bury
غلب,defeat,Overcome,overcome,Win,defeat,Win,to defeat
كان,be,Was,be,be,be,Was,be
بغا,want,Want,want,Want,want,Want,want
قدر,can,Can,can,Can,can,Can,can
ڭدّ,can,Laugh,to cut,Laugh,Say,Laugh,Say
دار,make,Live,to do,House,to do,House,to do
خدا,take,Take,Take,Take,Take,Take,Take
شاف,look,See,see,See,see,See,see
خلّا,let,Let him/her/it go.,let,Let it be,Let.,Let it be,Let.
بان,seem,Appear,see,dance,see,See,see
تضمّن,include,Include,include,Include,include,Include,include
تحرّك,move,Move,move,Move,move,Move,move
ضار,turn,Harm,harm,Harm,harm,Harm,harm
عتابر,consider,Consider,consider,Consider,consider,Consider,travel
خلّا,allow,Let him/her do.,let,Let it be,Let.,Let it be,let
تمنّا,hope,Wishing,wish,Wish,wish,Wish,wish
نتج,produce,produce,produce,produce,produce,produce,produce
بقا,stay,Stay,stay,Stay,stay,Stay,stay
شدّ,hold,Pull,pull,Pull,pull,Pull,pull
توقّع,expect,Expect,expect,Expect,expect,Expect,expect
ضمن,ensure,Within,guarantee,Invite,guarantee,Include,guarantee
هزّ,carry,Shake,shake,Shake,shake,Shake,shake
عرض,offer,Present,present,Present,present,Present,present
دعم,support,Support,support,Support,Support,Support,Support
هضر,speak,Speak,speak,Speak,speak,Speak,speak
دوا,speak,Cure,bring,Cure,Bring,Go,bring
قاد,lead,Drive,drive,Drive,drive,Drive,drive
بقا,remain,Stay,stay,Stay,stay,Stay,stay
وقف,stand,Stop,stop,Stop,stop,Stop,stop
وڭف,stand,Listen,stand,Listen,Stand,Listen,Stand
قتارح,suggest,Suggest,decide,Propose,Decide,Propose,Decide
طوّر,develop,Develop,Develop,Develop,Develop,Develop,Develop
ڭلس,sit,Laugh,swim,Laugh,Eat,Laugh,Swim
ڭادّ,create,Laugh,call,Laugh,Return,Laugh,Return
صاوب,create,Work,Fix,Work,Fix,Fix,Fix
اتفق,agree,Agree,agree,Agree,agree,Agree,agree
طبّق,apply,Apply,apply,Apply,Apply,Apply,Apply
كوّن,form,Form,form,Form,form,Form,form
زاد,increase,Increase,increase,Increase,increase,Increase,increase
لتاحق,join,To search,To search,To search,To search,To search,To search
نقّص,reduce,Lack,lack,Lack,lack,Lack,lack
نقد,save,Critique,criticize,Critique,criticize,Critique,criticize
تطلّب,require,Request,request,Request,to request,Request,request
حقق,achieve,Achieve,achieve,Achieve,Achieve,Achieve,Achieve
حبس,prevent,Imprison,imprison,Imprisonment,imprison,Imprisonment,imprison
تعامل,deal,Deal,deal,Deal,deal,Deal,deal
تواجه,face,Face,face,Face,face,Face,face
غطّا,cover,Cover,cover,Cover,Cover,Covered,Cover
طوّر,improve,Develop,develop,Develop,Develop,Develop,Develop
مال,tend,Spend,go,Spend,To go,Buy,Go
رسم,draw,Draw,draw,Draw,draw,Draw,draw
تحرّك,act,Move,move,Move,move,Move,move
عزل,pick,Isolate,isolate,Isolation,Isolate,Isolate,Isolate
ختار,pick,Choose,choose,Choose,Choose,Choose,Choose
كلّف,cost,Assign,assign,Assign,assign,Assign,assign
سوا,cost,Do,do,Do,Do,Do,Do
برهن,prove,Show,prove,Show,prove,Prove,prove
وقع,occur,Fall,fall,Fall,fall,Fall,fall
تناقش,discuss,Discuss,discuss,Discuss,discuss,Discuss,discuss
ڭابل,maintain,Accept,accept,Accept,Accept,Accept,Accept
سالا,end,Ask,ask,Ask,ask,Ask,ask
كمّل,end,Finish,complete,كمّل - Complete,Complete,كمّل - Complete,Complete
كاين,exist,There is,exist,Exist,have,There is,have
قصد,seek,Mean,intend,Mean,intend,Mean,intend
قلّب,check,Flip,turn,Flip,Turn,Flip,Turn
نفع,serve,Benefit,benefit,Benefit,benefit,Benefit,benefit
قسم,share,Swear,divide,Divide,divide,Promise,divide
پارتاجا,share,Share,Share,Share,Share,Share,Share
نشء,establish,Create,to create,Create,to create,Create,grow
أسّس,establish,Found,establish,Found,Establish,Found,establish
تحكّم,control,Control,control,Control,control,Control,control
جاوب,answer,Answer,answer,Answer,answer,Answer,answer
حدّد,identify,Identify,determine,Choose,determine,Choose,determine
عتانا,care,Arguing,argue,Laugh,Argue,Laughing,Refuse
مكّن,enable,Enable,enable,Enable,enable,Enable,enable
طالب,claim,Student,ask,Study,to ask,Student,ask
كسب,obtain,Win,earn,Win,earn,Win,earn
متّل,represent,imitate,imitate,imitate,To imitate,imitate,imitate
تضمّن,contain,Include,include,Include,include,Include,include
غلب,beat,Overcome,defeat,Win,To defeat,Overcome,to defeat
تشطن,worry,Eat,To clean,Cooking,To swim,Cooking,To clean
تحمّل,bear,Endure,bear,Bear,bear,Endure,bear
سدّ,shut,Block,block,Block,block,Block,block
تساءل,wonder,Wonder,wonder,Wonder,wonder,Wonder,wonder
ناسب,fit,Fit,fit,Match,Fit,Match,Fit
تعلّق,regard,Hang,hang,Hang,hang,Hang,Hang
حطّ,place,Put,Put,Put,Put,Put,Put
شمل,involve,Smell,include,Smell,Include,Smell,include
اتصل,contact,Call,call,Call,call,Call,call
فتارض,assume,Refuse,agree,Accept,agree,Laugh,agree
أشار,indicate,Pointed,point,Point,point,Pointed,point
خدم,operate,Work,work,Work,Work,Work,work
تصرّف,manage,Behave,behave,Behave,behave,Behave,behave
تأقلم,cope,Adapt,Adapt,Adapt,Adapt,Adapt,Adapt
حدّد,determine,Choose,determine,Choose,determine,Choose,to determine
عكس,reverse,Oppose,reverse,Oppose,reverse,Oppose,reverse
أشار,refer,Pointed,point,Pointed,point,Pointed,point
ربح,gain,Win,win,Win,win,Win,win
فحص,examine,Check,examine,Check,examine,Check,examine
فضّل,prefer,Prefer,prefer,Prefer,prefer,Prefer,prefer
عتارف,admit,Confess,confess,Confess,Admit,Confess,Admit
ردّ,respond,Answer,to reply,Answer,to reply,Answer,reply
جاوب,respond,Answer,answer,Answer,Answer,Answer,answer
عتامد,depend,depend,rely,depend,rely,Trust,rely
نجا,survive,Survive,escape,Survive,escape,Survive,escape
لاحض,notice,Notice,Notice,Notice,Notice,Notice,Notice
نتج,result,produce,produce,produce,produce,produce,produce
بدّل,replace,Change,change,Change,change,Change,change
كمّل,complete,Complete.,complete,كمّل - Complete,Complete,Finish,Complete
رتافع,rise,To raise,lift,Laugh,Elevate,To lift,lift
قدّم,present,Present,present,Present,present,Present,present
نشء,arise,Create,raise,Create,to create,Create,to create
أشار,point,Pointed,point,Point,point,Pointed,point
روّج,promote,Promote,Advertise,Promote,Advertise,Promote,Advertise
شجّع,promote,Encourage,encourage,Encourage,Encourage,Cheer,Encourage
أدى,perform,Perform,perform,Perform,perform,Perform,perform
مدّد,extend,Extend,Extend,Extend,Extend,Extend,Extend
أشار,mention,Pointed,point,Point,point,Pointed,point
ختالف,vary,Argue,differ,Argue,differ,Argue,differ
فاد,benefit,Help,help,Help,help,Help,help
عالج,treat,Treat,treat,Treat,Treat,Treat,Treat
علّق,hang,Hang,to hang,Hang,Hang,Hang,Hang
طيّح,drop,Fall,fall,Fall,Fall,Fall,Fall
بلّغ,report,Inform,inform,Inform,reach,Inform,reach
صبّ,cast,Pouring,pour,Pouring,Pour.,Pourvoir,Pour.
ختابر,test,Experience,test,Chat,Test,Chat,Experience
أمّن,secure,Secure,Secure,Secure,Believe,Secure,Believe
طوّل,last,Lengthen,Lengthen,To lengthen,Lengthen,Lengthen,Lengthen
وافق,match,Agree,agree,Agree,agree,Agreed.,agree
قدّر,assess,Appreciate,estimate,Appreciate,estimate,Appreciate,estimate
ساهم,contribute,Contribute,help,Contribute,help,Contribute,help
مدّ,supply,Stretch,Extend,Stretch,Extend,Extend,Extend
علن,state,Declare,announce,Announce,announce,Announce,announce
قدّر,appreciate,Appreciate,estimate,Appreciate,estimate,Appreciate,estimate
رتابط,relate,Get bored,interact,Link,Communicate,Link,Communicate
تغلّب,overcome,Overcome,overcome,Overcome,overcome,Overcome,overcome
تخلّص,rid,Get rid of,Get rid of,Finish,Get rid of,Finish,Get rid of
حاول,attempt,Try,try,Try,try,Try,Try
حتافض,retain,Laugh,convince,Laugh,convince,Laugh,convince
تكلّف,handle,Cost,cost,Cost,Cost,Cost,cost
جدب,attract,Steal,to pull,Steal,Pull,Steal,Pull
ساعد,assist,Help,help,Help,help,Help,help
عاون,assist,Help,help,Help,help,Help,help
أتّر,influence,Laugh,wait,Laugh,Wait,Wait,Wait
حدّد,mark,Choose,determine,Choose,determine,Identify,to determine
فكّر,recall,Think,think,Think,think,Think,think
سينا,sign,Laugh,swim,Laughing,Teach,Laugh,Teach
خاف,fear,Fear,fear,Fear,fear,Fear,fear
لصق,stick,Paste,paste,Paste,Paste,Paste,paste
سوّا,settle,Do,to do,Do,To do,Do,Do
ريڭل,settle,Dance,paint,Dance,Dance,Dance,Paint
قارن,compare,Compare,compare,Compare,compare,Compare,compare
حسب,account,Based on,calculate,Watch,Calculate,Based,Calculate
حقّق,investigate,Achieve,achieve,Achieve,Achieve,Achieve,achieve
نقّا,clear,Clean,clean,Clean,Clean,Clean,clean
سجّل,record,Register,register,Register,register,Register,register
شجّل,record,Encourage,register,Encourage,Register,To light up,Register
كتاشف,explore,Discover,discover,Discover,Discover,Discover,Discover
لام,blame,Refuse,to learn,Refuse,To learn,Refuse,To learn
عبر,cross,Express,to express,Pass,Express,Pass,to express
عاق,realize,Disobey,disobey,Disobey,disobey,Disobey,disobey
ركّز,focus,Focus,focus,Focus,Focus,Focus,focus
وصّل,deliver,Arrive,connect,Arrive,arrive,Arrive,arrive
شرع,proceed,Start,begin,Start,begin,Start,begin
زعج,bother,Annoy,annoy,Annoy,annoy,Bother,annoy
برزط,bother,To tie,to squeeze,Dance,To iron,Dance,To iron
رفض,refuse,Refuse,refuse,Refuse,refuse,Refuse,refuse
فرض,force,Impose,impose,Impose,impose,impose,impose
عتاقد,reckon,Think,think,Believe,Think,Believe,think
عزم,intend,Intend,decide,Invite,intend,Intend,determine
نصح,advise,Advise,advise,Advise,advise,Advise,advise
كتاسب,acquire,Study,earn,Earn,Earn,Study,Earn
سترجع,recover,You will come back.,return,Return,return,Come back,Return
نشء,generate,Create,to create,Create,grow,Create,to create
تميّز,distinguish,Distinguish,distinguish,Distinguish,distinguish,Distinguish,distinguish
شتابه,suspect,To write,hurry,To chat,hurry,To chat,hurry
كسب,earn,Win,earn,Win,earn,Win,earn
موّل,finance,Fund,finance,Fund,Fund,Fund,Support
هدم,destroy,Demolish,destroy,Destroy,destroy,Destroy,destroy
تبع,pursue,Follow,follow,Follow,Follow,Follow,Follow
علّق,comment,Hang,hang,Hang,Hang,Hang,Hang
رضا,satisfy,Accept,accept,Acceptance,agree,Acceptance,agree
تنافس,compete,Compete,compete,Compete,compete,Compete,compete
قاوم,resist,Resist,resist,Resist,resist,Resist,resist
لاءم,suit,Fit,fit,Fit,Fit,Fit,Fit
خاطب,address,Approach,marry,Address,address,Approach,Marry
حلّ,solve,Solve,solve,Solve,Solve,Solve,solve
بدّل,alter,Change,change,Change,change,Change,change
فرض,impose,impose,impose,Impose,impose,impose,impose
عرض,display,Present,present,Present,present,Present,present
ناشد,appeal,Appeal,appeal,Appeal,request,Appealed,request
طلق,release,Divorce,divorce,Divorce,Divorce,Divorce,Divorce
فرز,sort,Sort,sort,Sort,Sort,Sort,Sort
رتّب,sort,Arrange,arrange,Arrange,arrange,Arrange,arrange
ختار,select,Choose,choose,Choose,Choose,Choose,Choose
عبر,measure,Express,to express,Pass,Express,Pass,To cross
وصّا,recommend,Advise,advise,Advise,advise,Advise,advise
طلب,order,Request,ask,Ask,ask,Request,ask
أمر,order,Order,order,Order,order,Order,command
