darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl,p3_transl,eng_p3_transl,p4_transl,eng_p4_transl,p5_transl,eng_p5_transl
تقيل,slow,Heavy,Heavy,Heavy,Heavy,Heavy,Heavy,Heavy,Heavy,heavy,heavy
تقيل,heavy,Heavy,Heavy,Heavy,Heavy,Heavy,Heavy,Heavy,Heavy,heavy,heavy
واسع,wide,Spacious,Spacious,Spacious,Spacious,Spacious,Spacious,Generous,Spacious,spacious,spacious
ناشط,happy,Activist,Active,Activist,Active,Activist,Active,Active,Active,active,active
نقي,clean,Pure,Pure,Pure,Pure,Pure,Pure,Sharp,Pure,pure,pure
خايب,bad,Disappointed,Disappointed,Disappointed,Disappointed,Disappointed,Disappointed,Disappointed,Disappointed,disappointed,disappointed
عادل,fair,Fair,Fair,Fair,Fair,Fair,Fair,Cool,Fair,fair,fair
غني,rich,Rich,Rich,Rich,Rich,Rich,Rich,Wealthy,Rich,wealthy,rich
فقير,poor,Poor,Poor,Poor,Poor,Poor,Poor,Broke,Poor,poor,poor
طبيعي,natural,Normal,Natural,Normal,Natural,Natural,Natural,Natural,Natural,normal,natural
مفروق,separate,Separated,Different,Separated,Different,Separated,Distinct,Stubborn,Distinct,confused,separated
مشهور,famous,Famous,Famous,Famous,Famous,Famous,Famous,Famous,Famous,famous,famous
فرحان,glad,Happy,Happy,Happy,Happy,Happy,Happy,Happy,Happy,happy,happy
دوريجين,original,Daring,Moroccan,Dorigine,Moroccan,Authentic,Moroccan,Authentic,Moroccan,mysterious,confused
خايف,afraid,Scared,Afraid,Scared,Afraid,Scared,Afraid,Scared,Scared,scared,scared
ضخم,huge,Big,Huge,Huge,Huge,Massive,Huge,Massive,Huge,huge,huge
عملاق,giant,Giant,Giant,Giant,Gigantic,Giant,Giant,Giant,Giant,gigantic,gigantic
زاهي,cheerful,Beautiful,Radiant,Beautiful,Vibrant,Elegant,Gorgeous,Stylish,Bright,elegant,radiant
فخور,proud,Proud,Proud,Proud,Proud,Proud,Proud,Proud,Proud,proud,proud
راضي,satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,satisfied,satisfied
حزين,sad,Sad,Sad,Sad,Sad,Sad,Sad,Sad,Sad,sad,sad
نادم,regretful,Regretful,Regretful,Regretful,Regretful,Regretful,Regretful,Regretful,Regretful,remorseful,regretful
مكتئب,depressed,Depressed,Depressed,Depressed,Depressed,Depressed,Depressed,Downcast,Depressed,depressed,depressed
مسكين,miserable,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,pitiful,poor
مرتاح,comfortable,Content,Comfortable,Content,Comfortable,Comfortable,Relaxed,Chill,Comfortable,content,relaxed
مشغول,busy,Busy,Busy,Busy,Busy,Busy,Busy,Busy,Busy,busy,busy
مشطون,worried,Irritated,Annoyed,Combed,Annoyed,Combed,Annoyed,Untidy,Irritated,Generous,annoying
معصّب,nervous,Irritated,Irritated,Irritated,Irritated,Irritated,Irritated,Irritated,Irritated,irritated,irritated
غضبان,angry,Angry,Angry,Angry,Angry,Angry,Angry,Angry,Angry,furious,angry
مرڭ,embarrassed,Handsome,Bitter,Tired,Bitter,Crazy,Bitter,Stubborn,Bitter,handsome,handsome
حشمان,shy,Shy,Dignified,Modest,Dignified,Modest,Dignified,Modest,Respectful,Respectful,respectful
كالم,calm,Likeable,Soft,Likeable,Soft,Funny,Generous,Chel7,Generous,talkative,generous
وحيد,lonely,Lonely,Lonely,Alone,Lonely,Alone,Lonely,Solitary,Lonely,solitary,lonely
منباهر,amazed,Proud,Brilliant,Proud,Brilliant,Amazing,Splendid,Outstanding,Brilliant,awesome,amazing
مستغرب,astonished,Surprised,Surprised,Surprised,Surprised,Surprised,Surprising,Perplexed,Surprised,surprised,surprised
مشوكي,shocked,Stubborn,Grilled,Stubborn,Delicious,Stubborn,Delicious,Stubborn,Delicious,stubborn,stubborn
مروّن,confused,Flexible,Flexible,Flexible,Flexible,Flexible,Flexible,Flexible,Flexible,flexible,flexible
متردّد,hesitant,Hesitant,Hesitant,Indecisive,Hesitant,Hesitant,Hesitant,Hesitant,Hesitant,indecisive,indecisive
عيّان,tired,Blind,Blind,Blind,Blind,Sharp,Obvious,Sharp-eyed,Blind,Tired,obvious
طمّاع,greedy,Greedy,Greedy,Greedy,Greedy,Greedy,Greedy,Greedy,Greedy,greedy,greedy
أناني,selfish,Selfish,Selfish,Selfish,Selfish,Selfish,Selfish,Selfish,Selfish,selfish,selfish
سخي,generous,Generous,Generous,Generous,Generous,Generous,Generous,Generous,Generous,generous,generous
سقرام,stingy,"""Stylish""",Stubborn,Square,Stubborn,Crazy,Stubborn,Chill,Generous,stubborn,brave
بخيل,stingy,Stingy,Stingy,Stingy,Stingy,Stingy,Stingy,Stingy,Stingy,stingy,stingy
ضريف,kind,Funny,Cute,Cute,Cute,Cute,Charming,Cute,Charming,Charming,charming
صبّار,patient,Patient,Patient,Patient,Patient,Patient,Patient,Patient,Patient,patient,patient
مأدب,polite,Generous,Generous,Generous,Generous,Generous,Generous,Generous,Generous,generous,hospitable
معڭاز,lazy,Stubborn,Proud,Stubborn,Proud,Stubborn,Unique,Stubborn,Proud,elegant,proud
مجتهد,hardworking,Hardworking,Diligent,Hardworking,Diligent,Hardworking,Diligent,Hardworking,Diligent,diligent,diligent
شجاع,brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,brave,brave
زاعم,brave,Arrogant,Arrogant,Arrogant,Arrogant,Arrogant,Arrogant,Arrogant,Arrogant,arrogant,arrogant
فضولي,curious,Curious,Curious,Curious,Curious,Curious,Curious,Curious,Curious,Curious,curious
مغرور,arrogant,Arrogant,Arrogant,Arrogant,Arrogant,Arrogant,Arrogant,Arrogant,Arrogant,arrogant,arrogant
متواضع,humble,Humble,Humble,Humble,Humble,Humble,Humble,Humble,Humble,Humble,humble
جاهل,ignorant,Ignorant,Ignorant,Ignorant,Ignorant,Ignorant,Ignorant,Ignorant,Ignorant,Ignorant,ignorant
عبيط,silly,Silly,Silly,Silly,Silly,Silly,Silly,Silly,Silly,Silly,silly
دكي,smart,Stubborn,Dirty,Stubborn,Stubborn,Stubborn,Stubborn,Stubborn,Stubborn,stubborn,stubborn
حكيم,wise,Wise,Wise,Wise,Wise,Wise,Wise,Wise,Wise,wise,wise
أمين,trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,trustworthy,trustworthy
نيّة,naive,Intention,Sincere,Intention,Sincere,Intention,Sincere,Sly,Sincere,Sincere,intentional
متفاءل,optimistic,Optimistic,Optimistic,Optimistic,Optimistic,Optimistic,Optimistic,Optimistic,Optimistic,optimistic,optimistic
متشاءم,pessimistic,Pessimistic,Pessimistic,Pessimistic,Pessimistic,Pessimistic,Pessimistic,Pessimistic,Pessimistic,Pessimistic,pessimistic
كوميك,funny,Funny,Comic,Comic,Comic,Funny,Funny,Hilarious,Funny,funny,funny
حاملة,pregnant,Pregnant,Pregnant,Pregnant,Pregnant,Pregnant,Pregnant,Pregnant,Pregnant,generous,pregnant
إجابي,positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,positive
سلبي,negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,negative
واقعي,realistic,Realistic,Realistic,Realistic,Realistic,Realistic,Realistic,Realistic,Realistic,Realistic,realistic
تايعيّف,disgusting,Stubborn,Generous,Stubborn,Confused,Stubborn,Confused,Stubborn,Confused,Generous,adorable
تايعادي,contagious,Relaxed,Ordinary,ordinary,Ordinary,Stubborn,Ordinary,Resourceful,Flexible,stubborn,flexible
عمى,blind,Blind,Blind,blind,Blind,Blind,Blind,Blind,Blind,crazy,blind
صمك,deaf,Deaf,Tough,Deaf,Tough,Deaf,Tasty,Stubborn,Tasty,stubborn,stubborn
زيزون,mute,Noisy,Cute,Small,Cute,Sassy,Cute,Stylish,Beautiful,playful,cute
مشلّل,paralyzed,Paralyzed,Paralyzed,Paralyzed,Paralyzed,Paralyzed,Paralyzed,Paralyzed,Paralyzed,lazy,lazy
معوّق,handicapped,Disabled,Disabled,Disabled,Disabled,Disabled,Challenged,Handicapped,Challenged,obstructive,obstructed
عاڭر,sterile,Stubborn,Sour,Stubborn,Stubborn,Sassy,Stubborn,Sharp,Stubborn,Clever,stubborn
مجهول,unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,mysterious,unknown
مقبول,acceptable,Acceptable,Accepted,Acceptable,Accepted,Acceptable,Accepted,Acceptable,Accepted,acceptable,acceptable
معقول,reasonable,Believable,Reasonable,Believable,Reasonable,Believable,Reasonable,Believable,Reasonable,reasonable,reasonable
منحاز,biased,Biased,Biased,Biased,Biased,Biased,Biased,Biased,Biased,biased,biased
محايد,neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,neutral,neutral
واضح,clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,clear,clear
مجرم,criminal,Criminal,Criminal,Criminal,Criminal,Criminal,Criminal,Criminal,Criminal,criminal,criminal
غالي,expensive,Expensive,Expensive,Expensive,Expensive,Expensive,Expensive,Expensive,Expensive,expensive,expensive
رخيص,cheap,Cheap,Cheap,Cheap,Cheap,Cheap,Cheap,Cheap,Cheap,cheap,cheap
ڭاع,all,Tired,Tired,Tired,Tired,Crazy,Beautiful,Sneaky,Generous,Sneaky,stubborn
لخرين,other,Stubborn,Greedy,Selfish,Stingy,Funny,Generous,Stubborn,Generous,generous,stubborn
زوين,good,Nice,Beautiful,Beautiful,Beautiful,Nice,Beautiful,Nice,Beautiful,beautiful,beautiful
لخر,last,Crazy,Expensive,Single,Sour,Crazy,Stubborn,Stubborn,Stubborn,stubborn,stubborn
بحال,same,Like,Like,Like,Like,Cool,Like,Chill,Like,like,fine
صغير,little,Small,Small,Small,Small,Small,Small,Tiny,Small,small,small
مغيّر,different,Changeable,Changing,Changer,Changing,Rebellious,Innovative,Rebellious,Innovative,clever,confused
قادم,next,Coming,Coming,Coming,Coming,Coming,Upcoming,Upcoming,Upcoming,upcoming,upcoming
عضيم,great,Great,Great,Great,Huge,Great,Huge,Awesome,Great,awesome,great
محلّي,local,Local,Local,Local,Local,Local,Local,Local,Local,delicious,spicy
جتماعي,social,Sociable,Social,Social,Social,Sociable,Sociable,Social,Social,sociable,sociable
مهم,important,Important,Important,Important,Important,Important,Important,Essential,Important,important,important
وطني,national,My homeland,Patriotic,My homeland,Patriotic,My homeland,Patriotic,Patriotic,Patriotic,patriotic,patriotic
عالي,high,Tall,High,High,High,Tall,High,Tall,High,loud,tall
طويل,long,Tall,Tall,Tall,Tall,Tall,Tall,Tall,Tall,tall,tall
واسع,large,Spacious,Spacious,Spacious,Spacious,Spacious,Spacious,Spacious,Spacious,generous,spacious
عامّ,general,Common,General,Common,General,Common,Common,Casual,Common,generous,generous
ممكن,possible,Sure,Possible,Possible,Possible,طيب,Possible,بالطبع! الصفة هي: ولد البلاد,Possible,possible,possible
شابّ,young,Young,Young,Young,handsome,Young,Handsome,Cool,Handsome,handsome,handsome
سياسي,political,Politician,political,Politician,political,Politician,Political,Politician,Political,politician,political
عمومي,public,General,General,General,General,General,General,Casual,General,casual,common
محدّد,particular,Specific,Specific,Specific,Specific,Specific,Specific,Specific,Specific,determined,determined
موجود,available,Available,Available,Present,Available,Present,Available,Chouia,Available,present,present
بكري,early,Inexperienced,Immature,Inexperienced,Inexperienced,Inexperienced,Inexperienced,Early,Inexperienced,innocent,innocent
أساسي,main,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,essential,essential
رئيسي,major,Main,Main,My main.,Main,My boss,Main,Bossy,Main,bossy,essential
قتصادي,economic,Economist,Economical,Economist,Economic,Economist,Economical,Economical,Economical,thrifty,economical
مؤكد,sure,Confident,Confident,Confirmed,Confident,Confident,Confident,Confident,Confident,confident,confident
غالبا,likely,Often,Often,Often,Mostly,Often,Mostly,Casual,Mostly,usually,usually
وحيد,only,Lonely,Lonely,Alone,Lonely,Alone,Lonely,Solitary,Lonely,solitary,lonely
دولي,international,International,International,International,International,International,International,Chill,International,Clever,international
مؤكد,certain,Confident,Confident,Confirmed,Confident,Confident,Confident,Confident,Confident,confident,confident
معيّن,assigned,Determined,Determined,Determined,Determined,Determined,Determined,Resourceful,Determined,determined,determined
معيّن,certain,Determined,Determined,Determined,Determined,Determined,Determined,Resourceful,Determined,determined,determined
مميّز,special,Special,Distinct,Unique,Distinct,Unique,Distinct,Unique,Distinct,unique,distinct
صعيب,difficult,Difficult,Difficult,Difficult,Difficult,Difficult,Difficult,Difficult,Difficult,difficult,difficult
محلول,open,Solved,Dissolved,Solved,Dissolved,Solved,Solved,Slick,Solved,solved,solved
كولّشي,whole,Everything,Everything,Everything,Everything,Everything,Everything,Resourceful,Everything,Everything,everything
نصّ,half,Cool,Half,Single,Half,Cool,Half,Ch7al,Half,half,half
حرّ,free,Free,Hot,Free,Hot,Free,Hot,Rebellious,Hot,free,hot
مركزي,central,Central,Central,Central,Central,Central,Central,Central,Central,self-centered,central
مشترك,common,Subscriber,Common,Participant,Common,Subscriber,Common,Subscriber,Common,loyal,common
شائع,common,Common,Common,Common,Common,Common,Common,Common,Common,popular,popular
متشابه,similar,Similar,Similar,Similar,Similar,Similar,Similar,Similar,Similar,similar,similar
ضروري,necessary,Essential,Necessary,Essential,Necessary,Essential,Essential,Ch7al: Essential,Essential,necessary,necessary
صحيح,true,Correct,Correct,Correct,Correct,Correct,Correct,Authentic,Correct,correct,correct
عازب,single,Single,Single,Single,Single,Single,Single,Single,Single,single,single
وحيد,single,Lonely,Lonely,Alone,Lonely,Alone,Lonely,Solitary,Lonely,solitary,lonely
خاصّ,private,Exclusive,Special,Special,Special,Exclusive,Special,Exclusive,Special,special,special
شخصي,personal,Personal,Personal,Personal,Personal,Personal,Personal,Ch7al,Personal,charming,personal
مالي,financial,Broke,Confused,Poor,Confused,Confused,Confused,Stubborn,Confused,confused,confused
أجنبي,foreign,Foreign,Foreign,Foreign,Foreign,Foreign,Foreign,Foreign,Foreign,foreign,foreign
شديد,strong,Intense,Intense,Intense,Intense,Intense,Intense,Intense,Intense,intense,intense
ناقص,low,Missing,Incomplete,Incomplete,Incomplete,Lacking,Incomplete,Missing,Incomplete,incomplete,incomplete
متنوّع,various,Diverse,Diverse,Diverse,diverse,Diverse,Diverse,Diverse,Diverse,diverse,diverse
حاضر,present,Okay,Present,Present,Present,Ready,Present,Cool,Present,ready,present
ملكي,royal,Royal,Royal,Royal,Royal,Royal,Royal,Royal,Royal,Royal,royal
خاطئ,wrong,Wrong,Wrong,Wrong,Wrong,Wrong,Incorrect,Incorrect,Wrong,mistaken,wrong
بوحدو,individual,Alone,Alone,Alone,Alone,Alone,Unique,Independent,Unique,unique,unique
حالي,current,My current state,Current,Single,Current,My condition,Current,Chill,Current,cool,cool
قانوني,legal,Legal,Legal,Legal,Legal,Legal,Legal,Slick,Legal,lawful,lawful
حديت,modern,Modern,Modern,New,Modern,Talkative,New,Chatty,Modern,talkative,modern
لخر,final,Crazy,Expensive,Unique,Stingy,Crazy,Stubborn,Stubborn,Stubborn,Clever,stubborn
زوين,nice,Nice,Beautiful,Beautiful,Beautiful,Beautiful,Beautiful,Nice,Beautiful,beautiful,beautiful
مزيان,fine,Good,Good,Good,Good,Good,Good,Good,Good,good,beautiful
قريب,close,Close,Close,Close,Close,Close,Close,Close,Close,close,close
معقول,serious,Believable,Reasonable,Believable,Reasonable,Believable,Reasonable,Believable,Reasonable,reasonable,reasonable
سابق,previous,Former,Former,Former,Former,Former,Former,Outgoing,Former,clever,fast
معتبر,significant,Considered,Considered,Considered,Considered,Considered,Considered,Respectable,Considered,Respectful,reliable
رئيس,prime,Boss,Chief,President,Chief,Boss,Chief,Boss,Serious,leader,important
صناعي,industrial,Artificial,Artificial,Artificial,Artificial,Industrial,Artificial,Craftsman,Artificial,artificial,artificial
محدّد,specific,Specific,Specific,Specific,Specific,Specific,Specific,Specific,Specific,determined,determined
مناسب,appropriate,Appropriate,Suitable,Appropriate,Suitable,Appropriate,Appropriate,Appropriate,Appropriate,appropriate,appropriate
عالي,top,Tall,High,High,High,Tall,High,Tall,High,loud,tall
ميّت,dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,hilarious,dead
متأسّف,sorry,Sorry,Sorry,Sorry,Sorry,Sorry,Sorry,Sorry,Sorry,apologetic,sorry
ناجح,successful,Successful,Successful,Successful,Successful,Successful,Successful,Successful,Successful,successful,successful
حربي,military,Military,Military,Warrior,Military,Warrior,Military,Warlike,Aggressive,stubborn,stubborn
أساسي,basic,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,essential,essential
واعي,aware,Aware,Conscious,Aware,Conscious,Aware,Conscious,Aware,Conscious,aware,conscious
مشهور,popular,Famous,Famous,Famous,Famous,Famous,Famous,Famous,Famous,famous,famous
مهني,professional,Professional,Professional,Professional,Professional,Professional,Professional,Professional,Professional,professional,professional
مباشر,direct,Direct,Direct,Direct,Direct,Direct,Direct,Direct,Direct,direct,direct
مفيد,useful,Useful,Useful,Useful,Helpful,Useful,Helpful,Helpful,Helpful,helpful,helpful
فعّال,effective,Effective,Effective,Effective,Effective,Effective,Effective,Efficient,Effective,energetic,active
واجد,ready,Abundant,Abundant,Abundant,Abundant,Abundant,Abundant,Chill,Abundant,very,abundant
مضلّم,dark,Shady,Darkened,Shady,Darkened,Shady,Confused,Shady,Bruised,oppressed,oppressed
مستقل,independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,independent,independent
تقليدي,traditional,Traditional,Traditional,Traditional,Traditional,Traditional,Traditional,Traditional,Traditional,traditional,traditional
غربي,western,Western,Western,Western,Western,Western,Western,Western,Western,Confused,confused
معتبر,considerable,Considered,Considered,Considered,Considered,Considered,Considered,Resourceful,Considered,Respectful,reliable
بارد,cold,Cool,Cold,Cold,Cold,Cold,Cold,Chilled,Cold,cool,cold
مسؤول,responsible,Responsible,Responsible,Responsible,Responsible,Responsible,Responsible,Responsible,Responsible,responsible,responsible
كامل,complete,Complete,Complete,Complete,Complete,Complete,Complete,Generous,Complete,generous,perfect
طبّي,medical,Healing,Medical,Healing,Medical,Healing,Healthy,Charming,Healthy,Calm,calm
سخون,hot,Hot,Hot,Stingy,Hot,Hot,Hot,Hot,Hot,hot,hot
مهم,essential,Important,Important,Important,Important,Important,Important,Essential,Important,important,important
دكري,male,Masculine,Male,Male,Masculine,Masculine,Masculine,Macho,Generous,brave,brave
أوّلي,primary,First,First,First,First,First,First,Resourceful,First,loyal,beautiful
مدني,civil,Civil,Civil,Civil,Civil,Civilized,Civil,Civilized,Civilized,civilized,civilized
مستقبلي,future,My future,Future-oriented,My future,Futuristic,My future,Prospective,Ambitious,Futuristic,ambitious,optimistic
بيئة,environmental,Environment,Environmental,Environment,Environmental,Environment,Natural,Chel7a,Natural,environment,beautiful
واضح,obvious,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,clear,clear
لكبير,senior,Big,big,Big,big,Big,Big,Big,Big,generous,huge
نووي,nuclear,Nuclear,Nuclear,Nuclear,Nuclear,Nuclear,Nuclear,Nuclear,Nuclear,explosive,nuclear
سنوي,annual,Yearly,Yearly,Annual,Yearly,Annual,Yearly,Yearly,Yearly,generous,sleepy
جهوي,regional,Regional,Regional,Regional,Regional,Regional,Regional,Regional,Regional,Traditional,traditional
تجاري,commercial,Commercial,Commercial,Commercial,Commercial,Commercial,Commercial,Savvy,Commercial,commercial,commercial
اللخر,latter,Stubborn,Stubborn,Stubborn,Stubborn,Stubborn,Stubborn,Stubborn,Stubborn,Crazy,stubborn
تطبيقي,practical,My application,Practical,My application,Practical,My application,Practical,Resourceful,Practical,practical,practical
عملي,practical,Professional,Practical,My work,Practical,My job,Practical,Hardworking,Practical,practical,practical
عميق,deep,Deep,Deep,Deep,Deep,Deep,Deep,Profound,Deep,deep,deep
رسمي,official,Formal,Formal,Formal,Formal,Formal,Formal,Classy,Formal,formal,formal
رئيسي,chief,Main,Main,My main,Main,My boss,Main,Bossy,Main,bossy,essential
منتضم,regular,Regular,Regular,Regular,Regular,Regular,Regular,Regular,Regular,organized,organized
مألوف,usual,Familiar,Familiar,Familiar,Familiar,Familiar,Familiar,Familiar,Familiar,familiar,familiar
زايد,additional,Excessive,Excessive,Excessive,Excessive,Excessive,Excessive,Extra,Excessive,extra,excessive
ناشط,active,Activist,Active,Activist,Active,Activist,Active,Active,Active,active,active
ستاندار,standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,ordinary,standard
قوي,powerful,Strong,Strong,Strong,Strong,Strong,Strong,Strong,Strong,strong,strong
وسط,middle,Average,Middle,Central,Average,Central,Average,Average,Average,average,average
ڭدّامي,front,Courageous,Servile,Traditional,Servile,Generous,Servile,Resourceful,Servile,Generous,loyal
مستحيل,impossible,Impossible,Impossible,Impossible,Impossible,Impossible,Impossible,Impossible,Impossible,impossible,impossible
منزلي,domestic,My house,My house,My house,My house,My house,Cozy,Cozy,Cozy,cozy,homely
فعلي,actual,Active,Official,Active,Official,Active,High,Active,Effective,energetic,active
تقني,technical,Technical,Technical,Technical,Technical,Technical,Technical,Tech-savvy,Technical,technical,technical
عادي,ordinary,Normal,Normal,Normal,Normal,Normal,Normal,Chill,Normal,normal,normal
داخلي,internal,Internal,Internal,Internal,Internal,Interior,Internal,Cozy,Internal,introverted,introverted
ممتاز,excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,excellent
طري,fresh,Soft,Soft,Soft,Soft,Soft,Soft,Tender,Soft,soft,soft
بعيد,far,Far,far,Far,far,Distant,Far,Distant,Far,distant,distant
محتمل,potential,Possible,Possible,Possible,Possible,Possible,Possible,Possible,Possible,possible,tolerant
شمالي,northern,Northern,Northern,Northern,Northern,Northern,Northern,Northern,Northern,Northern,northern
ديني,religious,Religious,Religious,Religious,Religious,Religious,Religious,Religious,Religious,pious,religious
تقافي,cultural,Cultural,Cultural,Cultural,Cultural,Cultured,Cultural,Classy,Cultured,elegant,elegant
مشترك,joint,Subscriber,Common,Participant,Common,Subscriber,Common,Subscriber,Common,loyal,common
بوحدو,alone,Alone,Alone,Alone,Alone,Alone,Unique,Independent,Unique,Unique,alone
امن,safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,safe,safe
محافض,conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,generous,conservative
شكلي,formal,My appearance,My appearance,My appearance,My appearance,My appearance.,My appearance,Appearance,Attractive,handsome,handsome
مناسب,proper,Appropriate,Suitable,Appropriate,Suitable,Appropriate,Appropriate,Appropriate,Appropriate,appropriate,suitable
قروي,rural,Rural,Rural,Rural,Rural,Rural,Rural,Rural,Rural,Rural,rustic
مبدئي,initial,Principled,Basic,Principled,Basic,My principle,Preliminary,Principled,Preliminary,principled,initial
ماقادش,unable,Unreliable,Unreliable,Unlucky,Unreliable,Unreliable,Unbelievable,Unpredictable,Unbelievable,lazy,stubborn
معدّل,average,Average,Average,Average,Average,Average,Average,Average,Average,smart,average
دافي,warm,Warm,Warm,Warm,Warm,Warm,Warm,Cozy,Warm,cozy,warm
غريب,strange,Strange,Strange,Strange,Strange,Strange,Strange,Weird,Strange,strange,strange
ملائم,suitable,Appropriate,Suitable,Appropriate,Suitable,Appropriate,Appropriate,Appropriate,Appropriate,appropriate,appropriate
محبوب,lovely,Beloved,Beloved,Beloved,Beloved,Beloved,Beloved,Beloved,Beloved,beloved,beloved
فوري,immediate,Immediate,Immediate,Immediate,Immediate,Immediate,Immediate,Speedy,Immediate,quick,urgent
إجمالي,overall,Total,Total,Total,Total,Total,Total,Total,Total,total,beautiful
مساوي,equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,equal,equal
كافي,sufficient,Enough,Enough,Enough,Enough,Enough,Enough,Chill,Enough,enough,enough
