eng,darija_ar,transl
it's up to you to define it.,نتا لي خسّك تعرّفو.,You're the one who knows him.
"Well, that's okay","صافي, شي باس ماكاين","Clear, there is no problem"
Carry on -I have to go now.,كمّل -خسّني نمشي دابا.,Let's go now.
"Yes, sir, no problem.","واخا أمولاي, ماكاينش لموشكيل.","Even so, there is no need to worry."
may God have mercy on your parents,الله إرحم ليك لواليدين,May God have mercy on your parents.
"Yeah, no problem.","أه, ماكاين التا موشكيل.","Oh, there are no more available."
Grab the bottle in your other hand,هزّ لقرعا فليدّ لوخرا,Shake the pumpkin to see if it's ripe.
Do you believe in god?,واش كاتأمن ب الله,Do you believe in God?
I'm gonna turn my phone back on,غانعاود نشعل تيليفوني عاوتاني,I will charge my phone and call you later.
You really think so?,واش بصّح كاتفكّر هاكّا?,Are you really thinking like that?
He's coming to get us now.,هاهوا جاي إدّينا دابا.,Here he comes to us now.
It's not even straight.,وا هووا ڭاع مامڭادّ.,He is a stubborn person.
It means it was well manufactured.,كايعني أنّاها تصنعات مزيان.,It means that it is well made.
Why were we so naive?,علاش كنّا نيّا وهدا?,Why were we fighting over this?
Is she expecting to see you?,واش هيا فراسها غاتشوفك?,Will she see you at her party?
"Anyway, the equations are useless.","موهيم, لموعادالات مالايقين لوالو.","Sure, appointments with uncertain people are not worth it."
"I have principles, I told you","عندي ماباديء, ڭلتها ليك","I have no idea, I'll tell you"
Even though I'm getting up late,واخا هاكّاك كانفيق معطّل,"Even though he's like that, he's still helpful."
I'll do it next week,دابا نديرها السيمانا الجايا,Now we'll do it next week.
I couldn't find any on the way,مالقيت التا واهد فطّريق,I couldn't find the bus stop on the way.
I had a simple objective,كان عندي هاداف بسيط,I had a simple problem.
I'll contact the team immediately.,غدي نتواصل معاهوم دابا.,We will contact them now.
I hope we can get out quickly!,تانتمنّا نڭودّو نخرجو دغيا!,We hope to go out today!
They've not been good lately.,ماكانوش مزيانين فهاد تاواخير,They were not good to me until the end.
Anyway what do you suggest we do?,موهيم أش كاتقتارح نديرو?,What are you suggesting we do?
You've got a good strong voice.,عندي واهد الصوت مجههد.,I have a headache from the loud noise.
It's getting hot in here.,لقاضيا بدات كاتسخون هنا.,The weather is starting to get hot here.
It's good here to enjoy the sun!,مزيان هنا نتمتّعو بشميشا!,We're having a good time here at the beach!
The ones that cut through the jungle.,دوك اللي قاطعين لغابا.,They are cutting wood in the forest.
I haven't seen any of them.,ماشفت التا واهد فيهوم.,I haven't seen them since then.
I wouldn't dare accuse you of anything,مانڭدّش نتّاهمك بتّا حاجة,"Don't worry, I won't bother you about it."
You ask a lot of questions.,كاتسووّل بزّاف تل أسإلا.,They ask too many questions.
"Yes, I'm going to change doctors.","أه, غادي نبدّل الطبيب.","Oh, I'm going to change the doctor."
You're absolutely right,عندك صحّ ميّا فلميّا,Do you have a bottle of water in the car?
Thank you for your advice.,شوكران علا الناصيحا ديالك.,Thank you for your advice.
Thank you for making it clear,شوكران حيت ردّيتيه باين,"Thank you for returning it, it's noticeable."
We really need to get back,خاسّنا نرجعو فحالنا بلمعقول,We should go back to our senses.
I'd rather not think about it,حسن ليا مانفكّرش فيها,"I like her, I can't stop thinking about her."
"Listen, can you hear that noise?","تصنّت, كاتسمع هاد صداع?","Seriously, do you hear this headache?"
"He's good, isn't he?","لاباس عليه, أولا لا?","No problem, right?"
"No, I thought you had it","لا, سحابني كاينا عندك","No, my clouds are with you."
"Well, I can't find the map",إوا راه مالقيتش لخاريطا,He couldn't find the map
I don't know why I did it.,أُلاه ماعرفت علاش درتها.,"Oh God, I don't know why I did it."
What sport would you like to practice?,أشمن ريادا تبغي تلعب?,What kind of games do you want to play?
But we often make a joke...,والاكين غاليبان تانديرو لموضحيكا...,The two brothers are going to the market.
That's why the score is high...,هادشي علاش الناتيجا كبيرا...,This is why the results are significant...
"No, not really.","اللا, ماشي ڭاع هاكّاك.","No, not that one."
What would you like to do?,شنو اللي باغي تدير?,What do you want to do?
They'd need to be very close together,خسّهوم إكونو قراب لبعضيياتهوم,They are close friends.
So it's win win!,إدان هادشي رابيح رابيح!,"Whatever will be, will be!"
I love watching them bobbing about in the water!,كايعجبني نشوفهوم كاعومو فلما!,I enjoy watching them all in movies!
Or is that too cruel?,أُلا داكشي خايب بزّاف!,"Oh, that thing is very expensive!"
Why do you think you deserve more?,علاش كاتضنّ كاتستاحقّ كتر?,Why do you think you deserve more?
Because I wrote 14 pages,حيت كتبت 14 لصفحا,I wrote 14 pages
He plays basket ball with you?,كايلعب ل باسكيت معاك?,Do you play basketball with him?
Really we're about the same age.,صاراحا عندكوم نفس لعمر.,This afternoon you have the same age.
Your reputation isn't going to improve.,السومعا ديالك ماغاديش التحسّن.,Your attitude won't lead to improvement.
"Here, take some breadcrumbs.","هاك, خود تفرتيت تلخوبز.","Here, take the key to the cupboard."
Have you got some music that will be suitable?,وجّدتي شي موسيقا موناسيبا?,Did you find any suitable music?
I'm glad you could make it.,أنا فرحان قدرتي الديرها.,I am happy that I was able to do it.
"Yeah, that's too bad","وايه, هادشي خايب بزّاف","Yeah, this is very disappointing."
Serving now chef,غانحطّ دابا أ شف,I will put it on the table now.
No milk chef,بلا حليب أ شف,"Without milk, please."
Have we got a milk-free sauce?,عندنا صوص بلا حليب?,Do we have sauce without milk?
"No, we don't have free sauce!","لا, ماعندنا صوص فابور!","No, we don't have vapor sauce!"
I'm a bit worried.,أنا خايف واهد شويا,"I'm scared, calm me down a bit."
A cat and two parakeets.,مش أُ جوج بابّاغاوات.,I don't like cucumbers.
But they're just ducks.,والاكين راهوم هي بطّات.,And those over there are ducks.
As long as you don't try to feed it,ألا مابيتيش تعتيه ياكول,"If you don't want it, give it to me."
Get some fresh air,خرج إضربك شويا تلبرد,"Go out, take a walk to cool off."
"We know, but we keep going","كانعرفو, والاكين كانبقاو غاديين","I know, otherwise they would have stayed."
"5 minutes, sir.",5 دقايق أ مولاي.,"5 minutes, please."
You don't need to call me sir.,ماتحتاجش تعيّت ليا مولاي.,"You don't need to shout at me, sir."
we never served rice.,ماعمّرنا كنّا كانصاوبو الروز.,We never used to work on Sundays.
